cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-57.984,-53.839,2,5
0.5,1,-53.839,-50.116,2,1
1,1.5,-50.116,-47.136,2,0
1.5,2,-47.136,-44.753,2,3
2,2.5,-44.753,-42.569,2,0
2.5,3,-42.569,-40.415,2,6
3,3.5,-40.415,-38.183,2,34
3.5,4,-38.183,-35.727,2,38
4,4.5,-35.727,-32.904,2,77
4.5,5,-32.904,-29.618,2,52
5,5.5,-29.618,-25.786,2,23
5.5,6,-25.786,-21.325,2,5
6,6.5,-21.325,-16.192,2,15
6.5,7,-16.192,-10.501,2,20
7,7.5,-10.501,-4.4033,2,5
7.5,8,-4.4033,1.9464,2,5
8,8.5,1.9464,8.4202,2,6
8.5,9,8.4202,14.989,2,14
9,9.5,14.989,21.647,2,8
9.5,10,21.647,28.39,2,5
10,10.5,28.39,44.609,2,3
10.5,11,44.609,58.353,2,3
11,11.5,58.353,70.441,2,6
11.5,12,70.441,81.426,2,1
12,12.5,81.426,87.238,2,2
12.5,13,87.238,91.322,2,3
13,13.5,91.322,102.09,2,2
13.5,14,102.09,112.02,2,3
14,14.5,112.02,126.95,2,10
14.5,15,126.95,133.13,2,3
15,15.5,133.13,149.02,2,64
15.5,16,149.02,166.16,2,0
16,16.5,166.16,181.27,2,3
16.5,17,181.27,197.62,2,6
17,17.5,197.62,210.44,2,7
17.5,18,210.44,228.64,2,5
18,18.5,228.64,243.3,2,8
18.5,19,243.3,258.58,2,7
19,19.5,258.58,275.67,2,2
19.5,20,275.67,291.28,2,1
20,20.25,291.28,297.29,2,12
20.25,20.5,297.29,302.55,2,7
20.5,20.75,302.55,308.57,2,6
20.75,21,308.57,313.98,2,7
21,21.25,313.98,319.84,2,17
21.25,21.5,319.84,325.1,2,28
21.5,21.75,325.1,330.06,2,33
21.75,22,330.06,335.02,2,36
22,22.25,335.02,340.58,1.5,26
22.25,22.5,340.58,345.69,2,28
22.5,22.75,345.69,351.7,2,79
22.75,23,351.7,358.6,1.5,18
23,23.25,358.6,363.56,2,51
23.25,23.5,363.56,368.51,2,42
23.5,23.75,368.51,374.21,2,26
23.75,24,374.21,379.46,2,26
24,24.25,379.46,384.71,2,23
24.25,24.5,384.71,390.85,2,41
24.5,24.75,390.85,396.54,2,32
24.75,25,396.54,402.08,2,30
25,25.25,402.08,408.35,1.5,17
25.25,25.5,408.35,413.44,2,27
25.5,25.75,413.44,419.11,2,20
25.75,26,419.11,424.04,2,47
26,26.25,424.04,428.96,1.5,46
26.25,26.5,428.96,434.77,2,45
26.5,26.75,434.77,439.83,2,35
26.75,27,439.83,444.3,2,48
27,27.25,444.3,449.35,2,23
27.25,27.5,449.35,453.22,2,29
27.5,27.75,453.22,457.67,2,25
27.75,28,457.67,462.86,2,8
28,28.25,462.86,468.19,2,21
28.25,28.5,468.19,477.35,2,8
28.5,28.75,477.35,483.85,2,21
28.75,29,483.85,490.03,2,34
29,29.25,490.03,495.77,2,36
29.25,29.5,495.77,501.07,2,30
29.5,29.75,501.07,506.79,2,26
29.75,30,506.79,511.63,2,16
30,30.25,511.63,517.19,2,36
30.25,30.5,517.19,521.73,2,39
30.5,30.75,521.73,526.84,2,17
30.75,31,526.84,532.52,2,27
31,31.25,532.52,538.05,2,66
