cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-59.015,-57.881,2,0
0.5,1,-57.881,-56.455,2,3
1,1.5,-56.455,-54.442,2,3
1.5,2,-54.442,-51.549,2,3
2,2.5,-51.549,-47.526,2,4
2.5,3,-47.526,-42.311,1.5,3
3,3.5,-42.311,-36.046,2,4
3.5,4,-36.046,-29.501,2,2
4,4.5,-29.501,-23.376,2,1
4.5,5,-23.376,-17.442,2,7
5,5.5,-17.442,-11.189,2,0
5.5,6,-11.189,-3.8983,2,3
6,6.5,-3.8983,4.9973,2,8
6.5,7,4.9973,15.259,2,8
7,7.5,15.259,26.448,2,5
7.5,8,26.448,38.123,2,4
8,8.5,38.123,50.686,2,6
8.5,9,50.686,63.17,2,3
9,9.5,63.17,75.581,2,4
9.5,10,75.581,87.925,2,3
10,10.5,87.925,100.2,2,9
10.5,11,100.2,112.43,2,3
11,11.5,112.43,124.6,2,2
11.5,12,124.6,136.72,2,4
12,12.5,136.72,148.79,2,1
12.5,13,148.79,160.83,2,2
13,13.5,160.83,172.84,2,7
13.5,14,172.84,184.82,2,7
14,14.5,184.82,196.78,2,4
14.5,15,196.78,208.72,2,3
15,15.5,208.72,220.64,2,2
15.5,16,220.64,232.56,2,8
16,16.5,232.56,244.48,2,2
16.5,17,244.48,256.4,2,1
17,17.5,256.4,268.33,2,0
17.5,18,268.33,280.26,2,6
18,18.5,280.26,292.22,2,10
18.5,19,292.22,304.2,2,13
19,19.5,304.2,316.21,2,27
19.5,20,316.21,328.25,2,4
20,20.25,328.25,334.28,2,8
20.25,20.5,334.28,340.33,2,4
20.5,20.75,340.33,346.38,2,12
20.75,21,346.38,352.45,2,2
21,21.25,352.45,358.53,2,3
21.25,21.5,358.53,364.62,2,2
21.5,21.75,364.62,370.72,2,0
21.75,22,370.72,376.84,2,3
22,22.25,376.84,382.97,2,4
22.25,22.5,382.97,389.12,2,5
22.5,22.75,389.12,395.28,2,2
22.75,23,395.28,401.46,2,2
23,23.25,401.46,407.66,2,3
23.25,23.5,407.66,413.87,2,2
23.5,23.75,413.87,420.11,2,3
23.75,24,420.11,426.36,2,8
24,24.25,426.36,432.63,2,11
24.25,24.5,432.63,438.92,2,2
24.5,24.75,438.92,445.23,2,5
24.75,25,445.23,451.57,2,1
25,25.25,451.57,457.92,2,8
25.25,25.5,457.92,464.3,2,5
25.5,25.75,464.3,470.7,2,5
25.75,26,470.7,477.13,2,7
26,26.25,477.13,483.58,2,7
26.25,26.5,483.58,490.06,2,13
26.5,26.75,490.06,496.56,2,6
26.75,27,496.56,503.09,2,15
27,27.25,503.09,509.64,2,22
27.25,27.5,509.64,516.22,2,18
27.5,27.75,516.22,522.83,2,9
27.75,28,522.83,529.48,2,20
28,28.25,529.48,536.15,2,4
28.25,28.5,536.15,542.85,2,1
28.5,28.75,542.85,549.58,2,0
28.75,29,549.58,556.34,2,0
29,29.25,556.34,563.14,2,4
29.25,29.5,563.14,569.96,2,5
29.5,29.75,569.96,576.82,2,2
29.75,30,576.82,583.72,2,7
30,30.25,583.72,590.65,2,1
30.25,30.5,590.65,597.62,2,0
30.5,30.75,597.62,604.62,2,2
30.75,31,604.62,611.66,2,1
31,31.25,611.66,618.73,2,0
31.25,31.5,618.73,625.84,2,7
31.5,31.75,625.84,633,2,14
31.75,32,633,640.19,2,13
32,32.25,640.19,647.42,2,19
32.25,32.5,647.42,654.69,2,21
32.5,32.75,654.69,662,2,15
32.75,33,662,669.35,2,18
33,33.25,669.35,676.72,2,12
33.25,33.5,676.72,684.13,2,3
33.5,33.75,684.13,691.57,2,21
33.75,34,691.57,699.03,2,11
34,34.25,699.03,706.53,2,5
34.25,34.5,706.53,714.05,2,4
34.5,34.75,714.05,721.61,2,0
34.75,35,721.61,729.19,2,2
35,35.25,729.19,736.8,2,3
35.25,35.5,736.8,744.44,2,0
35.5,35.75,744.44,752.1,2,2
35.75,36,752.1,759.8,2,0
36,36.25,759.8,767.53,2,4
36.25,36.5,767.53,775.28,2,19
36.5,36.75,775.28,783.06,2,23
36.75,37,783.06,790.87,2,21
37,37.25,790.87,798.7,2,7
37.25,37.5,798.7,806.57,2,12
37.5,37.75,806.57,814.46,2,6
37.75,38,814.46,822.38,2,7
38,38.25,822.38,830.32,2,9
38.25,38.5,830.32,838.3,2,7
38.5,38.75,838.3,846.3,2,2
38.75,39,846.3,854.33,2,10
39,39.25,854.33,862.38,2,15
39.25,39.5,862.38,870.46,2,22
39.5,39.75,870.46,878.57,2,25
39.75,40,878.57,886.7,2,58
40,40.25,886.7,894.86,2,24
40.25,40.5,894.86,903.05,2,17
40.5,40.75,903.05,911.26,2,63
40.75,41,911.26,919.5,2,31
41,41.25,919.5,927.77,2,20
41.25,41.5,927.77,936.06,2,11
41.5,41.75,936.06,944.38,2,7
41.75,42,944.38,952.72,2,4
42,42.25,952.72,961.09,2,20
42.25,42.5,961.09,969.48,2,21
42.5,42.75,969.48,977.9,2,14
42.75,43,977.9,986.34,2,10
43,43.25,986.34,994.81,2,12
43.25,43.5,994.81,1003.3,2,30
43.5,43.75,1003.3,1011.8,2,73
43.75,44,1011.8,1020.4,2,34
44,44.25,1020.4,1028.9,2,34
44.25,44.5,1028.9,1037.5,2,28
44.5,44.75,1037.5,1046.1,2,35
44.75,45,1046.1,1054.8,2,43
45,45.25,1054.8,1063.4,2,39
45.25,45.5,1063.4,1072.1,2,52
45.5,45.75,1072.1,1080.8,2,33
45.75,46,1080.8,1089.6,2,72
46,46.25,1089.6,1098.3,2,41
46.25,46.5,1098.3,1107.1,2,58
46.5,46.75,1107.1,1115.9,2,39
46.75,47,1115.9,1124.7,2,37
47,47.25,1124.7,1133.6,2,15
47.25,47.5,1133.6,1142.5,2,3
47.5,47.75,1142.5,1151.4,2,5
47.75,48,1151.4,1160.3,2,5
48,48.25,1160.3,1169.2,2,4
48.25,48.5,1169.2,1178.2,2,2
48.5,48.75,1178.2,1187.2,2,5
48.75,49,1187.2,1196.2,2,4
49,49.25,1196.2,1205.2,2,7
49.25,49.5,1205.2,1214.3,2,12
49.5,49.75,1214.3,1223.4,2,46
49.75,50,1223.4,1232.5,2,7
50,50.25,1232.5,1241.6,2,18
50.25,50.5,1241.6,1250.7,2,18
50.5,50.75,1250.7,1259.9,2,20
50.75,51,1259.9,1269.1,2,24
51,51.25,1269.1,1278.3,2,14
51.25,51.5,1278.3,1287.5,2,10
51.5,51.75,1287.5,1296.7,2,9
51.75,52,1296.7,1306,2,14
52,52.25,1306,1315.3,2,29
52.25,52.5,1315.3,1324.8,2,30
52.5,52.75,1324.8,1334.4,2,10
52.75,53,1334.4,1344,2,8
53,53.25,1344,1353.8,2,2
53.25,53.5,1353.8,1363.7,2,6
53.5,53.75,1363.7,1373.6,2,9
53.75,54,1373.6,1383.7,2,62
54,54.25,1383.7,1393.9,2,23
54.25,54.5,1393.9,1404.1,2,13
54.5,54.75,1404.1,1414.4,2,7
54.75,55,1414.4,1424.8,2,5
55,55.25,1424.8,1435.3,2,4
55.25,55.5,1435.3,1445.8,2,10
55.5,55.75,1445.8,1456.4,2,8
55.75,56,1456.4,1467.1,2,14
56,56.25,1467.1,1477.8,2,11
56.25,56.5,1477.8,1488.6,2,12
56.5,56.75,1488.6,1499.4,2,14
56.75,57,1499.4,1510.3,2,7
57,57.25,1510.3,1521.2,2,1
57.25,57.5,1521.2,1532.1,2,5
57.5,57.75,1532.1,1543.1,2,8
57.75,58,1543.1,1554.1,2,8
58,58.25,1554.1,1565.2,2,4
58.25,58.5,1565.2,1576.2,2,1
58.5,58.75,1576.2,1587.3,2,8
58.75,59,1587.3,1598.4,2,4
59,59.25,1598.4,1609.5,2,2
59.25,59.5,1609.5,1620.6,2,3
59.5,59.75,1620.6,1631.7,2,2
59.75,60,1631.7,1642.9,2,3
60,60.25,1642.9,1654,2,0
60.25,60.5,1654,1665.1,2,5
