cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-58.06,-57.148,2,0
0.5,1,-57.148,-55.912,2,0
1,1.5,-55.912,-54.101,2,2
1.5,2,-54.101,-51.745,2,3
2,2.5,-51.745,-48.918,2,0
2.5,3,-48.918,-45.554,2,1
3,3.5,-45.554,-41.563,2,15
3.5,4,-41.563,-36.88,2,15
4,4.5,-36.88,-31.476,2,10
4.5,5,-31.476,-25.443,2,0
5,5.5,-25.443,-18.881,2,1
5.5,6,-18.881,-11.8,2,1
6,6.5,-11.8,-4.2099,2,1
6.5,7,-4.2099,3.7938,2,0
7,7.5,3.7938,12.094,2,2
7.5,8,12.094,20.573,2,1
8,8.5,20.573,29.12,2,0
8.5,9,29.12,37.648,2,1
9,9.5,37.648,46.074,2,1
9.5,10,46.074,54.318,2,1
10,10.5,54.318,62.325,2,1
10.5,11,62.325,70.144,2,6
11,11.5,70.144,77.853,2,3
11.5,12,77.853,85.528,2,3
12,12.5,85.528,94.784,2,0
12.5,13,94.784,104.03,2,2
13,13.5,104.03,113.25,2,3
13.5,14,113.25,122.46,2,2
14,14.5,122.46,131.66,2,6
14.5,15,131.66,140.84,2,4
15,15.5,140.84,150.01,2,2
15.5,16,150.01,159.16,2,0
16,16.5,159.16,168.31,2,7
16.5,17,168.31,177.44,2,4
17,17.5,177.44,186.56,2,1
17.5,18,186.56,195.66,2,2
18,18.5,195.66,204.76,2,1
18.5,19,204.76,213.85,2,3
19,19.5,213.85,222.92,2,1
19.5,20,222.92,231.99,2,35
20,20.5,231.99,241.05,2,13
20.5,21,241.05,250.1,2,1
21,21.5,250.1,259.14,2,3
21.5,22,259.14,268.17,2,6
22,22.5,268.17,277.2,2,0
22.5,23,277.2,286.22,2,3
23,23.5,286.22,295.23,2,2
23.5,24,295.23,304.23,2,2
24,24.5,304.23,313.24,2,20
24.5,25,313.24,322.23,2,2
25,25.25,322.23,326.73,2,19
25.25,25.5,326.73,331.22,2,12
25.5,25.75,331.22,335.72,2,2
25.75,26,335.72,340.21,2,5
26,26.25,340.21,344.7,2,12
26.25,26.5,344.7,349.19,2,7
26.5,26.75,349.19,353.68,2,14
26.75,27,353.68,358.17,2,21
27,27.25,358.17,362.66,2,8
27.25,27.5,362.66,367.15,2,8
27.5,27.75,367.15,371.64,2,6
27.75,28,371.64,376.12,2,1
28,28.25,376.12,380.61,2,7
28.25,28.5,380.61,385.1,2,4
28.5,28.75,385.1,389.58,2,2
28.75,29,389.58,394.07,2,9
29,29.25,394.07,398.55,2,3
29.25,29.5,398.55,403.04,2,4
29.5,29.75,403.04,407.52,2,9
29.75,30,407.52,412.01,2,19
30,30.25,412.01,416.49,2,34
30.25,30.5,416.49,420.97,2,54
30.5,30.75,420.97,425.46,2,57
30.75,31,425.46,429.94,2,6
31,31.25,429.94,434.43,2,2
31.25,31.5,434.43,438.91,2,2
31.5,31.75,438.91,443.4,2,1
31.75,32,443.4,447.88,2,4
32,32.25,447.88,452.37,2,4
32.25,32.5,452.37,456.86,2,2
32.5,32.75,456.86,461.34,2,23
32.75,33,461.34,465.83,2,4
33,33.25,465.83,470.32,2,3
33.25,33.5,470.32,474.81,2,3
33.5,33.75,474.81,479.3,2,5
33.75,34,479.3,483.79,2,3
34,34.25,483.79,488.28,2,2
34.25,34.5,488.28,492.77,2,1
34.5,34.75,492.77,497.26,2,2
34.75,35,497.26,501.76,2,4
35,35.25,501.76,506.25,2,0
35.25,35.5,506.25,510.75,2,3
35.5,35.75,510.75,515.25,2,6
35.75,36,515.25,519.74,2,5
36,36.25,519.74,524.24,2,4
36.25,36.5,524.24,528.75,2,2
36.5,36.75,528.75,533.25,2,7
36.75,37,533.25,537.75,2,37
37,37.25,537.75,542.26,2,37
37.25,37.5,542.26,546.76,2,73
37.5,37.75,546.76,551.27,2,251
37.75,38,551.27,555.78,2,32
38,38.25,555.78,560.29,2,20
38.25,38.5,560.29,564.81,2,10
38.5,38.75,564.81,569.32,2,3
38.75,39,569.32,573.84,2,5
39,39.25,573.84,578.36,2,12
39.25,39.5,578.36,582.88,2,1
39.5,39.75,582.88,587.41,2,5
39.75,40,587.41,591.93,2,4
40,40.25,591.93,596.46,2,24
40.25,40.5,596.46,600.99,2,12
40.5,40.75,600.99,605.52,2,8
40.75,41,605.52,610.06,2,3
41,41.25,610.06,614.59,2,23
41.25,41.5,614.59,619.13,2,18
41.5,41.75,619.13,623.67,2,85
41.75,42,623.67,628.22,2,15
42,42.25,628.22,632.77,2,6
42.25,42.5,632.77,637.32,2,14
42.5,42.75,637.32,641.87,2,6
42.75,43,641.87,646.42,2,3
43,43.25,646.42,650.98,2,3
43.25,43.5,650.98,655.54,2,6
43.5,43.75,655.54,660.11,2,21
43.75,44,660.11,664.67,2,12
44,44.25,664.67,669.24,2,3
44.25,44.5,669.24,673.82,2,5
44.5,44.75,673.82,678.39,2,3
