cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-54,-50,5,1
0.5,1,-50,-46,3,3
1,1.5,-46,-42,3,0
1.5,2,-42,-37,5,6
2,2.5,-37,-33,3,1
2.5,3,-33,-27,5,2
3,3.5,-27,-21,5,18
3.5,4,-21,-14,5,12
4,4.5,-14,-5,5,6
4.5,5,-5,5,5,60
5,5.5,5,16,5,19
5.5,6,16,31,5,14
6,6.5,31,42,5,30
6.5,7,42,53,5,69
7,7.5,53,64,5,29
7.5,8,64,76,5,57
8,8.5,76,87,5,54
8.5,9,87,98,5,19
9,9.5,98,109,5,6
9.5,10,109,121,5,3
10,10.5,121,132,5,11
10.5,11,132,143,5,44
11,11.5,143,155,5,35
11.5,12,155,166,5,4
12,12.5,166,178,5,0
12.5,13,178,189,5,0
13,13.5,189,201,5,8
13.5,14,201,212,5,9
14,14.5,212,224,5,4
14.5,15,224,235,5,7
15,15.5,235,247,3,5
15.5,15.75,247,253,2,4
15.75,16,253,259,3,1
16,16.25,259,265,3,1
16.25,16.5,265,271,3,4
16.5,16.75,271,276,3,0
16.75,17,276,282,3,2
17,17.25,282,288,3,2
17.25,17.5,288,294,3,1
17.5,17.75,294,300,2,0
17.75,18,300,306,3,6
18,18.25,306,312,3,0
18.25,18.5,312,318,3,1
18.5,18.75,318,324,3,1
18.75,19,324,330,3,0
19,19.25,330,336,3,0
19.25,19.5,336,342,3,1
19.5,20,342,354,3,3
20,20.25,354,360,3,1
20.25,20.5,360,366,2,2
20.5,20.75,366,372,3,1
20.75,21,372,378,3,14
21,21.25,378,384,3,14
21.25,21.5,384,390,3,19
21.5,21.75,390,396,3,3
21.75,22,396,402,3,7
22,22.25,402,408,3,7
22.25,22.5,408,414,3,10
22.5,22.75,414,420,3,1
22.75,23,420,426,3,1
23,23.25,426,432,3,1
23.25,23.5,432,438,3,5
23.5,23.75,438,444,3,4
23.75,24,444,450,3,3
24,24.25,450,457,3,4
24.25,24.5,457,463,3,4
24.5,24.75,463,469,3,6
24.75,25,469,475,3,3
25,25.25,475,481,3,1
25.25,25.5,481,487,3,7
25.5,25.75,487,494,3,8
25.75,26,494,500,3,16
26,26.25,500,506,3,46
26.25,26.5,506,512,3,20
26.5,26.75,512,518,3,4
26.75,27,518,525,3,2
27,27.25,525,531,3,2
27.25,27.5,531,537,3,2
27.5,27.75,537,543,3,10
27.75,28,543,549,3,4
28,28.25,549,556,3,3
28.25,28.5,556,562,3,6
28.5,28.75,562,568,3,12
28.75,29,568,575,3,4
29,29.25,575,581,3,2
29.25,29.5,581,587,3,10
29.5,29.75,587,593,3,0
29.75,30,593,600,3,9
30,30.25,600,606,3,2
30.25,30.5,606,612,3,1
30.5,30.75,612,619,3,1
30.75,31,619,625,3,2
31,31.25,625,631,3,0
31.25,31.5,631,638,3,0
31.5,31.75,638,644,3,3
31.75,32,644,651,2,0
32,32.25,651,657,2,1
32.25,32.5,657,663,3,5
32.5,32.75,663,670,3,5
32.75,33,670,676,3,1
33,33.25,676,683,3,1
33.25,33.5,683,689,3,6
33.5,33.75,689,695,3,37
33.75,34,695,702,3,2
34,34.25,702,708,3,4
34.25,34.5,708,715,3,2
34.5,34.75,715,721,3,3
34.75,35,721,728,3,1
35,35.25,728,734,3,0
35.25,35.5,734,741,3,7
35.5,35.75,741,747,3,21
35.75,36,747,754,3,44
36,36.25,754,760,3,9
36.25,36.5,760,767,3,2
36.5,36.75,767,773,3,8
36.75,37,773,780,3,7
37,37.25,780,786,3,2
37.25,37.5,786,793,3,1
37.5,37.75,793,799,3,2
37.75,38,799,806,3,10
38,38.25,806,813,3,0
38.25,38.5,813,819,3,5
38.5,38.75,819,826,3,1
38.75,39,826,832,3,2
39,39.25,832,839,3,2
39.25,39.5,839,846,3,2
39.5,39.75,846,852,3,11
39.75,40,852,859,3,3
40,40.25,859,866,3,2
40.25,40.5,866,872,3,5
40.5,40.75,872,879,3,1
40.75,41,879,886,3,3
41,41.25,886,892,3,0
41.25,41.5,892,899,3,0
41.5,41.75,899,906,3,8
41.75,42,906,912,3,0
42,42.25,912,919,3,3
42.25,42.5,919,926,3,0
42.5,42.75,926,932,3,0
42.75,43,932,939,3,0
43,43.25,939,946,3,12
43.25,43.5,946,953,3,4
43.5,43.75,953,959,3,6
43.75,44,959,966,3,1
44,44.25,966,973,3,8
44.25,44.5,973,980,3,11
44.5,44.75,980,987,3,1
44.75,45,987,993,3,2
45,45.25,993,1000,3,8
45.25,45.5,1000,1007,3,2
45.5,45.75,1007,1014,3,11
45.75,46,1014,1021,3,3
46,46.25,1021,1027,3,5
46.25,46.5,1027,1034,3,1
46.5,46.75,1034,1041,3,1
46.75,47,1041,1048,3,2
