cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-58.243,-54.223,2,3
0.5,1,-54.223,-48.084,2,4
1,1.5,-48.084,-38.043,2,3
1.5,2,-38.043,-23.685,2,17
2,2.5,-23.685,-5.3095,2,2
2.5,3,-5.3095,15.292,2,6
3,3.5,15.292,37.894,2,2
3.5,4,37.894,60.312,2,4
4,4.5,60.312,82.553,2,4
4.5,5,82.553,104.62,2,3
5,5.5,104.62,126.53,2,4
5.5,6,126.53,148.29,2,3
6,6.5,148.29,169.89,2,7
6.5,7,169.89,191.35,2,3
7,7.5,191.35,212.68,2,2
7.5,8,212.68,233.89,2,4
8,8.5,233.89,254.97,2,2
8.5,9,254.97,275.94,2,3
9,9.5,275.94,296.81,2,5
9.5,10,296.81,317.57,2,15
10,10.5,317.57,338.25,2,7
10.5,11,338.25,358.85,2,9
11,11.5,358.85,379.36,2,1
11.5,12,379.36,399.81,2,1
12,12.5,399.81,420.19,2,5
12.5,13,420.19,440.52,2,12
13,13.5,440.52,460.81,2,0
13.5,14,460.81,481.05,2,3
14,14.5,481.05,501.26,2,6
14.5,15,501.26,521.44,2,1
15,15.25,521.44,531.52,2,3
15.25,15.5,531.52,541.6,2,12
15.5,15.75,541.6,551.68,2,16
15.75,16,551.68,561.75,2,14
16,16.25,561.75,571.83,2,3
16.25,16.5,571.83,581.9,2,1
16.5,16.75,581.9,591.97,2,1
16.75,17,591.97,602.05,2,14
17,17.25,602.05,612.13,2,13
17.25,17.5,612.13,622.21,2,1
17.5,17.75,622.21,632.29,2,6
17.75,18,632.29,642.38,2,3
18,18.25,642.38,652.48,2,11
18.25,18.5,652.48,662.58,2,16
18.5,18.75,662.58,672.69,2,12
18.75,19,672.69,682.81,2,19
19,19.25,682.81,692.94,2,9
19.25,19.5,692.94,703.08,2,21
19.5,19.75,703.08,713.23,2,17
19.75,20,713.23,723.39,2,14
20,20.25,723.39,733.57,2,21
20.25,20.5,733.57,743.76,2,18
20.5,20.75,743.76,753.96,2,31
20.75,21,753.96,764.18,2,15
21,21.25,764.18,774.42,2,18
21.25,21.5,774.42,784.68,2,25
21.5,21.75,784.68,794.95,2,35
21.75,22,794.95,805.24,2,25
22,22.25,805.24,815.56,2,22
22.25,22.5,815.56,825.89,2,16
22.5,22.75,825.89,836.25,2,14
22.75,23,836.25,846.63,2,25
23,23.25,846.63,857.03,2,13
23.25,23.5,857.03,867.46,2,19
23.5,23.75,867.46,877.91,2,13
23.75,24,877.91,888.4,2,10
24,24.25,888.4,898.9,2,17
24.25,24.5,898.9,909.44,2,39
24.5,24.75,909.44,920.01,2,12
24.75,25,920.01,930.6,2,5
25,25.25,930.6,941.23,2,7
25.25,25.5,941.23,951.89,2,14
25.5,25.75,951.89,962.58,2,9
25.75,26,962.58,973.31,2,7
26,26.25,973.31,984.07,2,10
26.25,26.5,984.07,994.87,2,9
26.5,26.75,994.87,1005.7,2,6
26.75,27,1005.7,1016.6,2,11
27,27.25,1016.6,1027.5,2,12
27.25,27.5,1027.5,1038.4,2,12
27.5,27.75,1038.4,1049.4,2,18
27.75,28,1049.4,1060.4,2,11
28,28.25,1060.4,1071.5,2,25
28.25,28.5,1071.5,1082.6,2,11
28.5,28.75,1082.6,1093.8,2,26
28.75,29,1093.8,1105,2,30
29,29.25,1105,1116.2,2,33
29.25,29.5,1116.2,1127.5,2,67
29.5,29.75,1127.5,1138.9,2,16
29.75,30,1138.9,1150.2,2,19
30,30.25,1150.2,1161.7,2,36
30.25,30.5,1161.7,1173.2,2,36
30.5,30.75,1173.2,1184.7,2,40
30.75,31,1184.7,1196.3,2,6
31,31.25,1196.3,1207.9,2,8
31.25,31.5,1207.9,1219.6,2,16
31.5,31.75,1219.6,1231.4,2,26
31.75,32,1231.4,1243.2,2,27
32,32.25,1243.2,1255.1,2,14
32.25,32.5,1255.1,1267,2,13
32.5,32.75,1267,1279,2,17
32.75,33,1279,1291,2,26
33,33.25,1291,1303.1,2,16
33.25,33.5,1303.1,1315.2,2,22
33.5,33.75,1315.2,1327.5,2,25
33.75,34,1327.5,1339.7,2,19
34,34.25,1339.7,1352.1,2,22
34.25,34.5,1352.1,1364.5,2,5
34.5,34.75,1364.5,1377,2,7
34.75,35,1377,1389.5,2,5
35,35.25,1389.5,1402.1,2,3
35.25,35.5,1402.1,1414.8,2,19
35.5,35.75,1414.8,1427.5,2,19
35.75,36,1427.5,1440.3,2,115
36,36.25,1440.3,1453.2,2,63
36.25,36.5,1453.2,1466.2,2,21
36.5,36.75,1466.2,1479.2,2,71
36.75,37,1479.2,1492.3,2,42
37,37.25,1492.3,1505.5,2,29
37.25,37.5,1505.5,1518.7,2,15
37.5,37.75,1518.7,1532.1,2,18
37.75,38,1532.1,1545.5,2,20
38,38.25,1545.5,1558.9,2,14
38.25,38.5,1558.9,1572.5,2,9
38.5,38.75,1572.5,1586.1,2,5
38.75,39,1586.1,1599.8,2,7
39,39.25,1599.8,1613.6,2,3
39.25,39.5,1613.6,1627.5,2,10
39.5,39.75,1627.5,1641.5,2,8
39.75,40,1641.5,1655.5,2,11
40,40.25,1655.5,1669.7,2,9
40.25,40.5,1669.7,1683.9,2,3
40.5,40.75,1683.9,1698.2,2,12
40.75,41,1698.2,1712.6,2,7
41,41.25,1712.6,1727.1,2,45
41.25,41.5,1727.1,1741.6,2,77
41.5,41.75,1741.6,1756.3,2,30
41.75,42,1756.3,1771.1,2,12
42,42.25,1771.1,1785.9,2,33
42.25,42.5,1785.9,1800.8,2,27
42.5,42.75,1800.8,1815.9,2,64
42.75,43,1815.9,1831,2,63
43,43.25,1831,1846.3,2,56
43.25,43.5,1846.3,1861.7,2,29
43.5,43.75,1861.7,1877.3,2,10
43.75,44,1877.3,1893.1,2,6
44,44.25,1893.1,1909,2,2
44.25,44.5,1909,1925.1,2,15
44.5,44.75,1925.1,1941.3,2,15
44.75,45,1941.3,1957.7,2,7
45,45.25,1957.7,1974.3,2,14
45.25,45.5,1974.3,1991,2,11
45.5,45.75,1991,2007.8,2,8
45.75,46,2007.8,2024.8,2,5
46,46.25,2024.8,2041.9,2,33
46.25,46.5,2041.9,2059.2,2,7
46.5,46.75,2059.2,2076.6,2,5
46.75,47,2076.6,2094.1,2,3
47,47.25,2094.1,2111.8,2,4
47.25,47.5,2111.8,2129.5,2,5
47.5,47.75,2129.5,2147.4,2,11
47.75,48,2147.4,2165.4,2,5
48,48.25,2165.4,2183.6,2,49
48.25,48.5,2183.6,2201.8,2,39
48.5,48.75,2201.8,2220.2,2,21
48.75,49,2220.2,2238.6,2,19
49,49.25,2238.6,2257.2,2,26
49.25,49.5,2257.2,2275.9,2,26
49.5,49.75,2275.9,2294.6,2,22
49.75,50,2294.6,2313.5,2,32
50,50.25,2313.5,2332.4,2,22
50.25,50.5,2332.4,2351.5,2,11
50.5,50.75,2351.5,2370.6,2,5
50.75,51,2370.6,2389.8,2,4
51,51.25,2389.8,2409.1,2,2
51.25,51.5,2409.1,2428.4,2,7
51.5,51.75,2428.4,2447.9,2,4
51.75,52,2447.9,2467.4,2,6
52,52.25,2467.4,2486.9,2,14
52.25,52.5,2486.9,2506.6,2,5
52.5,52.75,2506.6,2526.3,2,3
52.75,53,2526.3,2546,2,4
53,53.25,2546,2565.9,2,2
53.25,53.5,2565.9,2585.7,2,10
53.5,53.75,2585.7,2605.7,2,25
53.75,54,2605.7,2625.6,2,18
54,54.25,2625.6,2645.6,2,12
54.25,54.5,2645.6,2665.7,2,8
54.5,54.75,2665.7,2685.8,2,5
54.75,55,2685.8,2705.9,2,2
55,55.25,2705.9,2726.1,2,0
55.25,55.5,2726.1,2746.3,2,5
55.5,55.75,2746.3,2766.5,2,7
55.75,56,2766.5,2786.7,2,12
56,56.25,2786.7,2807,2,8
56.25,56.5,2807,2827.2,2,9
56.5,56.75,2827.2,2847.5,2,11
56.75,57,2847.5,2867.8,2,12
57,57.25,2867.8,2888.2,2,8
57.25,57.5,2888.2,2908.5,2,15
57.5,57.75,2908.5,2928.8,2,16
57.75,58,2928.8,2949.1,2,3
58,58.25,2949.1,2969.4,2,5
58.25,58.5,2969.4,2989.8,2,11
58.5,58.75,2989.8,3010.1,2,20
58.75,59,3010.1,3030.3,2,20
59,59.25,3030.3,3050.6,2,14
59.25,59.5,3050.6,3070.9,2,6
59.5,59.75,3070.9,3091.1,2,1
59.75,60,3091.1,3111.3,2,13
60,60.25,3111.3,3131.5,2,14
60.25,60.5,3131.5,3151.7,2,32
60.5,60.75,3151.7,3171.8,2,8
60.75,61,3171.8,3191.9,2,24
61,61.25,3191.9,3212,2,14
61.25,61.5,3212,3232,2,9
61.5,61.75,3232,3251.9,2,3
61.75,62,3251.9,3271.9,2,1
62,62.25,3271.9,3291.7,2,0
62.25,62.5,3291.7,3311.5,2,3
62.5,62.75,3311.5,3331.3,2,23
62.75,63,3331.3,3351,2,6
63,63.25,3351,3370.7,2,38
63.25,63.5,3370.7,3390.4,2,13
63.5,63.75,3390.4,3410.1,2,13
63.75,64,3410.1,3429.9,2,19
64,64.25,3429.9,3449.7,2,22
64.25,64.5,3449.7,3469.5,2,20
64.5,64.75,3469.5,3489.3,2,13
64.75,65,3489.3,3509.2,2,11
65,65.25,3509.2,3529,2,16
65.25,65.5,3529,3548.9,2,7
65.5,65.75,3548.9,3568.9,2,12
65.75,66,3568.9,3588.8,2,11
66,66.25,3588.8,3608.8,2,8
66.25,66.5,3608.8,3628.8,2,5
66.5,66.75,3628.8,3648.8,2,4
66.75,67,3648.8,3668.9,2,1
67,67.25,3668.9,3689,2,2
67.25,67.5,3689,3709.1,2,1
67.5,67.75,3709.1,3729.2,2,0
67.75,68,3729.2,3749.3,2,4
68,68.25,3749.3,3769.5,2,1
68.25,68.5,3769.5,3789.7,2,3
68.5,68.75,3789.7,3809.9,2,0
68.75,69,3809.9,3830.2,2,6
69,69.25,3830.2,3850.4,2,7
69.25,69.5,3850.4,3870.7,2,0
69.5,69.75,3870.7,3891,2,8
69.75,70,3891,3911.4,2,13
70,70.25,3911.4,3931.7,2,7
70.25,70.5,3931.7,3952.1,2,28
70.5,70.75,3952.1,3972.5,2,1
70.75,71,3972.5,3992.9,2,0
71,71.25,3992.9,4013.4,2,5
71.25,71.5,4013.4,4033.9,2,8
71.5,71.75,4033.9,4054.4,2,34
71.75,72,4054.4,4074.9,2,17
72,72.25,4074.9,4095.4,2,10
72.25,72.5,4095.4,4116,2,1
72.5,72.75,4116,4136.6,2,5
72.75,73,4136.6,4157.2,2,16
73,73.25,4157.2,4177.8,2,5
73.25,73.5,4177.8,4198.5,2,4
73.5,73.75,4198.5,4219.2,2,7
73.75,74,4219.2,4239.9,2,23
74,74.25,4239.9,4260.6,2,21
74.25,74.5,4260.6,4281.3,1,5
74.5,74.75,4281.3,4302.1,2,6
74.75,75,4302.1,4322.9,2,3
75,75.25,4322.9,4343.7,2,3
75.25,75.5,4343.7,4364.5,2,2
75.5,75.75,4364.5,4385.4,1.5,0
75.75,76,4385.4,4406.3,2,0
76,76.25,4406.3,4427.2,2,0
76.25,76.5,4427.2,4448.1,2,0
76.5,76.75,4448.1,4469,2,1
76.75,77,4469,4490,2,18
77,77.25,4490,4511,2,33
77.25,77.5,4511,4532,1,15
77.5,77.75,4532,4553,2,6
77.75,78,4553,4574.1,1,2
78,78.25,4574.1,4595.1,2,0
78.25,78.5,4595.1,4616.2,2,3
78.5,78.75,4616.2,4637.3,2,2
78.75,79,4637.3,4658.5,1,10
79,79.25,4658.5,4679.6,2,29
79.25,79.5,4679.6,4700.8,2,18
79.5,79.75,4700.8,4722,2,23
79.75,80,4722,4743.2,2,15
80,80.25,4743.2,4764.4,2,20
80.25,80.5,4764.4,4785.6,2,14
80.5,80.75,4785.6,4806.9,2,10
80.75,81,4806.9,4828.2,2,3
81,81.25,4828.2,4849.5,2,8
81.25,81.5,4849.5,4870.8,2,10
81.5,81.75,4870.8,4892.1,2,11
81.75,82,4892.1,4913.4,2,2
82,82.25,4913.4,4934.8,2,0
82.25,82.5,4934.8,4956.2,2,15
82.5,82.75,4956.2,4977.6,2,8
82.75,83,4977.6,4999,2,17
83,83.25,4999,5020.4,2,53
83.25,83.5,5020.4,5041.8,2,6
83.5,83.75,5041.8,5063.3,2,5
83.75,84,5063.3,5084.7,2,12
84,84.25,5084.7,5106.2,2,5
84.25,84.5,5106.2,5127.7,2,9
84.5,84.75,5127.7,5149.2,2,10
84.75,85,5149.2,5170.7,2,5
85,85.25,5170.7,5192.3,2,1
85.25,85.5,5192.3,5213.8,2,2
85.5,85.75,5213.8,5235.4,2,0
85.75,86,5235.4,5256.9,2,1
86,86.25,5256.9,5278.5,2,3
86.25,86.5,5278.5,5300.1,2,6
86.5,86.75,5300.1,5321.7,2,20
86.75,87,5321.7,5343.3,2,11
87,87.25,5343.3,5364.9,2,11
87.25,87.5,5364.9,5386.6,2,9
87.5,87.75,5386.6,5408.2,2,8
87.75,88,5408.2,5429.9,2,3
88,88.25,5429.9,5451.5,2,6
88.25,88.5,5451.5,5473.2,2,13
88.5,88.75,5473.2,5494.9,2,22
88.75,89,5494.9,5516.6,2,10
89,89.25,5516.6,5538.3,2,4
89.25,89.5,5538.3,5560,2,10
89.5,89.75,5560,5581.7,2,9
89.75,90,5581.7,5603.4,2,3
90,90.25,5603.4,5625.1,2,2
90.25,90.5,5625.1,5646.9,2,1
90.5,90.75,5646.9,5668.6,2,4
90.75,91,5668.6,5690.3,2,9
91,91.25,5690.3,5712.1,2,7
91.25,91.5,5712.1,5733.9,2,4
91.5,91.75,5733.9,5755.6,1.5,8
91.75,92,5755.6,5777.4,2,10
92,92.25,5777.4,5799.2,2,4
92.25,92.5,5799.2,5821,2,4
92.5,92.75,5821,5842.7,2,12
92.75,93,5842.7,5864.5,2,3
93,93.25,5864.5,5886.3,2,4
93.25,93.5,5886.3,5908.1,2,1
93.5,93.75,5908.1,5929.9,2,2
93.75,94,5929.9,5951.7,2,3
94,94.25,5951.7,5973.5,2,0
94.25,94.5,5973.5,5995.4,2,1
94.5,94.75,5995.4,6017.2,2,1
94.75,95,6017.2,6039,2,0
95,95.25,6039,6060.8,2,6
95.25,95.5,6060.8,6082.6,2,5
