cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-57,-43.06827388,3,2
0.5,1,-43.06827388,-31.43029855,3,2
1,1.5,-31.43029855,-22.8503993,3,1
1.5,2,-22.8503993,-11.97519945,3,0
2,2.5,-11.97519945,6.16612762,3,0
2.5,3,6.16612762,28.89650609,3,1
3,3.5,28.89650609,60.78144363,3,1
3.5,4,60.78144363,90.59663694,3,0
4,4.5,90.59663694,120.4105338,3,1
4.5,5,120.4105338,150.2224861,3,0
5,5.5,150.2224861,180.0318455,3,0
5.5,6,180.0318455,209.8379638,3,0
6,6.5,209.8379638,239.6401928,3,0
6.5,7,239.6401928,269.4378844,3,0
7,7.5,269.4378844,299.2303902,3,1
7.5,8,299.2303902,329.0170622,3,0
8,8.5,329.0170622,358.797252,2.5,0
8.5,9,358.797252,388.5703114,3,0
9,9.5,388.5703114,418.3355923,3,0
9.5,10,418.3355923,448.0924465,3,1
10,10.5,448.0924465,477.8402256,2,0
10.5,11,477.8402256,507.5782816,3,0
11,11.5,507.5782816,537.3059661,2,0
11.5,12,537.3059661,567.0226311,3,1
12,12.5,567.0226311,596.7276282,3,0
12.5,13,596.7276282,626.4203092,3,0
13,13.5,626.4203092,656.100026,3,1
13.5,14,656.100026,685.7661303,2,2
14,14.5,685.7661303,715.4179739,3,6
14.5,15,715.4179739,745.0549086,3,6
15,15.25,745.0549086,759.8675826,6,10
15.25,15.5,759.8675826,774.6762863,3,18
15.5,15.75,774.6762863,789.4809386,2,9
15.75,16,789.4809386,804.2814585,3,41
16,16.25,804.2814585,819.0777651,2,8
16.25,16.5,819.0777651,833.8697773,3,8
16.5,16.75,833.8697773,848.657414,3,13
16.75,17,848.657414,863.4405943,3,27
17,17.25,863.4405943,878.2192371,2,5
17.25,17.5,878.2192371,892.9932613,3,3
17.5,17.75,892.9932613,907.762586,3,2
17.75,18,907.762586,922.5271302,2,9
18,18.25,922.5271302,937.2868127,2.5,8
18.25,18.5,937.2868127,952.0415526,2,1
18.5,18.75,952.0415526,966.7912689,3,2
18.75,19,966.7912689,981.5358805,3,3
19,19.25,981.5358805,996.2753064,3,1
19.25,19.5,996.2753064,1011.009466,3,0
19.5,19.75,1011.009466,1025.738277,2.5,1
19.75,20,1025.738277,1040.46166,2,5
20,20.25,1040.46166,1055.179532,3,55
20.25,20.5,1055.179532,1069.891814,3,4
20.5,20.75,1069.891814,1084.598424,3,4
20.75,21,1084.598424,1099.299282,3,1
21,21.25,1099.299282,1113.994305,3,0
21.25,21.5,1113.994305,1128.683413,3,15
21.5,21.75,1128.683413,1143.366526,2.5,1
21.75,22,1143.366526,1158.043561,3,28
22,22.25,1158.043561,1172.714438,3,2
22.25,22.5,1172.714438,1187.379077,3,1
22.5,22.75,1187.379077,1202.037395,3,0
22.75,23,1202.037395,1216.689312,3,8
23,23.25,1216.689312,1231.334747,3,11
23.25,23.5,1231.334747,1245.973619,3,14
23.5,23.75,1245.973619,1260.605846,3,57
