cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.73,-57,-53.55,5,2
0.73,1.46,-53.55,-49.65,5,2
1.46,2.19,-49.65,-44.95,5,0
2.19,2.92,-44.95,-39.52,5,0
2.92,3.65,-39.52,-33.25,5,0
3.65,4.38,-33.25,-24.69,5,0
4.38,5.12,-24.69,-12.34,5,0
5.12,5.85,-12.34,2.88,3,0
5.85,6.58,2.88,19.76,3.25,1
6.58,7.31,19.76,35.94,3.5,7
7.31,8.04,35.94,49.14,5,6
8.04,8.77,49.14,62.92,5,3
8.77,9.5,62.92,77.87,5,1
9.5,10.23,77.87,94,5,0
10.23,10.96,94,106.21,5,0
10.96,11.69,106.21,120.96,4.5,0
11.69,12.42,120.96,136.16,5,0
12.42,13.15,136.16,152.04,5,0
13.15,13.88,152.04,168.81,5,0
13.88,14.62,168.81,186.96,5,1
14.62,15.35,186.96,206.23,5,0
15.35,16.08,206.23,227.07,5,0
16.08,16.81,227.07,249.72,5,0
16.81,17.54,249.72,274.39,5,5
17.54,18.27,274.39,301.31,5,0
18.27,19,301.31,330.72,5,0
19,19.25,330.72,340.53,3.25,1
19.25,19.5,340.53,352.4,1.5,0
19.5,19.75,352.4,363.74,2.5,0
19.75,20,363.74,375.42,2,0
20,20.25,375.42,387.46,2,0
20.25,20.5,387.46,399.86,1.5,0
20.5,20.75,399.86,412.62,2,0
20.75,21,412.62,425.77,2.5,0
21,21.25,425.77,439.31,2.5,1
21.25,21.5,439.31,453.25,2,1
21.5,21.75,453.25,467.59,2.75,1
21.75,22,467.59,482.35,3,0
22,22.25,482.35,497.54,2.5,2
22.25,22.5,497.54,513.16,2.5,1
22.5,22.75,513.16,529.22,2.5,1
22.75,23,529.22,545.73,3,1
23,23.25,545.73,562.71,3.75,1
23.25,23.5,562.71,580.16,3.25,3
23.5,23.75,580.16,598.08,3.75,2
23.75,24,598.08,616.5,3.5,0
24,24.25,616.5,635.41,3.75,3
24.25,24.5,635.41,654.83,3.25,1
24.5,24.75,654.83,674.76,4,0
24.75,25,674.76,695.22,3.75,1
25,25.25,695.22,716.21,3.25,0
25.25,25.5,716.21,737.75,4.75,0
25.5,25.75,737.75,759.83,3.25,2
25.75,26,759.83,782.48,4,1
26,26.25,782.48,805.7,4.25,4
26.25,26.5,805.7,829.49,4,0
26.5,26.75,829.49,853.87,3.25,0
26.75,27,853.87,878.81,3,1
27,27.25,878.81,904.28,3.25,0
27.25,27.5,904.28,930.27,4.25,2
27.5,27.75,930.27,956.73,3.5,0
27.75,28,956.73,983.66,5,0
28,28.25,983.66,1011.01,4,2
28.25,28.5,1011.01,1038.77,4.5,1
28.5,28.75,1038.77,1066.91,4.25,3
28.75,29,1066.91,1095.4,4.25,2
29,29.25,1095.4,1124.22,3.75,0
29.25,29.5,1124.22,1153.34,3.5,0
29.5,29.75,1153.34,1182.73,5,2
29.75,30,1182.73,1212.37,3.25,2
30,30.25,1212.37,1242.23,3.25,1
30.25,30.5,1242.23,1272.29,3.75,3
30.5,30.75,1272.29,1302.52,3.75,2
30.75,31,1302.52,1332.89,5,3
