cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-59.026,-58.618,2,3
0.5,1,-58.618,-58.183,2,1
1,1.5,-58.183,-57.697,2,1
1.5,2,-57.697,-57.13,2,0
2,2.5,-57.13,-56.467,2,0
2.5,3,-56.467,-55.721,2,2
3,3.5,-55.721,-54.917,2,0
3.5,4,-54.917,-54.077,2,1
4,4.5,-54.077,-53.225,2,0
4.5,5,-53.225,-52.384,2,1
5,5.5,-52.384,-51.578,2,17
5.5,6,-51.578,-50.83,2,1
6,6.5,-50.83,-50.152,2,1
6.5,7,-50.152,-49.514,2,4
7,7.5,-49.514,-48.873,2,3
7.5,8,-48.873,-48.187,2,5
8,8.5,-48.187,-47.423,2,5
8.5,9,-47.423,-46.579,2,0
9,9.5,-46.579,-45.661,2,2
9.5,10,-45.661,-44.675,2,5
10,10.5,-44.675,-43.632,2,7
10.5,11,-43.632,-42.546,2,25
11,11.5,-42.546,-41.436,2,10
11.5,12,-41.436,-40.321,2,3
12,12.5,-40.321,-39.214,2,4
12.5,13,-39.214,-38.12,2,0
13,13.5,-38.12,-37.036,2,0
13.5,14,-37.036,-35.963,2,6
14,14.5,-35.963,-34.896,2,9
14.5,15,-34.896,-33.819,2,1
15,15.5,-33.819,-32.715,2,0
15.5,16,-32.715,-31.563,2,7
16,16.5,-31.563,-30.348,2,10
16.5,17,-30.348,-29.072,2,4
17,17.5,-29.072,-27.739,2,3
17.5,18,-27.739,-26.353,2,3
18,18.5,-26.353,-24.919,2,3
18.5,19,-24.919,-23.442,2,3
19,19.25,-23.442,-22.688,2,2
19.25,19.5,-22.688,-21.926,2,7
19.5,19.75,-21.926,-21.155,2,6
19.75,20,-21.155,-20.376,2,5
20,20.25,-20.376,-19.59,2,6
20.25,20.5,-19.59,-18.797,2,3
20.5,20.75,-18.797,-17.997,2,4
20.75,21,-17.997,-17.193,2,2
21,21.25,-17.193,-16.383,2,6
21.25,21.5,-16.383,-15.568,2,14
21.5,21.75,-15.568,-14.75,2,5
21.75,22,-14.75,-13.929,2,9
22,22.25,-13.929,-13.104,2,10
22.25,22.5,-13.104,-12.275,2,3
22.5,22.75,-12.275,-11.438,2,3
22.75,23,-11.438,-10.592,2,4
23,23.25,-10.592,-9.7344,2,4
23.25,23.5,-9.7344,-8.8632,2,4
23.5,23.75,-8.8632,-7.9762,2,0
23.75,24,-7.9762,-7.071,2,1
24,24.25,-7.071,-6.1456,2,1
24.25,24.5,-6.1456,-5.1977,2,7
24.5,24.75,-5.1977,-4.2251,2,3
24.75,25,-4.2251,-3.2257,2,3
25,25.25,-3.2257,-2.1972,2,4
25.25,25.5,-2.1972,-1.1375,2,4
25.5,25.75,-1.1375,-0.044283,2,2
25.75,26,-0.044283,1.0845,2,0
26,26.25,1.0845,2.2512,2,0
26.25,26.5,2.2512,3.4579,2,1
26.5,26.75,3.4579,4.7068,2,4
26.75,27,4.7068,6.0001,2,9
27,27.25,6.0001,7.3411,2,7
27.25,27.5,7.3411,8.7371,2,30
27.5,27.75,8.7371,10.196,2,10
27.75,28,10.196,11.728,2,8
28,28.25,11.728,13.339,2,13
28.25,28.5,13.339,15.039,2,9
28.5,28.75,15.039,16.836,2,0
28.75,29,16.836,18.738,2,10
29,29.25,18.738,20.754,2,4
29.25,29.5,20.754,22.893,2,5
29.5,29.75,22.893,25.161,2,19
29.75,30,25.161,27.569,2,17
30,30.25,27.569,41.726,2,12
30.25,30.5,41.726,56.963,2,19
30.5,30.75,56.963,72.645,2,3
30.75,31,72.645,87.939,2,1
31,31.25,87.939,105.02,2,2
31.25,31.5,105.02,123.65,2,23
31.5,31.75,123.65,139.44,2,20
31.75,32,139.44,153.54,2,20
32,32.25,153.54,165.87,2,16
32.25,32.5,165.87,176.66,2,1
32.5,32.75,176.66,178.33,2,2
32.75,33,178.33,180.5,2,10
33,33.25,180.5,183.49,2,7
33.25,33.5,183.49,185.56,2,20
33.5,33.75,185.56,195.19,2,4
33.75,34,195.19,200.68,2,4
34,34.25,200.68,205.56,2,10
34.25,34.5,205.56,214.56,2,6
34.5,34.75,214.56,229.26,2,7
34.75,35,229.26,242.52,2,1
35,35.25,242.52,245.97,2,2
35.25,35.5,245.97,250.92,2,7
35.5,35.75,250.92,254.77,2,26
35.75,36,254.77,264.2,2,61
36,36.25,264.2,277.81,2,55
36.25,36.5,277.81,290.11,2,78
36.5,36.75,290.11,303,2,111
36.75,37,303,314.98,2,89
37,37.25,314.98,327.16,2,123
37.25,37.5,327.16,338.74,2,89
37.5,37.75,338.74,342.77,2,53
37.75,38,342.77,349.47,2,17
38,38.25,349.47,354.1,2,5
38.25,38.5,354.1,357.92,2,4
38.5,38.75,357.92,360.96,2,19
38.75,39,360.96,366.67,2,4
39,39.25,366.67,372.49,2,5
39.25,39.5,372.49,376.82,2,8
39.5,39.75,376.82,385.02,2,26
39.75,40,385.02,397.61,2,52
40,40.25,397.61,410.91,2,69
40.25,40.5,410.91,423.92,2,72
40.5,40.75,423.92,438.65,2,166
40.75,41,438.65,453.2,2,44
41,41.25,453.2,469.09,2,79
41.25,41.5,469.09,484.92,2,26
41.5,41.75,484.92,502,2,9
41.75,42,502,519.55,2,9
42,42.25,519.55,536.55,2,23
42.25,42.5,536.55,555.97,2,66
42.5,42.75,555.97,574.25,2,69
42.75,43,574.25,592.01,2,33
43,43.25,592.01,607.58,2,117
43.25,43.5,607.58,624.37,2,37
43.5,43.75,624.37,641.56,2,33
43.75,44,641.56,661.39,2,3
44,44.25,661.39,679.76,2,8
44.25,44.5,679.76,700.08,2,18
44.5,44.75,700.08,720.35,2,5
44.75,45,720.35,739.69,2,5
45,45.25,739.69,759.18,2,10
45.25,45.5,759.18,780.17,2,6
45.5,45.75,780.17,800.12,2,36
45.75,46,800.12,820.93,2,23
46,46.25,820.93,839.55,2,25
46.25,46.5,839.55,859.13,2,34
46.5,46.75,859.13,877.98,2,4
46.75,47,877.98,897.46,2,8
47,47.25,897.46,916.65,2,12
47.25,47.5,916.65,935.68,2,35
47.5,47.75,935.68,952.24,2,65
47.75,48,952.24,972.82,2,32
48,48.25,972.82,992.26,2,13
48.25,48.5,992.26,1015,2,25
48.5,48.75,1015,1036.6,2,62
48.75,49,1036.6,1058.8,2,11
49,49.25,1058.8,1071.8,2,19
49.25,49.5,1071.8,1078.3,2,21
49.5,49.75,1078.3,1086.6,2,10
49.75,50,1086.6,1105.3,2,28
50,50.25,1105.3,1127.9,2,5
50.25,50.5,1127.9,1151.4,2,2
50.5,50.75,1151.4,1173.1,2,3
50.75,51,1173.1,1192.5,2,9
51,51.25,1192.5,1206.1,2,4
51.25,51.5,1206.1,1216.7,2,3
51.5,51.75,1216.7,1221.2,2,13
51.75,52,1221.2,1223.8,2,4
52,52.25,1223.8,1234.4,2,10
52.25,52.5,1234.4,1239.7,2,1
52.5,52.75,1239.7,1245.7,2,2
52.75,53,1245.7,1255.9,2,3
53,53.25,1255.9,1263.1,2,3
53.25,53.5,1263.1,1266.4,2,1
53.5,53.75,1266.4,1270.3,2,16
53.75,54,1270.3,1272.7,2,8
54,54.25,1272.7,1278.3,2,1
54.25,54.5,1278.3,1280,2,7
54.5,54.75,1280,1287.9,2,0
54.75,55,1287.9,1292.6,2,1
55,55.25,1292.6,1303.8,2,3
55.25,55.5,1303.8,1309.4,2,3
55.5,55.75,1309.4,1322.9,2,6
55.75,56,1322.9,1327,2,0
56,56.25,1327,1345.3,2,3
56.25,56.5,1345.3,1362.7,2,3
56.5,56.75,1362.7,1382.9,2,3
56.75,57,1382.9,1389,2,15
57,57.25,1389,1403.9,2,3
57.25,57.5,1403.9,1420.5,2,35
57.5,57.75,1420.5,1442,2,29
57.75,58,1442,1461.3,2,32
58,58.25,1461.3,1483.1,2,54
58.25,58.5,1483.1,1503.4,2,21
58.5,58.75,1503.4,1517,2,20
58.75,59,1517,1522.6,2,12
59,59.25,1522.6,1527.2,2,3
59.25,59.5,1527.2,1536,2,1
59.5,59.75,1536,1550,2,15
59.75,60,1550,1568.3,2,14
60,60.25,1568.3,1585,2,59
60.25,60.5,1585,1602.5,2,34
60.5,60.75,1602.5,1621.2,2,25
60.75,61,1621.2,1648.3,1,4
61,61.25,1648.3,1676.5,2,15
61.25,61.5,1676.5,1705.9,2,9
61.5,61.75,1705.9,1736.7,2,9
61.75,62,1736.7,1767.6,2,17
62,62.25,1767.6,1798.9,2,15
62.25,62.5,1798.9,1829.3,2,19
62.5,62.75,1829.3,1860.8,2,11
62.75,63,1860.8,1892.2,2,18
63,63.25,1892.2,1919.1,2,10
63.25,63.5,1919.1,1945,2,22
63.5,63.75,1945,1973,2,17
63.75,64,1973,2006.5,2,16
64,64.25,2006.5,2037.6,2,3
64.25,64.5,2037.6,2066.1,2,8
64.5,64.75,2066.1,2091.4,2,7
64.75,65,2091.4,2108.4,2,8
65,65.25,2108.4,2113.8,2,6
65.25,65.5,2113.8,2116.5,2,2
65.5,65.75,2116.5,2123.9,2,10
65.75,66,2123.9,2145.5,2,23
66,66.25,2145.5,2176.1,2,8
66.25,66.5,2176.1,2201.9,2,4
66.5,66.75,2201.9,2204.7,2,12
66.75,67,2204.7,2213.5,2,6
67,67.25,2213.5,2223.6,2,25
67.25,67.5,2223.6,2244.4,2,4
67.5,67.75,2244.4,2268.9,2,7
67.75,68,2268.9,2288,2,4
68,68.25,2288,2303.7,2,3
68.25,68.5,2303.7,2311.7,2,10
68.5,68.75,2311.7,2335.5,2,6
68.75,69,2335.5,2367,2,5
69,69.25,2367,2402.5,2,13
69.25,69.5,2402.5,2437.7,2,10
69.5,69.75,2437.7,2472,2,30
69.75,70,2472,2507.3,2,22
70,70.25,2507.3,2543.8,2,27
70.25,70.5,2543.8,2580.9,2,18
70.5,70.75,2580.9,2618,2,33
70.75,71,2618,2652.6,2,62
71,71.25,2652.6,2688.1,2,32
71.25,71.5,2688.1,2724.5,2,5
71.5,71.75,2724.5,2761.3,2,4
71.75,72,2761.3,2798.4,2,78
72,72.25,2798.4,2833.5,2,36
72.25,72.5,2833.5,2865.3,2,39
72.5,72.75,2865.3,2899.4,2,10
72.75,73,2899.4,2934.2,2,16
73,73.25,2934.2,2971.1,2,15
73.25,73.5,2971.1,3003.1,2,36
73.5,73.75,3003.1,3034.7,2,50
73.75,74,3034.7,3065.7,2,49
74,74.25,3065.7,3099.1,2,35
74.25,74.5,3099.1,3136.9,2,7
74.5,74.75,3136.9,3173,2,6
74.75,75,3173,3184.3,2,1
75,75.25,3184.3,3192.9,2,2
75.25,75.5,3192.9,3206.3,2,3
75.5,75.75,3206.3,3221.1,2,26
75.75,76,3221.1,3249.9,2,4
76,76.25,3249.9,3275.6,2,7
76.25,76.5,3275.6,3296.9,2,9
76.5,76.75,3296.9,3308.1,2,35
76.75,77,3308.1,3335,2,19
77,77.25,3335,3340.4,2,19
77.25,77.5,3340.4,3345.1,2,10
77.5,77.75,3345.1,3369.8,2,46
77.75,78,3369.8,3392.8,2,47
78,78.25,3392.8,3415.5,2,18
78.25,78.5,3415.5,3418.9,2,18
78.5,78.75,3418.9,3422.3,2,8
78.75,79,3422.3,3428.8,2,14
79,79.25,3428.8,3439.1,2,10
79.25,79.5,3439.1,3452.2,2,13
79.5,79.75,3452.2,3481,2,1
79.75,80,3481,3488.8,2,7
80,80.25,3488.8,3517.6,2,50
80.25,80.5,3517.6,3551.7,2,21
80.5,80.75,3551.7,3586.8,2,8
80.75,81,3586.8,3624.2,2,7
81,81.25,3624.2,3659,2,3
81.25,81.5,3659,3682.2,2,10
81.5,81.75,3682.2,3685.4,2,5
81.75,82,3685.4,3699.6,2,27
82,82.25,3699.6,3727.6,2,4
82.25,82.5,3727.6,3757.7,2,3
82.5,82.75,3757.7,3768.7,2,14
82.75,83,3768.7,3786.8,2,12
83,83.25,3786.8,3797,2,6
83.25,83.5,3797,3803.2,2,23
83.5,83.75,3803.2,3807.4,2,3
83.75,84,3807.4,3834,1,1
84,84.25,3834,3842,2,8
84.25,84.5,3842,3877.1,2,8
84.5,84.75,3877.1,3914.7,2,11
84.75,85,3914.7,3947.7,2,19
85,85.25,3947.7,3971.4,2,11
85.25,85.5,3971.4,3985.1,2,31
85.5,85.75,3985.1,4010.4,2,24
85.75,86,4010.4,4042.1,2,8
86,86.25,4042.1,4078.6,2,9
86.25,86.5,4078.6,4092.6,2,18
86.5,86.75,4092.6,4112.2,2,24
86.75,87,4112.2,4124,2,3
87,87.25,4124,4141.6,1,0
87.25,87.5,4141.6,4162.9,1,1
87.5,87.75,4162.9,4195.8,1,3
87.75,88,4195.8,4233.3,1,6
88,88.25,4233.3,4271.3,0.5,9
88.25,88.5,4271.3,4306,1,29
88.5,88.75,4306,4342.2,0.5,1
88.75,89,4342.2,4375.9,0.5,0
89,89.25,4375.9,4400.6,0.5,1
89.25,89.5,4400.6,4407.5,1,4
89.5,89.75,4407.5,4411.2,1,0
89.75,90,4411.2,4433.4,0.5,0
90,90.25,4433.4,4452.4,1,0
90.25,90.5,4452.4,4469.5,0.5,1
90.5,90.75,4469.5,4485.9,0.5,2
90.75,91,4485.9,4498.4,0.5,0
91,91.25,4498.4,4509.7,0.5,0
91.25,91.5,4509.7,4518.6,0.5,0
91.5,91.75,4518.6,4522.4,1,0
91.75,92,4522.4,4528.7,1,0
92,92.25,4528.7,4532.4,1,0
92.25,92.5,4532.4,4534.5,1,0
92.5,92.75,4534.5,4536.5,1,0
92.75,93,4536.5,4538,1,1
93,93.25,4538,4540.3,2,132
93.25,93.5,4540.3,4547.1,2,8
93.5,93.75,4547.1,4552,2,7
93.75,94,4552,4553.2,2,18
94,94.25,4553.2,4556.7,2,8
94.25,94.5,4556.7,4561.2,2,7
94.5,94.75,4561.2,4565.8,2,1
94.75,95,4565.8,4570.4,1,1
95,95.25,4570.4,4574,2,4
95.25,95.5,4574,4577.6,2,15
95.5,95.75,4577.6,4581,2,14
95.75,96,4581,4583.2,2,4
96,96.25,4583.2,4583.6,2,17
96.25,96.5,4583.6,4585,2,14
96.5,96.75,4585,4585.7,2,3
96.75,97,4585.7,4587.5,2,3
97,97.25,4587.5,4589.4,2,2
97.25,97.5,4589.4,4591.9,2,3
97.5,97.75,4591.9,4594.6,2,5
97.75,98,4594.6,4597.2,2,9
98,98.25,4597.2,4599.5,2,4
98.25,98.5,4599.5,4601.9,2,3
98.5,98.75,4601.9,4604.2,2,8
98.75,99,4604.2,4606.7,2,2
99,99.25,4606.7,4609,2,6
99.25,99.5,4609,4610.7,2,40
99.5,99.75,4610.7,4610.9,2,16
99.75,100,4610.9,4613.1,2,19
100,100.25,4613.1,4614,1,0
100.25,100.5,4614,4614.3,1,0
100.5,100.75,4614.3,4614.6,1,0
100.75,101,4614.6,4614.9,1,0
101,101.25,4614.9,4615.2,1,0
101.25,101.5,4615.2,4615.7,1,3
101.5,101.75,4615.7,4616,1,0
101.75,102,4616,4616.6,1,1
102,102.25,4616.6,4617.1,1,7
102.25,102.5,4617.1,4618.6,1,3
102.5,102.75,4618.6,4621.3,1,2
102.75,103,4621.3,4624.8,0.5,1
103,103.25,4624.8,4628.6,1,0
103.25,103.5,4628.6,4632.5,1,0
103.5,103.75,4632.5,4635.6,1,2
103.75,104,4635.6,4637,1,1
104,104.25,4637,4638.2,1,0
104.25,104.5,4638.2,4639.3,1,0
104.5,104.75,4639.3,4640.9,1,1
104.75,105,4640.9,4641.2,1,0
105,105.25,4641.2,4641.8,1,0
105.25,105.5,4641.8,4642.6,1,10
105.5,105.75,4642.6,4647.7,1,9
105.75,106,4647.7,4653.2,1,26
106,106.25,4653.2,4659.4,1,4
106.25,106.5,4659.4,4665.4,1,4
106.5,106.75,4665.4,4672.9,1,1
106.75,107,4672.9,4680.8,1,0
107,107.25,4680.8,4689.5,1,15
107.25,107.5,4689.5,4697.1,1,6
107.5,107.75,4697.1,4706,1,11
107.75,108,4706,4715.6,1,12
108,108.25,4715.6,4725.8,1,8
108.25,108.5,4725.8,4737.3,1,3
108.5,108.75,4737.3,4749.6,1,9
108.75,109,4749.6,4763.5,0.5,2
109,109.25,4763.5,4774.2,1,0
109.25,109.5,4774.2,4775.9,1,1
109.5,109.75,4775.9,4781.5,1,9
109.75,110,4781.5,4783.6,1,0
110,110.25,4783.6,4786.8,1,3
110.25,110.5,4786.8,4790.4,1,0
110.5,110.75,4790.4,4797.7,1,0
110.75,111,4797.7,4802.3,1,0
111,111.25,4802.3,4806.2,1,0
111.25,111.5,4806.2,4812.1,1,0
111.5,111.75,4812.1,4813.9,1,0
111.75,112,4813.9,4816.9,1,0
112,112.25,4816.9,4819.7,1,0
112.25,112.5,4819.7,4823.9,1,0
112.5,112.75,4823.9,4827.6,1,0
112.75,113,4827.6,4830,1,0
113,113.25,4830,4833.4,1,0
113.25,113.5,4833.4,4836.7,1,0
113.5,113.75,4836.7,4838.9,1,0
113.75,114,4838.9,4842.1,1,0
114,114.25,4842.1,4846.1,1,0
114.25,114.5,4846.1,4850,1,0
114.5,114.75,4850,4851.7,1,1
114.75,115,4851.7,4857.8,1,0
115,115.25,4857.8,4866.9,1,0
115.25,115.5,4866.9,4873.3,1,29
115.5,115.75,4873.3,4887.4,1,17
115.75,116,4887.4,4896.9,1,3
116,116.25,4896.9,4908.3,1,2
116.25,116.5,4908.3,4924.7,1,0
116.5,116.75,4924.7,4937.7,1,2
116.75,117,4937.7,4946.3,1,6
117,117.25,4946.3,4948.6,1,7
117.25,117.5,4948.6,4950.5,1,0
117.5,117.75,4950.5,4953,1,1
117.75,118,4953,4963.6,2,0
118,118.25,4963.6,5079.1,1,18
118.25,118.5,5079.1,5109.1,1,0
118.5,118.75,5109.1,5140.2,2,0
118.75,119,5140.2,5171,1,0
119,119.25,5171,5201,2,9
119.25,119.5,5201,5219.9,2,4
119.5,119.75,5219.9,5233.3,2,3
119.75,120,5233.3,5320.3,2,0
120,120.25,5320.3,5384.4,2,2
120.25,120.5,5384.4,5404.2,2,0
