cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,1,-53,28,3,7
1,1.5,28,56,3,51
1.5,2,56,84,3,25
2,2.5,84,112,3,13
2.5,3,112,141,3,26
3,3.5,141,169,3,28
3.5,4,169,197,3,38
4,4.5,197,225,3,63
4.5,5,225,253,3,39
5,5.5,253,281,3,12
5.5,6,281,309,3,37
6,6.5,309,338,3,55
6.5,7,338,366,3,29
7,7.5,366,394,3,43
7.5,8,394,422,3,27
8,8.5,422,450,3,22
8.5,9,450,478,3,8
9,9.5,478,506,3,42
9.5,10,506,534,3,72
10,10.5,534,562,3,42
10.5,11,562,590,3,7
11,11.5,590,618,3,13
11.5,12,618,646,3,43
12,12.5,646,674,3,62
12.5,13,674,702,3,46
13,13.5,702,730,3,7
13.5,14,730,758,3,9
14,14.5,758,786,3,5
14.5,15,786,814,3,3
15,15.5,814,841,3,1
15.5,16.5,841,897,3,33
16.5,17,897,925,3,9
17,17.5,925,953,3,8
17.5,18,953,980,3,4
18,18.25,980,994,5,9
18.25,18.5,994,1008,5,83
18.5,18.75,1008,1022,5,46
18.75,19,1022,1036,5,29
19,19.25,1036,1050,4,9
19.25,19.5,1050,1064,5,13
19.5,19.75,1064,1077,4,10
19.75,20,1077,1091,5,6
20,20.25,1091,1105,5,7
20.25,20.5,1105,1119,5,9
20.5,20.75,1119,1133,5,16
20.75,21,1133,1146,5,58
21,21.25,1146,1160,5,67
21.25,21.5,1160,1174,4,26
21.5,21.75,1174,1188,5,46
21.75,22,1188,1201,3,14
22,22.25,1201,1215,3,10
22.25,22.5,1215,1229,3,15
22.5,22.75,1229,1243,3,11
22.75,23,1243,1256,3,5
23,23.25,1256,1270,3,11
23.25,23.75,1270,1297,3,8
23.75,24.25,1297,1325,3,4
24.25,24.5,1325,1338,3,8
24.5,24.75,1338,1352,3,21
24.75,25,1352,1366,3,8
25,25.25,1366,1379,3,6
25.25,25.5,1379,1393,3,2
25.5,25.75,1393,1407,3,0
25.75,26.25,1407,1434,3,5
26.25,26.5,1434,1448,3,39
26.5,26.75,1448,1461,3,15
26.75,27,1461,1475,3,4
27,27.25,1475,1488,3,13
27.25,27.5,1488,1502,3,20
27.5,27.75,1502,1515,3,61
27.75,28,1515,1529,3,26
28,28.25,1529,1542,3,72
28.25,28.5,1542,1556,3,37
28.5,28.75,1556,1570,3,7
28.75,29,1570,1583,3,3
29,29.25,1583,1597,3,5
29.25,29.5,1597,1610,3,4
29.5,29.75,1610,1623,3,15
29.75,30,1623,1637,3,23
30,30.25,1637,1650,3,0
30.25,30.5,1650,1664,3,2
30.5,30.75,1664,1677,3,1
30.75,31,1677,1691,3,19
31,31.25,1691,1704,3,94
31.25,31.5,1704,1718,3,19
31.5,31.75,1718,1731,3,17
31.75,32,1731,1744,3,12
32,32.25,1744,1758,3,47
32.25,32.5,1758,1771,3,9
32.5,32.75,1771,1784,3,3
32.75,33,1784,1798,3,7
33,33.25,1798,1811,3,9
33.25,33.5,1811,1824,3,14
33.5,34,1824,1851,3,3
34,34.25,1851,1864,3,5
34.25,34.5,1864,1877,3,10
