cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-58.017,-56.328,2,0
0.5,1,-56.328,-54.533,2,5
1,1.5,-54.533,-52.552,2,9
1.5,2,-52.552,-50.405,2,1
2,2.5,-50.405,-48.14,2,2
2.5,3,-48.14,-45.809,2,1
3,3.5,-45.809,-43.464,2,2
3.5,4,-43.464,-41.128,2,2
4,4.5,-41.128,-38.825,2,0
4.5,5,-38.825,-36.591,2,0
5,5.5,-36.591,-34.438,2,0
5.5,6,-34.438,-32.273,2,1
6,6.5,-32.273,-29.927,2,18
6.5,7,-29.927,-27.031,2,6
7,7.5,-27.031,-23.134,2,5
7.5,8,-23.134,-17.634,2,1
8,8.5,-17.634,-10.069,2,0
8.5,9,-10.069,-0.6734,2,0
9,9.5,-0.6734,10.081,2,0
9.5,10,10.081,21.472,2,0
10,10.5,21.472,35.137,2,0
10.5,11,35.137,50.192,2,0
11,11.5,50.192,52.7,2,0
11.5,11.75,52.7,56.369,1,0
11.75,12,56.369,62.094,1,0
12,12.25,62.094,63.906,1.5,0
12.25,12.5,63.906,71.275,1,0
12.5,12.75,71.275,73.047,1.5,0
12.75,13,73.047,81.393,2,7
13,13.25,81.393,83.405,2,8
13.25,13.5,83.405,89.326,1.5,0
13.5,13.75,89.326,94.892,2,3
13.75,14,94.892,100.12,2,1
14,14.25,100.12,105.82,2,0
14.25,14.5,105.82,111.45,2,5
14.5,14.75,111.45,116.49,2,5
14.75,15,116.49,121.74,2,0
15,15.25,121.74,126.68,2,0
15.25,15.5,126.68,133.11,1.5,0
15.5,15.75,133.11,138.71,2,1
15.75,16,138.71,144.5,2,1
16,16.25,144.5,148.76,2,2
16.25,16.5,148.76,154.71,2,3
16.5,16.75,154.71,162.33,1.5,1
16.75,17,162.33,167.95,2,6
17,17.25,167.95,172.09,2,4
17.25,17.5,172.09,176.21,2,10
17.5,17.75,176.21,180.81,2,4
17.75,18,180.81,184.43,2,3
18,18.25,184.43,187.8,2,13
18.25,18.5,187.8,190.7,2,6
18.5,18.75,190.7,192.63,2,14
18.75,19,192.63,196.24,2,2
19,19.25,196.24,198.65,2,1
19.25,19.5,198.65,202.49,2,0
19.5,19.75,202.49,208.24,1.5,0
19.75,20,208.24,210.65,2,2
20,20.25,210.65,213.54,2,1
20.25,20.5,213.54,217.64,2,1
20.5,20.75,217.64,221.02,2,5
20.75,21,221.02,224.64,2,2
21,21.25,224.64,230.93,2,0
21.25,21.5,230.93,236.29,2,0
21.5,21.75,236.29,242.16,2,0
21.75,22,242.16,249.79,2,0
22,22.25,249.79,255.76,2,0
22.25,22.5,255.76,261.28,2,5
22.5,22.75,261.28,267.36,2,16
22.75,23,267.36,272.73,2,12
23,23.25,272.73,278.41,2,30
23.25,23.5,278.41,282.59,2,18
23.5,23.75,282.59,286.02,2,17
23.75,24,286.02,292.38,1.5,9
24,24.25,292.38,302.35,1,16
24.25,24.5,302.35,307.85,2,1
24.5,24.75,307.85,311.74,2,0
24.75,25,311.74,315.68,2,0
25,25.25,315.68,320.21,2,2
25.25,25.5,320.21,329.11,1.5,0
25.5,25.75,329.11,336.73,2,0
25.75,26,336.73,342.99,2,1
26,26.25,342.99,351.79,2,1
26.25,26.5,351.79,359.86,2,0
26.5,26.75,359.86,366.82,2,0
26.75,27,366.82,372.28,2,0
27,27.25,372.28,375.55,2,8
27.25,27.5,375.55,380.81,2,3
27.5,27.75,380.81,386.81,2,2
27.75,28,386.81,392.56,2,1
28,28.25,392.56,397.71,2,0
28.25,28.5,397.71,401.54,2,1
28.5,28.75,401.54,406.1,2,7
28.75,29,406.1,410.72,2,3
29,29.25,410.72,414.67,2,0
29.25,29.5,414.67,419.02,2,13
29.5,29.75,419.02,422.32,2,3
29.75,30,422.32,425.28,2,2
30,30.25,425.28,427.9,2,3
30.25,30.5,427.9,429.42,2,13
30.5,30.75,429.42,435.43,2,26
30.75,31,435.43,442.67,2,13
31,31.25,442.67,450.81,2,7
31.25,31.5,450.81,459.51,2,6
31.5,31.75,459.51,468.38,2,0
31.75,32,468.38,471.68,2,7
32,32.25,471.68,477.06,2,0
32.25,32.5,477.06,480.43,2,3
32.5,32.75,480.43,484.65,2,0
32.75,33,484.65,489.34,2,1
33,33.25,489.34,495.37,2,7
33.25,33.5,495.37,498,2,9
33.5,33.75,498,505.9,2,1
33.75,34,505.9,513.48,2,1
34,34.25,513.48,518.46,2,2
34.25,34.5,518.46,523.96,2,15
34.5,34.75,523.96,525.38,2,11
34.75,35,525.38,527.72,2,2
35,35.25,527.72,529.61,2,2
35.25,35.5,529.61,534.29,2,2
35.5,35.75,534.29,539.49,2,18
35.75,36,539.49,542.37,2,2
36,36.25,542.37,545.27,2,0
36.25,36.5,545.27,547.23,2,2
36.5,36.75,547.23,550.63,2,1
36.75,37,550.63,556.49,2,7
37,37.25,556.49,559.96,2,9
37.25,37.5,559.96,567.4,2,9
37.5,37.75,567.4,574.95,2,5
37.75,38,574.95,586.19,2,9
38,38.25,586.19,596.09,2,22
38.25,38.5,596.09,605.63,2,10
38.5,38.75,605.63,613.18,2,13
38.75,39,613.18,622.46,2,12
39,39.25,622.46,629.67,2,15
39.25,39.5,629.67,635.29,2,12
39.5,39.75,635.29,640.4,2,4
39.75,40,640.4,643.28,2,5
40,40.25,643.28,645.04,2,11
40.25,40.5,645.04,654.82,2,2
40.5,40.75,654.82,661.25,2,5
40.75,41,661.25,663.06,2,5
41,41.25,663.06,664.88,2,4
41.25,41.5,664.88,667.29,2,5
41.5,41.75,667.29,675.03,2,2
41.75,42,675.03,676.88,2,1
42,42.25,676.88,679.93,2,1
42.25,42.5,679.93,683,2,8
42.5,42.75,683,687.96,2,33
42.75,43,687.96,694.37,2,5
