cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-58.144,-56.915,2,3
0.5,1,-56.915,-55.46,2,2
1,1.5,-55.46,-53.553,2,3
1.5,2,-53.553,-50.968,2,1
2,2.5,-50.968,-47.522,2,1
2.5,3,-47.522,-43.202,2,6
3,3.5,-43.202,-38.041,2,3
3.5,4,-38.041,-32.07,2,13
4,4.5,-32.07,-25.327,2,4
4.5,5,-25.327,-17.889,2,4
5,5.5,-17.889,-9.8349,2,9
5.5,6,-9.8349,-1.2485,2,12
6,6.5,-1.2485,7.7843,2,6
6.5,7,7.7843,17.16,2,10
7,7.5,17.16,26.772,2,4
7.5,8,26.772,36.512,2,22
8,8.5,36.512,47.326,2,4
8.5,9,47.326,58.075,2,16
9,9.5,58.075,68.922,2,12
9.5,10,68.922,79.834,2,6
10,10.5,79.834,90.746,2,1
10.5,11,90.746,101.63,2,3
11,11.5,101.63,112.5,2,1
11.5,12,112.5,123.45,2,3
12,12.5,123.45,134.65,2,0
12.5,13,134.65,145.86,2,3
13,13.5,145.86,157.03,2,2
13.5,14,157.03,168.01,2,0
14,14.5,168.01,178.98,2,7
14.5,15,178.98,190.16,2,12
15,15.25,190.16,195.61,2,1
15.25,15.5,195.61,201.12,2,6
15.5,15.75,201.12,206.64,2,3
15.75,16,206.64,212.21,1.5,6
16,16.25,212.21,217.83,1.5,1
16.25,16.5,217.83,223.45,2,4
16.5,16.75,223.45,228.98,2,3
16.75,17,228.98,234.59,2,6
17,17.25,234.59,240.14,2,5
17.25,17.5,240.14,245.74,2,4
17.5,17.75,245.74,251.31,2,3
17.75,18,251.31,256.93,2,5
18,18.25,256.93,262.45,2,1
18.25,18.5,262.45,268,2,8
18.5,18.75,268,273.54,2,3
18.75,19,273.54,279.09,2,1
19,19.25,279.09,284.55,2,0
19.25,19.5,284.55,289.99,2,3
19.5,19.75,289.99,295.36,2,6
19.75,20,295.36,300.69,2,5
20,20.25,300.69,305.97,2,37
20.25,20.5,305.97,311.21,2,12
20.5,20.75,311.21,316.44,2,16
20.75,21,316.44,321.52,2,10
21,21.25,321.52,326.72,2,6
21.25,21.5,326.72,332.01,2,1
21.5,21.75,332.01,337.21,2,2
21.75,22,337.21,342.3,2,5
22,22.25,342.3,347.39,2,6
22.25,22.5,347.39,352.45,2,2
22.5,22.75,352.45,357.58,2,0
22.75,23,357.58,362.73,2,1
