cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-58.072,-55.256,2,0
0.5,1,-55.256,-51.257,2,0
1,1.5,-51.257,-45.171,2,0
1.5,2,-45.171,-37.221,2,0
2,2.5,-37.221,-27.915,2,1
2.5,3,-27.915,-17.745,2,8
3,3.5,-17.745,-7.0036,2,1
3.5,4,-7.0036,4.8199,2,1
4,4.5,4.8199,18.372,2,2
4.5,5,18.372,34.044,2,5
5,5.5,34.044,51.898,2,13
5.5,6,51.898,70.926,2,9
6,6.5,70.926,86.741,2,10
6.5,7,86.741,101.05,2,7
7,7.5,101.05,111.98,2,4
7.5,8,111.98,119.73,2,5
8,8.5,119.73,128.71,2,7
8.5,9,128.71,139.71,2,5
9,9.5,139.71,148.49,2,2
9.5,10,148.49,154.28,2,1
10,10.5,154.28,166.45,2,6
10.5,11,166.45,183.69,2,15
11,11.5,183.69,199.46,2,6
11.5,12,199.46,214.56,2,10
12,12.5,214.56,230.53,2,1
12.5,13,230.53,247.5,2,3
13,13.5,247.5,260.61,2,7
13.5,14,260.61,275.65,2,34
14,14.5,275.65,292.31,2,46
14.5,15,292.31,309.22,2,21
15,15.25,309.22,317.88,2,3
15.25,15.5,317.88,326.53,2,2
15.5,15.75,326.53,335.24,2,3
15.75,16,335.24,343.86,2,12
16,16.25,343.86,352.55,2,14
16.25,16.5,352.55,361,2,23
16.5,16.75,361,369.22,2,19
16.75,17,369.22,377.8,2,9
17,17.25,377.8,386.37,2,4
17.25,17.5,386.37,395.23,2,4
17.5,17.75,395.23,403.86,2,1
17.75,18,403.86,412.26,2,5
18,18.25,412.26,418.87,2,30
18.25,18.5,418.87,426.59,2,23
18.5,18.75,426.59,434.82,2,15
18.75,19,434.82,442.9,2,17
19,19.25,442.9,451.34,2,7
19.25,19.5,451.34,459.63,2,11
19.5,19.75,459.63,468.14,2,13
19.75,20,468.14,476.49,2,7
20,20.25,476.49,484.77,2,5
20.25,20.5,484.77,493.12,2,9
20.5,20.75,493.12,501.25,2,7
20.75,21,501.25,509.37,2,7
21,21.25,509.37,517.57,2,8
21.25,21.5,517.57,525.69,2,11
21.5,21.75,525.69,534.1,2,11
21.75,22,534.1,542.22,2,10
22,22.25,542.22,550.42,2,6
22.25,22.5,550.42,558.39,2,13
22.5,22.75,558.39,566.51,2,8
22.75,23,566.51,574.56,2,12
23,23.25,574.56,582.47,2,12
23.25,23.5,582.47,590.6,2,9
23.5,23.75,590.6,598.8,2,8
23.75,24,598.8,606.72,2,0
24,24.25,606.72,614.78,2,8
24.25,24.5,614.78,622.85,2,7
24.5,24.75,622.85,630.85,2,4
24.75,25,630.85,639.08,2,2
25,25.25,639.08,647.24,2,5
25.25,25.5,647.24,655.18,2,5
25.5,25.75,655.18,663.42,2,3
25.75,26,663.42,671.53,2,4
26,26.25,671.53,679.79,2,12
26.25,26.5,679.79,687.83,2,6
26.5,26.75,687.83,696.11,2,2
26.75,27,696.11,704.32,2,10
27,27.25,704.32,712.31,2,14
27.25,27.5,712.31,720.69,2,8
27.5,27.75,720.69,728.93,2,3
27.75,28,728.93,736.95,2,3
28,28.25,736.95,744.99,2,7
28.25,28.5,744.99,753.11,2,7
28.5,28.75,753.11,760.94,2,6
28.75,29,760.94,768.78,2,14
29,29.25,768.78,775.58,2,9
29.25,29.5,775.58,779.89,2,4
29.5,29.75,779.89,780.57,2,3
29.75,30,780.57,782.31,2,4
30,30.25,782.31,786.63,2,13
30.25,30.5,786.63,795.04,2,39
30.5,30.75,795.04,803.77,2,0
30.75,31,803.77,812.36,2,7
31,31.25,812.36,820.89,2,4
31.25,31.5,820.89,829.28,2,5
31.5,31.75,829.28,837.77,2,4
31.75,32,837.77,845.82,2,6
32,32.25,845.82,854.03,2,9
32.25,32.5,854.03,861.41,2,16
32.5,32.75,861.41,869.5,2,91
32.75,33,869.5,877.76,2,14
33,33.25,877.76,886.42,2,7
33.25,33.5,886.42,894.95,2,1
33.5,33.75,894.95,903.42,2,5
33.75,34,903.42,911.06,2,18
34,34.25,911.06,917.07,2,0
34.25,34.5,917.07,925.35,2,0
34.5,34.75,925.35,934.29,2,0
34.75,35,934.29,943.32,2,23
35,35.25,943.32,952.22,2,10
35.25,35.5,952.22,961.31,2,7
35.5,35.75,961.31,970.25,2,7
35.75,36,970.25,979.23,2,0
36,36.25,979.23,988.31,2,1
36.25,36.5,988.31,997.57,2,6
36.5,36.75,997.57,1006.8,2,3
36.75,37,1006.8,1015.9,2,6
37,37.25,1015.9,1025.1,2,6
37.25,37.5,1025.1,1034.3,2,16
37.5,37.75,1034.3,1043.5,2,5
37.75,38,1043.5,1053,2,12
38,38.25,1053,1062.3,2,11
38.25,38.5,1062.3,1071.8,2,10
38.5,38.75,1071.8,1081.4,2,11
38.75,39,1081.4,1090.4,2,7
39,39.25,1090.4,1099.4,2,24
39.25,39.5,1099.4,1108.8,2,5
39.5,39.75,1108.8,1118.4,2,5
39.75,40,1118.4,1127.9,2,4
40,40.25,1127.9,1137.7,2,0
40.25,40.5,1137.7,1147.2,2,5
40.5,40.75,1147.2,1156.8,2,6
40.75,41,1156.8,1166.3,2,17
41,41.25,1166.3,1175.9,2,7
41.25,41.5,1175.9,1185.7,2,1
41.5,41.75,1185.7,1195,2,8
41.75,42,1195,1204.2,2,25
42,42.25,1204.2,1214.1,2,7
42.25,42.5,1214.1,1223.5,2,37
42.5,42.75,1223.5,1233.2,2,3
42.75,43,1233.2,1242.8,2,5
43,43.25,1242.8,1252.4,2,1
43.25,43.5,1252.4,1262.3,2,0
43.5,43.75,1262.3,1272.5,2,0
43.75,44,1272.5,1282.6,2,0
44,44.25,1282.6,1293.1,2,0
44.25,44.5,1293.1,1302.8,2,0
44.5,44.75,1302.8,1313,2,3
44.75,45,1313,1322.8,2,7
45,45.25,1322.8,1332.3,2,1
45.25,45.5,1332.3,1342.9,2,2
45.5,45.75,1342.9,1352.2,2,6
45.75,46,1352.2,1362.2,2,10
46,46.25,1362.2,1372,2,9
46.25,46.5,1372,1382.6,2,6
46.5,46.75,1382.6,1392.6,2,13
46.75,47,1392.6,1402.7,2,2
47,47.25,1402.7,1412.8,2,3
47.25,47.5,1412.8,1423.2,2,0
47.5,47.75,1423.2,1433.5,2,5
47.75,48,1433.5,1443.4,2,6
48,48.25,1443.4,1454.1,2,4
48.25,48.5,1454.1,1464.9,2,4
48.5,48.75,1464.9,1476.1,2,3
48.75,49,1476.1,1486.9,2,3
49,49.25,1486.9,1498,2,3
49.25,49.5,1498,1509.3,2,2
49.5,49.75,1509.3,1520.8,2,11
49.75,50,1520.8,1531.9,2,4
50,50.25,1531.9,1543,2,7
50.25,50.5,1543,1554.3,2,2
50.5,50.75,1554.3,1565.8,2,1
50.75,51,1565.8,1577.3,2,2
51,51.25,1577.3,1587.4,2,7
51.25,51.5,1587.4,1599,2,5
51.5,51.75,1599,1610.7,2,7
51.75,52,1610.7,1622.1,2,0
52,52.25,1622.1,1633.4,2,3
52.25,52.5,1633.4,1644.8,2,11
52.5,52.75,1644.8,1656,2,1
52.75,53,1656,1666,2,2
53,53.25,1666,1671.4,2,2
53.25,53.5,1671.4,1676.9,2,15
53.5,53.75,1676.9,1684.4,2,8
53.75,54,1684.4,1695.2,2,2
54,54.25,1695.2,1706,2,5
54.25,54.5,1706,1717.3,2,1
54.5,54.75,1717.3,1728.6,2,8
54.75,55,1728.6,1739.5,2,3
55,55.25,1739.5,1750.4,2,13
55.25,55.5,1750.4,1761.3,2,13
55.5,55.75,1761.3,1772.7,2,10
55.75,56,1772.7,1783.7,2,3
56,56.25,1783.7,1795,2,1
56.25,56.5,1795,1804.8,2,14
56.5,56.75,1804.8,1815.2,2,6
56.75,57,1815.2,1825.9,2,6
57,57.25,1825.9,1836.7,2,3
57.25,57.5,1836.7,1847.8,2,0
57.5,57.75,1847.8,1858.9,2,4
57.75,58,1858.9,1869.8,2,4
58,58.25,1869.8,1879.1,2,2
58.25,58.5,1879.1,1881.2,2,2
58.5,58.75,1881.2,1883.8,2,4
58.75,59,1883.8,1885.8,2,14
59,59.25,1885.8,1889.4,2,12
59.25,59.5,1889.4,1898.1,2,1
59.5,59.75,1898.1,1904.7,2,4
59.75,60,1904.7,1913.9,2,7
60,60.25,1913.9,1924.1,2,2
60.25,60.5,1924.1,1935,2,2
60.5,60.75,1935,1946.7,2,4
60.75,61,1946.7,1958.3,2,4
61,61.25,1958.3,1970.3,2,21
61.25,61.5,1970.3,1981.6,2,9
61.5,61.75,1981.6,1993.4,2,4
61.75,62,1993.4,2005,2,7
62,62.25,2005,2015.6,2,2
62.25,62.5,2015.6,2026.9,2,1
62.5,62.75,2026.9,2038,2,0
62.75,63,2038,2049.4,2,0
63,63.25,2049.4,2060.5,2,0
63.25,63.5,2060.5,2072.5,2,2
63.5,63.75,2072.5,2084.7,2,4
63.75,64,2084.7,2096.6,2,1
64,64.25,2096.6,2108.1,2,1
64.25,64.5,2108.1,2119.8,2,3
64.5,64.75,2119.8,2131.9,2,4
64.75,65,2131.9,2144.1,2,3
65,65.25,2144.1,2156.6,2,2
65.25,65.5,2156.6,2169.2,2,5
65.5,65.75,2169.2,2181.2,2,8
65.75,66,2181.2,2193.3,2,1
66,66.25,2193.3,2205.3,2,3
66.25,66.5,2205.3,2218,2,23
66.5,66.75,2218,2230.8,2,5
66.75,67,2230.8,2243.2,2,1
67,67.25,2243.2,2255.6,2,1
67.25,67.5,2255.6,2268.6,2,4
67.5,67.75,2268.6,2281.3,2,1
67.75,68,2281.3,2294.4,2,1
68,68.25,2294.4,2307.6,2,1
68.25,68.5,2307.6,2320.7,2,2
68.5,68.75,2320.7,2333.7,2,5
68.75,69,2333.7,2347.4,2,4
69,69.25,2347.4,2360.9,2,1
69.25,69.5,2360.9,2374.5,2,12
69.5,69.75,2374.5,2387.7,2,14
69.75,70,2387.7,2401.2,2,14
70,70.25,2401.2,2415.7,2,5
70.25,70.5,2415.7,2429.7,2,13
70.5,70.75,2429.7,2443.7,2,3
70.75,71,2443.7,2457.5,2,6
71,71.25,2457.5,2471.5,2,3
71.25,71.5,2471.5,2485.4,2,4
71.5,71.75,2485.4,2499.4,2,7
