cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-59.06,-54.707,2,2
0.5,1,-54.707,-49.882,2,0
1,1.5,-49.882,-44.188,2,1
1.5,2,-44.188,-37.521,2,7
2,2.5,-37.521,-29.94,2,2
2.5,3,-29.94,-21.857,2,2
3,3.5,-21.857,-13.771,2,4
3.5,4,-13.771,-6.1813,2,0
4,4.5,-6.1813,0.50842,2,1
4.5,5,0.50842,6.2754,2,0
5,5.5,6.2754,11.193,2,5
5.5,6,11.193,15.333,2,9
6,6.5,15.333,18.795,2,1
6.5,7,18.795,21.782,2,1
7,7.5,21.782,24.523,2,0
7.5,8,24.523,27.247,2,1
8,8.5,27.247,30.171,2,1
8.5,9,30.171,33.457,2,3
9,9.5,33.457,37.255,2,2
9.5,10,37.255,41.715,2,0
10,10.5,41.715,46.966,2,1
10.5,11,46.966,53.048,2,0
11,11.5,53.048,59.98,2,31
11.5,12,59.98,67.78,2,8
12,12.5,67.78,76.427,2,3
12.5,13,76.427,85.732,2,1
13,13.5,85.732,95.467,2,6
13.5,14,95.467,105.41,2,15
14,14.5,105.41,114.74,2,10
14.5,15,114.74,124.04,2,3
15,15.25,124.04,128.68,2,6
15.25,15.5,128.68,133.31,2,1
15.5,15.75,133.31,137.94,2,0
15.75,16,137.94,142.56,2,3
16,16.25,142.56,147.17,2,10
16.25,16.5,147.17,151.77,2,2
16.5,16.75,151.77,156.37,2,2
16.75,17,156.37,160.96,2,5
17,17.25,160.96,165.55,2,6
17.25,17.5,165.55,170.13,2,1
17.5,17.75,170.13,174.7,2,1
17.75,18,174.7,179.27,2,1
18,18.25,179.27,183.83,2,3
18.25,18.5,183.83,188.38,2,21
18.5,18.75,188.38,192.93,2,13
18.75,19,192.93,197.48,2,52
19,19.25,197.48,202.02,2,16
19.25,19.5,202.02,206.56,2,8
19.5,19.75,206.56,211.09,2,0
19.75,20,211.09,215.62,2,1
20,20.25,215.62,220.14,2,0
20.25,20.5,220.14,224.66,2,1
20.5,20.75,224.66,229.18,2,0
20.75,21,229.18,233.69,2,1
21,21.25,233.69,238.2,2,3
21.25,21.5,238.2,242.71,2,2
21.5,21.75,242.71,247.21,2,4
21.75,22,247.21,251.71,2,3
22,22.25,251.71,256.2,2,3
22.25,22.5,256.2,260.7,2,1
22.5,22.75,260.7,265.19,2,2
22.75,23,265.19,269.68,2,0
23,23.25,269.68,274.17,2,0
23.25,23.5,274.17,278.65,2,0
23.5,23.75,278.65,283.14,2,1
23.75,24,283.14,287.62,2,1
24,24.25,287.62,292.1,2,1
24.25,24.5,292.1,296.58,2,1
24.5,24.75,296.58,301.06,2,2
24.75,25,301.06,305.54,2,0
25,25.25,305.54,310.02,2,5
25.25,25.5,310.02,314.49,2,0
25.5,25.75,314.49,318.97,2,1
25.75,26,318.97,323.45,2,7
26,26.25,323.45,327.93,2,40
26.25,26.5,327.93,332.4,2,42
26.5,26.75,332.4,336.88,1.5,14
26.75,27,336.88,341.36,2,5
27,27.25,341.36,345.84,2,7
27.25,27.5,345.84,350.32,2,3
27.5,27.75,350.32,354.8,2,5
27.75,28,354.8,359.28,2,6
28,28.25,359.28,363.76,2,2
28.25,28.5,363.76,368.25,2,2
28.5,28.75,368.25,372.74,2,6
28.75,29,372.74,377.22,2,16
29,29.25,377.22,381.72,2,6
29.25,29.5,381.72,386.21,2,3
29.5,29.75,386.21,390.71,2,20
29.75,30,390.71,395.2,2,14
30,30.25,395.2,399.71,2,8
30.25,30.5,399.71,404.21,2,8
30.5,30.75,404.21,408.72,2,2
30.75,31,408.72,413.23,2,6
31,31.25,413.23,417.74,2,3
31.25,31.5,417.74,422.26,2,0
31.5,31.75,422.26,426.79,2,1
31.75,32,426.79,431.31,2,4
32,32.25,431.31,435.84,2,6
32.25,32.5,435.84,440.38,2,12
32.5,32.75,440.38,444.92,2,5
32.75,33,444.92,449.46,2,1
33,33.25,449.46,454.01,2,3
33.25,33.5,454.01,458.57,2,7
33.5,33.75,458.57,463.13,2,3
33.75,34,463.13,467.69,2,11
34,34.25,467.69,472.26,2,13
34.25,34.5,472.26,476.84,2,15
34.5,34.75,476.84,481.42,2,4
34.75,35,481.42,486.01,2,3
35,35.25,486.01,490.61,2,7
35.25,35.5,490.61,495.21,2,2
35.5,35.75,495.21,499.82,2,3
35.75,36,499.82,504.43,2,8
36,36.25,504.43,509.06,2,5
36.25,36.5,509.06,513.69,2,5
36.5,36.75,513.69,518.32,2,10
36.75,37,518.32,522.97,2,7
37,37.25,522.97,527.62,2,4
37.25,37.5,527.62,532.28,2,12
37.5,37.75,532.28,536.95,2,7
37.75,38,536.95,541.63,2,3
38,38.25,541.63,546.31,2,10
38.25,38.5,546.31,551.01,2,24
38.5,38.75,551.01,555.71,2,28
38.75,39,555.71,560.42,2,32
39,39.25,560.42,565.14,2,16
39.25,39.5,565.14,569.87,2,42
39.5,39.75,569.87,574.61,2,36
39.75,40,574.61,579.36,2,49
40,40.25,579.36,584.12,2,29
40.25,40.5,584.12,588.89,2,35
40.5,40.75,588.89,593.67,2,45
40.75,41,593.67,598.46,2,28
41,41.25,598.46,603.26,2,27
41.25,41.5,603.26,608.07,2,25
41.5,41.75,608.07,612.89,2,21
41.75,42,612.89,617.72,2,28
42,42.25,617.72,622.57,2,21
42.25,42.5,622.57,627.42,2,24
42.5,42.75,627.42,632.29,2,30
42.75,43,632.29,637.17,2,8
43,43.25,637.17,642.06,2,11
43.25,43.5,642.06,646.97,2,13
43.5,43.75,646.97,651.88,2,19
43.75,44,651.88,656.81,2,9
44,44.25,656.81,661.75,2,14
44.25,44.5,661.75,666.7,2,22
44.5,44.75,666.7,671.67,2,8
44.75,45,671.67,676.65,2,22
45,45.25,676.65,681.64,2,13
45.25,45.5,681.64,686.65,2,9
45.5,45.75,686.65,691.67,2,6
45.75,46,691.67,696.7,2,14
46,46.25,696.7,701.75,2,25
46.25,46.5,701.75,706.81,2,63
46.5,46.75,706.81,711.89,2,45
46.75,47,711.89,716.98,2,79
47,47.25,716.98,722.09,2,6
47.25,47.5,722.09,727.21,2,2
47.5,47.75,727.21,732.35,2,8
47.75,48,732.35,737.5,2,3
48,48.25,737.5,742.66,2,0
48.25,48.5,742.66,747.85,2,12
48.5,48.75,747.85,753.05,2,11
48.75,49,753.05,758.26,2,22
49,49.25,758.26,763.49,2,83
49.25,49.5,763.49,768.74,2,104
49.5,49.75,768.74,774,2,91
49.75,50,774,779.28,2,133
50,50.25,779.28,784.57,2,71
50.25,50.5,784.57,789.87,2,8
50.5,50.75,789.87,795.18,2,4
50.75,51,795.18,800.5,2,3
51,51.25,800.5,805.84,2,24
51.25,51.5,805.84,811.18,2,5
51.5,51.75,811.18,816.54,2,7
51.75,52,816.54,821.91,2,2
52,52.25,821.91,827.29,2,5
52.25,52.5,827.29,832.68,2,15
52.5,52.75,832.68,838.08,2,18
52.75,53,838.08,843.49,2,19
53,53.25,843.49,848.91,2,39
53.25,53.5,848.91,854.34,2,39
53.5,53.75,854.34,859.78,2,24
53.75,54,859.78,865.24,2,9
54,54.25,865.24,870.7,2,12
54.25,54.5,870.7,876.17,2,6
54.5,54.75,876.17,881.65,2,9
54.75,55,881.65,887.15,2,21
55,55.25,887.15,892.65,2,14
55.25,55.5,892.65,898.16,2,21
55.5,55.75,898.16,903.69,2,14
55.75,56,903.69,909.22,2,5
56,56.25,909.22,914.76,2,8
56.25,56.5,914.76,920.31,2,13
56.5,56.75,920.31,925.87,2,12
56.75,57,925.87,931.44,2,5
57,57.25,931.44,937.02,2,37
57.25,57.5,937.02,942.61,2,7
57.5,57.75,942.61,948.2,2,1
57.75,58,948.2,953.81,2,16
58,58.25,953.81,959.43,2,40
58.25,58.5,959.43,965.05,2,8
58.5,58.75,965.05,970.68,2,14
58.75,59,970.68,976.32,2,4
59,59.25,976.32,981.97,2,6
59.25,59.5,981.97,987.63,2,5
59.5,59.75,987.63,993.3,2,4
59.75,60,993.3,998.97,2,5
60,60.25,998.97,1004.7,2,4
