cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-56.986,-55.225,2,4
0.5,1,-55.225,-54.055,2,5
1,1.5,-54.055,-52.931,2,3
1.5,2,-52.931,-51.746,2,1
2,2.5,-51.746,-50.721,2,0
2.5,3,-50.721,-49.799,2,2
3,3.5,-49.799,-48.999,2,0
3.5,4,-48.999,-48.223,1,0
4,4.5,-48.223,-47.038,2,4
4.5,5,-47.038,-45.928,2,2
5,5.5,-45.928,-44.679,2,21
5.5,6,-44.679,-42.851,2,14
6,6.5,-42.851,-40.116,2,22
6.5,7,-40.116,-36.208,2,30
7,7.5,-36.208,-30.895,2,37
7.5,8,-30.895,-23.615,2,22
8,8.5,-23.615,-14.144,2,13
8.5,9,-14.144,-3.9472,2,28
9,9.5,-3.9472,5.5054,2,21
9.5,10,5.5054,15.212,2,19
10,10.5,15.212,23.786,2,11
10.5,11,23.786,31.094,2,4
11,11.5,31.094,37.661,2,6
11.5,12,37.661,44.423,2,8
12,12.5,44.423,52.177,2,7
12.5,13,52.177,60.533,2,7
13,13.5,60.533,69.288,2,6
13.5,14,69.288,75.391,2,5
14,14.5,75.391,81.362,2,35
14.5,15,81.362,87.205,2,2
15,15.5,87.205,92.925,2,2
15.5,16,92.925,98.528,2,1
16,16.5,98.528,104.02,2,3
16.5,17,104.02,109.4,2,3
17,17.5,109.4,114.67,2,1
17.5,18,114.67,119.85,2,4
18,18.5,119.85,124.94,2,2
18.5,19,124.94,129.93,2,2
19,19.5,129.93,134.84,2,2
19.5,20,134.84,139.67,2,3
20,20.25,139.67,142.06,1,4
20.25,20.5,142.06,144.42,1,0
20.5,20.75,144.42,146.78,2,33
20.75,21,146.78,149.11,1,10
21,21.25,149.11,151.43,1,2
21.25,21.5,151.43,153.73,1,3
21.5,21.75,153.73,156.02,1,9
21.75,22,156.02,158.29,0.5,2
22,22.25,158.29,160.55,0.8,14
22.25,22.5,160.55,162.79,1,17
22.5,22.75,162.79,165.02,1,2
22.75,23,165.02,167.24,1,1
23,23.25,167.24,169.45,1,5
23.25,23.5,169.45,171.65,1,1
23.5,23.75,171.65,173.84,1,1
23.75,24,173.84,176.01,2,3
24,24.25,176.01,178.18,0.8,4
24.25,24.5,178.18,180.34,1,1
24.5,24.75,180.34,182.49,1,9
24.75,25,182.49,184.64,1,6
25,25.25,184.64,186.77,1,6
25.25,25.5,186.77,188.9,2,11
25.5,25.75,188.9,191.03,1,1
25.75,26,191.03,193.15,2,4
26,26.25,193.15,195.27,1,4
26.25,26.5,195.27,197.38,2,5
26.5,26.75,197.38,199.49,1,1
26.75,27,199.49,201.59,2,0
27,27.25,201.59,203.7,2,3
27.25,27.5,203.7,205.8,2,1
27.5,27.75,205.8,207.9,1,1
27.75,28,207.9,210.01,2,2
28,28.25,210.01,212.11,1,2
28.25,28.5,212.11,214.21,2,13
28.5,28.75,214.21,216.32,1,18
28.75,29,216.32,218.43,2,118
29,29.25,218.43,220.54,2,190
29.25,29.5,220.54,222.65,2,14
29.5,29.75,222.65,224.77,2,8
29.75,30,224.77,226.89,2,0
30,30.25,226.89,229.02,2,2
30.25,30.5,229.02,231.15,2,2
30.5,30.75,231.15,233.29,1,3
30.75,31,233.29,235.44,2,2
31,31.25,235.44,237.59,2,1
31.25,31.5,237.59,239.75,2,2
31.5,31.75,239.75,241.92,2,2
31.75,32,241.92,244.1,2,5
32,32.25,244.1,246.29,2,3
32.25,32.5,246.29,248.49,2,3
32.5,32.75,248.49,250.71,2,5
32.75,33,250.71,252.93,1,1
33,33.25,252.93,255.17,2,3
33.25,33.5,255.17,257.42,2,1
33.5,33.75,257.42,259.68,2,3
33.75,34,259.68,261.96,2,2
34,34.25,261.96,264.25,2,7
34.25,34.5,264.25,266.55,2,8
34.5,34.75,266.55,268.88,1,17
34.75,35,268.88,271.22,1,6
35,35.25,271.22,273.57,2,67
35.25,35.5,273.57,275.95,2,29
35.5,35.75,275.95,278.34,2,9
35.75,36,278.34,280.75,2,6
36,36.25,280.75,283.18,2,1
36.25,36.5,283.18,285.64,2,3
36.5,36.75,285.64,288.11,2,8
36.75,37,288.11,290.6,1.5,8
37,37.25,290.6,293.12,2,23
37.25,37.5,293.12,295.65,2,38
37.5,37.75,295.65,298.22,2,31
37.75,38,298.22,300.8,2,36
38,38.25,300.8,303.41,2,34
38.25,38.5,303.41,306.04,2,37
38.5,38.75,306.04,308.7,2,13
38.75,39,308.7,311.39,2,17
39,39.25,311.39,314.1,2,6
39.25,39.5,314.1,316.84,2,9
39.5,39.75,316.84,319.61,2,24
39.75,40,319.61,322.41,2,32
40,40.25,322.41,325.23,2,5
40.25,40.5,325.23,328.09,2,3
40.5,40.75,328.09,330.97,2,10
40.75,41,330.97,333.89,1,2
41,41.25,333.89,336.84,2,6
41.25,41.5,336.84,339.82,2,10
41.5,41.75,339.82,342.83,2,5
41.75,42,342.83,345.87,2,1
42,42.25,345.87,348.95,2,0
42.25,42.5,348.95,352.07,2,1
42.5,42.75,352.07,355.22,2,2
42.75,43,355.22,358.4,2,10
43,43.25,358.4,361.62,2,8
43.25,43.5,361.62,364.88,2,1
43.5,43.75,364.88,368.18,2,9
43.75,44,368.18,371.51,2,3
44,44.25,371.51,374.88,2,0
44.25,44.5,374.88,378.3,2,3
44.5,44.75,378.3,381.75,2,3
44.75,45,381.75,385.24,1.5,1
45,45.25,385.24,388.77,2,1
45.25,45.5,388.77,392.35,2,5
45.5,45.75,392.35,395.97,2,5
45.75,46,395.97,399.63,2,9
46,46.25,399.63,403.33,2,9
46.25,46.5,403.33,407.08,2,15
46.5,46.75,407.08,410.87,2,8
46.75,47,410.87,414.71,2,4
47,47.25,414.71,418.59,2,13
47.25,47.5,418.59,422.52,2,19
47.5,47.75,422.52,426.5,1.5,22
47.75,48,426.5,430.52,2,35
48,48.25,430.52,434.6,2,20
48.25,48.5,434.6,438.72,2,28
48.5,48.75,438.72,442.89,2,38
48.75,49,442.89,447.11,2,27
49,49.25,447.11,451.38,2,28
49.25,49.5,451.38,455.71,2,30
49.5,49.75,455.71,460.08,2,27
49.75,50,460.08,464.51,2,26
50,50.25,464.51,468.99,2,24
50.25,50.5,468.99,473.53,2,41
50.5,50.75,473.53,478.11,2,34
50.75,51,478.11,482.76,2,31
51,51.25,482.76,487.46,2,17
51.25,51.5,487.46,492.21,2,21
51.5,51.75,492.21,497.02,2,13
51.75,52,497.02,501.89,2,11
52,52.25,501.89,506.82,2,18
52.25,52.5,506.82,511.8,2,17
52.5,52.75,511.8,516.85,2,7
52.75,53,516.85,521.95,2,11
53,53.25,521.95,527.12,2,11
53.25,53.5,527.12,532.34,2,10
53.5,53.75,532.34,537.63,2,13
53.75,54,537.63,542.97,2,11
54,54.25,542.97,548.39,2,14
54.25,54.5,548.39,553.86,2,25
54.5,54.75,553.86,559.4,2,36
54.75,55,559.4,565,2,9
55,55.25,565,570.67,2,2
55.25,55.5,570.67,576.4,2,8
