cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-57,-55,3,0
0.5,1,-55,-53,3,0
1,1.5,-53,-49,3,0
1.5,2,-49,-45,3,0
2,2.5,-45,-41,3,2
2.5,3,-41,-36,3,2
3,3.5,-36,-29,3,14
3.5,4,-29,-22,3,1
4,4.5,-22,-14,3,1
4.5,5,-14,-6,3,0
5,5.5,-6,4,3,1
5.5,6,4,14,3,2
6,6.5,14,24,3,3
6.5,7,24,35,3,8
7,7.5,35,45,3,1
7.5,8,45,56,3,0
8,8.5,56,68,3,1
8.5,9,68,79,3,1
9,9.5,79,90,3,2
9.5,10,90,101,3,0
10,10.25,101,107,2,0
10.25,10.5,107,113,1.5,0
10.5,10.75,113,118,1.5,0
10.75,11,118,124,1.5,0
11,11.25,124,130,1.5,0
11.25,11.5,130,135,2,0
11.5,11.75,135,141,2,1
11.75,12,141,147,2,0
12,12.25,147,152,2,0
12.25,12.5,152,158,2,0
12.5,12.75,158,164,2,1
12.75,13,164,169,2,0
13,13.25,169,175,2,0
13.25,13.5,175,181,2,0
13.5,13.75,181,186,2,0
13.75,14,186,192,2,0
14,14.25,192,198,2,0
14.25,14.5,198,204,2,0
14.5,14.75,204,209,1.5,0
14.75,15,209,215,2,0
15,15.25,215,221,2,0
15.25,15.5,221,227,2,0
15.5,15.75,227,232,2,0
15.75,16,232,238,2,0
16,16.25,238,244,2,0
16.25,16.5,244,250,2,0
16.5,16.75,250,255,2,0
16.75,17,255,261,2,0
17,17.25,261,267,2,0
17.25,17.5,267,273,2,0
17.5,17.75,273,279,2,0
17.75,18,279,285,2,0
18,18.25,285,291,2,0
18.25,18.5,291,296,2,1
18.5,18.75,296,302,2,0
18.75,19,302,308,2,0
19,19.25,308,314,2,0
19.25,19.5,314,320,2,0
19.5,19.75,320,326,2,0
19.75,20,326,332,2,0
20,20.25,332,338,3,1
20.25,20.5,338,344,3,0
20.5,20.75,344,350,3,1
20.75,21,350,356,3,0
21,21.25,356,362,3,0
21.25,21.5,362,368,3,0
21.5,21.75,368,374,3,1
21.75,22,374,380,3,0
22,22.25,380,386,3,3
22.25,22.5,386,392,3,1
22.5,22.75,392,398,3,0
22.75,23,398,405,3,0
23,23.25,405,411,3,0
23.25,23.5,411,417,3,0
23.5,23.75,417,423,3,1
23.75,24,423,429,3,0
24,24.25,429,436,3,0
24.25,24.5,436,442,3,1
24.5,24.75,442,448,3,0
24.75,25,448,454,3,0
25,25.25,454,461,3,0
25.25,25.5,461,467,3,0
25.5,25.75,467,473,2.5,0
25.75,26,473,480,3,0
26,26.25,480,486,3,0
26.25,26.5,486,492,3,1
26.5,26.75,492,499,3,1
26.75,27,499,505,3,1
27,27.25,505,512,3,0
27.25,27.5,512,518,3,0
27.5,27.75,518,525,3,2
27.75,28,525,531,3,5
28,28.25,531,538,3,2
28.25,28.5,538,544,3,0
28.5,28.75,544,551,3,0
28.75,29,551,558,3,0
29,29.25,558,564,3,0
29.25,29.5,564,571,3,0
29.5,29.75,571,577,3,3
29.75,30,577,584,3,0
30,30.25,584,591,3,0
30.25,30.5,591,598,3,1
30.5,30.75,598,604,3,0
30.75,31,604,611,3,1
31,31.25,611,618,3,1
31.25,31.5,618,625,3,3
31.5,31.75,625,632,3,4
31.75,32,632,639,3,7
32,32.25,639,646,3,2
32.25,32.5,646,653,2.5,0
32.5,32.75,653,660,3,2
32.75,33,660,667,3,0
33,33.25,667,674,3,1
33.25,33.5,674,681,3,0
33.5,33.75,681,688,3,0
33.75,34,688,695,3,0
34,34.25,695,702,3,0
34.25,34.5,702,709,3,3
34.5,34.75,709,716,3,2
34.75,35,716,724,3,7
35,35.25,724,731,3,8
35.25,35.5,731,738,3,4
35.5,35.75,738,745,3,4
35.75,36,745,753,3,1
36,36.25,753,760,3,2
36.25,36.5,760,768,3,2
36.5,36.75,768,775,3,7
36.75,37,775,783,3,4
37,37.25,783,790,3,2
37.25,37.5,790,798,3,6
37.5,37.75,798,805,3,4
37.75,38,805,813,3,7
38,38.25,813,820,3,4
38.25,38.5,820,828,3,1
38.5,38.75,828,836,3,0
38.75,39,836,843,3,3
39,39.25,843,851,3,2
39.25,39.5,851,859,3,0
39.5,39.75,859,866,3,3
39.75,40,866,874,3,5
40,40.25,874,882,3,0
40.25,40.5,882,890,3,0
40.5,40.75,890,897,3,0
40.75,41,897,905,3,0
41,41.25,905,913,3,0
41.25,41.5,913,921,2.5,0
41.5,41.75,921,929,3,1
41.75,42,929,937,2.5,0
42,42.25,937,944,3,0
42.25,42.5,944,952,3,1
42.5,42.75,952,960,3,1
42.75,43,960,968,3,4
43,43.25,968,976,3,4
43.25,43.5,976,984,3,0
43.5,43.75,984,992,3,3
43.75,44,992,1000,3,0
44,44.25,1000,1008,3,0
44.25,44.5,1008,1016,3,2
44.5,44.75,1016,1024,3,1
44.75,45,1024,1031,1.5,0
45,45.25,1031,1039,2,0
45.25,45.5,1039,1047,2.5,0
45.5,45.75,1047,1055,3,2
45.75,46,1055,1063,2.5,0
46,46.25,1063,1071,1.5,0
46.25,46.5,1071,1079,2.5,1
46.5,46.75,1079,1087,2.5,0
46.75,47,1087,1095,2.5,0
47,47.25,1095,1103,3,2
