cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-57.014,-55.778,1.5,2
0.5,1,-55.778,-54.175,1.5,13
1,1.5,-54.175,-51.94,1.5,3
1.5,2,-51.94,-49.221,1.5,12
2,2.5,-49.221,-46.116,1.5,1
2.5,3,-46.116,-42.112,1.5,0
3,3.5,-42.112,-36.686,1.5,11
3.5,4,-36.686,-29.88,1.5,15
4,4.5,-29.88,-21.867,1.5,1
4.5,5,-21.867,-12.782,1.5,2
5,5.5,-12.782,-2.7385,1.5,6
5.5,6,-2.7385,8.3924,1.5,5
6,6.5,8.3924,20.662,1.5,2
6.5,7,20.662,33.917,1.5,2
7,7.5,33.917,47.959,1.5,12
7.5,8,47.959,62.57,1.5,6
8,8.5,62.57,77.513,1.5,0
8.5,9,77.513,92.483,1.5,1
9,9.5,92.483,100.18,1.5,5
9.5,10,100.18,106.55,1.5,6
10,10.25,106.55,108.89,1.5,2
10.25,10.5,108.89,111.15,1.5,2
10.5,10.75,111.15,113.05,1.5,5
10.75,11,113.05,115.85,1.5,6
11,11.25,115.85,118.71,1.5,5
11.25,11.5,118.71,121.34,1.5,1
11.5,11.75,121.34,124.29,1.5,3
11.75,12,124.29,127.48,1.5,3
12,12.25,127.48,130.35,1.5,3
12.25,12.5,130.35,133.44,1.5,3
12.5,12.75,133.44,136.14,1.5,1
12.75,13,136.14,139.02,1.5,4
13,13.25,139.02,142.49,1.5,7
13.25,13.5,142.49,145.2,1.5,8
13.5,13.75,145.2,148.51,1.5,5
13.75,14,148.51,151.18,1.5,2
14,14.25,151.18,154.48,1.5,6
14.25,14.5,154.48,157.49,1.5,1
14.5,14.75,157.49,161.27,1.5,5
14.75,15,161.27,165.13,1.5,14
15,15.25,165.13,169.18,1.5,5
15.25,15.5,169.18,173.27,1.5,7
15.5,15.75,173.27,177.38,1.5,2
15.75,16,177.38,181.48,1.5,4
16,16.25,181.48,185.54,1.5,7
16.25,16.5,185.54,189.7,1.5,6
16.5,16.75,189.7,193.74,1.5,10
16.75,17,193.74,197.8,1.5,5
17,17.25,197.8,201.84,1.5,18
17.25,17.5,201.84,205.88,1.5,4
17.5,17.75,205.88,209.95,1.5,1
17.75,18,209.95,213.98,1.5,4
18,18.25,213.98,217.99,1.5,7
18.25,18.5,217.99,221.98,1.5,7
18.5,18.75,221.98,225.98,1.5,26
18.75,19,225.98,230.04,1.5,38
19,19.25,230.04,234.07,1.5,32
19.25,19.5,234.07,238.09,1.5,15
19.5,19.75,238.09,242.15,1.5,8
19.75,20,242.15,246.19,1.5,1
20,20.25,246.19,250.27,1.5,3
20.25,20.5,250.27,254.36,1.5,7
20.5,20.75,254.36,258.45,1.5,4
20.75,21,258.45,262.51,1.5,6
21,21.25,262.51,266.6,1.5,4
21.25,21.5,266.6,270.67,1.5,6
21.5,21.75,270.67,274.76,1.5,1
21.75,22,274.76,278.83,1.5,2
22,22.25,278.83,282.9,1.5,7
22.25,22.5,282.9,286.98,1.5,11
22.5,22.75,286.98,291.06,1.5,40
22.75,23,291.06,295.13,1.5,16
23,23.25,295.13,299.21,1.5,7
23.25,23.5,299.21,303.35,1.5,20
23.5,23.75,303.35,307.47,1.5,21
23.75,24,307.47,311.57,1.5,19
24,24.25,311.57,315.69,1.5,22
24.25,24.5,315.69,319.8,1.5,18
24.5,24.75,319.8,323.91,1.5,16
24.75,25,323.91,328.03,1.5,7
25,25.25,328.03,332.11,1.5,15
25.25,25.5,332.11,336.25,1.5,3
25.5,25.75,336.25,340.38,1.5,9
25.75,26,340.38,344.51,1.5,5
26,26.25,344.51,348.64,1.5,5
26.25,26.5,348.64,352.75,1.5,6
26.5,26.75,352.75,356.87,1.5,7
26.75,27,356.87,361,1.5,9
27,27.25,361,365.13,1.5,3
27.25,27.5,365.13,369.27,1.5,11
27.5,27.75,369.27,373.43,1.5,73
27.75,28,373.43,377.62,1.5,33
28,28.25,377.62,381.77,1.5,24
28.25,28.5,381.77,385.93,1.5,17
28.5,28.75,385.93,390.1,1.5,12
28.75,29,390.1,394.29,1.5,18
29,29.25,394.29,398.46,1.5,34
29.25,29.5,398.46,402.66,1.5,16
29.5,29.75,402.66,406.82,1.5,20
29.75,30,406.82,410.95,1.5,28
30,30.25,410.95,415.15,1.5,18
30.25,30.5,415.15,419.31,1.5,30
30.5,30.75,419.31,423.47,1.5,36
30.75,31,423.47,427.69,1.5,32
31,31.25,427.69,431.87,1.5,40
