cmTop,cmBot,ageTop,ageBot ,charVol,charCount
0,0.5,-58.037,-55.872,2,4
0.5,1,-55.872,-53.122,2,1
1,1.5,-53.122,-49.258,2,10
1.5,2,-49.258,-43.978,2,7
2,2.5,-43.978,-37.067,2,5
2.5,3,-37.067,-28.426,2,5
3,3.5,-28.426,-18.122,2,5
3.5,4,-18.122,-6.7519,2,15
4,4.5,-6.7519,5.0554,2,3
4.5,5,5.0554,17.096,2,3
5,5.5,17.096,29.313,2,8
5.5,6,29.313,41.817,2,15
6,6.5,41.817,54.684,2,9
6.5,7,54.684,67.68,2,24
7,7.5,67.68,76.159,2,1
7.5,8,76.159,84.595,2,0
8,8.5,84.595,92.99,2,3
8.5,9,92.99,101.35,2,25
9,9.5,101.35,109.67,2,2
9.5,10,109.67,117.95,2,0
10,10.5,117.95,126.2,2,5
10.5,11,126.2,134.42,2,3
11,11.5,134.42,142.61,2,31
11.5,12,142.61,150.77,2,10
12,12.5,150.77,158.9,2,0
12.5,13,158.9,167.01,2,2
13,13.5,167.01,175.1,2,14
13.5,14,175.1,183.17,2,4
14,14.5,183.17,191.22,2,3
14.5,15,191.22,199.25,2,3
15,15.5,199.25,207.27,2,1
15.5,16,207.27,215.27,2,3
16,16.5,215.27,223.26,2,14
16.5,17,223.26,231.25,2,6
17,17.5,231.25,239.22,2,0
17.5,18,239.22,247.19,2,22
18,18.5,247.19,255.16,2,0
18.5,19,255.16,263.12,2,5
19,19.5,263.12,271.08,2,2
19.5,20,271.08,279.05,2,5
20,20.25,279.05,283.03,2,31
20.25,20.5,283.03,287.01,2,10
20.5,20.75,287.01,291,2,12
20.75,21,291,294.99,2,1
21,21.25,294.99,298.98,2,3
21.25,21.5,298.98,302.97,2,1
21.5,21.75,302.97,306.96,2,0
21.75,22,306.96,310.95,2,1
22,22.25,310.95,314.95,2,3
22.25,22.5,314.95,318.95,1.5,0
22.5,22.75,318.95,322.96,2,2
22.75,23,322.96,326.97,2,3
23,23.25,326.97,330.98,2,0
23.25,23.5,330.98,334.99,2,0
23.5,23.75,334.99,339.01,2,0
23.75,24,339.01,343.04,2,0
24,24.25,343.04,347.06,2,5
24.25,24.5,347.06,351.1,2,1
24.5,24.75,351.1,355.14,2,1
24.75,25,355.14,359.18,2,8
25,25.25,359.18,363.23,2,22
