"year","sites","regions"
-63,0,4
-53,21,4
-43,25,4
-33,26,4
-23,26,4
-13,26,4
-3,27,4
7,27,4
17,27,4
27,27,4
37,27,4
47,27,4
57,27,4
67,27,4
77,27,4
87,27,4
97,27,4
107,27,4
117,27,4
127,27,4
137,27,4
147,27,4
157,27,4
167,27,4
177,27,4
187,27,4
197,27,4
207,27,4
217,27,4
227,27,4
237,27,4
247,27,4
257,27,4
267,27,4
277,27,4
287,27,4
297,27,4
307,27,4
317,27,4
327,27,4
337,27,4
347,27,4
357,27,4
367,27,4
377,27,4
387,27,4
397,27,4
407,27,4
417,27,4
427,27,4
437,27,4
447,27,4
457,27,4
467,27,4
477,27,4
487,27,4
497,27,4
507,27,4
517,27,4
527,27,4
537,27,4
547,27,4
557,27,4
567,27,4
577,27,4
587,27,4
597,27,4
607,27,4
617,27,4
627,27,4
637,27,4
647,27,4
657,27,4
667,27,4
677,27,4
687,27,4
697,27,4
707,27,4
717,27,4
727,27,4
737,27,4
747,27,4
757,27,4
767,27,4
777,27,4
787,27,4
797,27,4
807,27,4
817,27,4
827,27,4
837,27,4
847,27,4
857,27,4
867,27,4
877,27,4
887,27,4
897,27,4
907,27,4
917,27,4
927,27,4
937,27,4
947,27,4
957,27,4
967,27,4
977,27,4
987,27,4
997,27,4
1007,27,4
1017,27,4
1027,27,4
1037,27,4
1047,27,4
1057,27,4
1067,27,4
1077,27,4
1087,27,4
1097,27,4
1107,27,4
1117,26,4
1127,26,4
1137,26,4
1147,26,4
1157,26,4
1167,26,4
1177,26,4
1187,26,4
1197,26,4
1207,26,4
1217,26,4
1227,26,4
1237,26,4
1247,26,4
1257,26,4
1267,26,4
1277,26,4
1287,26,4
1297,26,4
1307,26,4
1317,26,4
1327,26,4
1337,26,4
1347,26,4
1357,26,4
1367,26,4
1377,26,4
1387,26,4
1397,26,4
1407,26,4
1417,26,4
1427,26,4
1437,26,4
1447,26,4
1457,26,4
1467,26,4
1477,26,4
1487,26,4
1497,26,4
1507,26,4
1517,26,4
1527,26,4
1537,26,4
1547,26,4
1557,26,4
1567,25,4
1577,25,4
1587,25,4
1597,25,4
1607,25,4
1617,25,4
1627,25,4
1637,25,4
1647,25,4
1657,25,4
1667,25,4
1677,25,4
1687,25,4
1697,25,4
1707,25,4
1717,25,4
1727,25,4
1737,25,4
1747,25,4
1757,25,4
1767,25,4
1777,25,4
1787,25,4
1797,25,4
1807,25,4
1817,25,4
1827,25,4
1837,25,4
1847,25,4
1857,25,4
1867,24,4
1877,24,4
1887,24,4
1897,24,4
1907,24,4
1917,24,4
1927,24,4
1937,24,4
1947,24,4
1957,24,4
1967,24,4
1977,24,4
1987,24,4
1997,24,4
2007,24,4
2017,24,4
2027,24,4
2037,24,4
2047,24,4
2057,24,4
2067,24,4
2077,24,4
2087,24,4
2097,24,4
2107,24,4
2117,23,4
2127,23,4
2137,23,4
2147,23,4
2157,23,4
2167,23,4
2177,23,4
2187,23,4
2197,23,4
