cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0.21,-51,3,1.2,0,0.1,-0.1,0,0,0,0.79,0.38
0.6,-36,10,3,0.1,0.1,0,0,0,0,0.8,0.38
1,-21,18,3,0.1,0.1,0,0,0,0,0.8,0.38
1.14,-6,23,3.6,0.1,0.1,0,0,0,0.26833962,0.81,0.38
1.5,9,34,5,0.1,0.1,0,0,0,0,0.82,0.38
1.5,24,34,5,0.1,0.1,0,0,0,0,0.82,0.38
1.5,39,34,5,0.1,0.1,0,0,0,0,0.83,0.38
1.73,54,42,5,0.1,0.1,0.1,0,0,0,0.84,0.38
2,69,51,5,0.2,0.1,0.1,0,1,2.141762644,0.84,0.38
2.36,84,20,5,0.1,0.1,0,0,0,0,0.85,0.38
2.5,99,9,5,0,0.1,0,0,0,0,0.86,0.38
3,114,8,5,0,0.1,0,0,0,0,0.87,0.38
3.14,129,7,5,0,0.1,0,0,0,0,0.87,0.38
3.5,144,6,5,0,0.1,0,0,0,0,0.88,0.38
3.78,159,5,5,0,0.1,0,0,0,0,0.89,0.38
4,174,5,5,0,0.1,0,0,0,0,0.9,0.38
4.42,189,14,5,0.1,0.1,0,0,0,0,0.9,0.38
4.56,204,15,5,0.1,0.1,0,0,0,0,0.91,0.79
5,219,9,5,0,0.1,0,0,0,0,0.92,0.65
5.21,234,11,5,0,0.1,0,0,0,0,0.93,0.56
5.5,249,15,5,0.1,0.1,0,0,0,0,0.94,0.4
5.85,264,40,5,0.2,0,0.1,0,0,0,0.95,0.32
6,279,51,5,0.2,0,0.2,0,1,3.310109408,0.96,0.3
6.5,294,0,5,0,0,0,0,0,0,0.96,0.3
6.65,309,3,5,0,0,0,0,0,0,0.97,0.35
7,324,9,5,0,0,0,0,0,0,0.98,0.28
7.3,339,5,5,0,0,0,0,0,0,0.98,0.23
7.5,354,3,5,0,0,0,0,0,0,0.98,0.31
7.96,369,8,5,0,0,0,0,0,0,0.99,0.21
8.11,384,44,5,0.2,0,0.1,0,0,0,0.99,0.28
8.5,399,164,5,0.7,0,0.6,0,0,0,0.99,0.31
8.77,414,84,5,0.3,0,0.3,0,0,0,0.99,0.55
9,429,18,5,0.1,0,0,0,1,17.32978366,0.99,0.57
9.45,444,6,4.9,0,0,0,0,0,0,0.99,0.51
9.8,459,2,3,0,0,0,0,0,0,0.99,0.52
10.1,474,1,3,0,0,0,0,0,0,0.99,0.59
10.39,489,1,3,0,0,0,0,0,0,0.98,0.39
10.68,504,2,3,0,0,0,0,0,0,0.98,0.37
10.99,519,6,3,0,0,0,0,0,0,0.98,0.55
11.31,534,22,3,0.2,0,0.1,0,0,0,0.98,0.47
11.61,549,23,3,0.2,0,0.1,0,1,2.322063913,0.97,0.43
11.9,564,4,3,0,0,0,0,0,0,0.97,0.57
12.2,579,1,3,0,0,0,0,0,0,0.96,0.43
12.53,594,12,3,0.1,0,0.1,0,0,0,0.96,0.41
12.83,609,13,3,0.1,0,0.1,0,0,0,0.95,0.39
13.13,624,15,3,0.1,0,0.1,0,1,0.472507359,0.95,0.6
13.43,639,7,3,0.1,0,0,0,0,0,0.94,0.3
13.74,654,1,3,0,0,0,0,0,0,0.94,0.15
14.07,669,3,3,0,0,0,0,0,0,0.93,0.83
14.36,684,3,3,0,0,0,0,0,0,0.92,0.9
14.66,699,3,3,0,0,0,0,0,0,0.92,0.85
14.96,714,1,3,0,0,0,0,0,0,0.91,0.87
15.3,729,6,3,0,0.1,0,0,0,0,0.9,0.92
15.6,744,12,3,0.1,0.1,0,0,0,0,0.89,0.99
15.9,759,21,3,0.1,0.1,0.1,0,1,1.00478722,0.88,0.99
16.2,774,7,3,0.1,0.1,0,0,0,0,0.86,1
16.54,789,8,3,0.1,0.1,0,0,0,0,0.85,1
16.84,804,4,3,0,0.1,0,0,0,0,0.84,0.96
17.14,819,5,3,0,0.1,0,0,0,0,0.83,0.97
17.44,834,2,3,0,0.1,0,0,0,0,0.81,0.94
17.78,849,20,3,0.1,0.1,0.1,0,0,0,0.8,0.95
18.09,864,33,3,0.2,0.1,0.2,0,0,0,0.79,0.91
18.39,879,23,3,0.2,0.1,0.1,0,1,4.583962892,0.77,0.95
18.69,894,10,3,0.1,0.1,0,0,0,0,0.76,0.95
19.02,909,6,3,0,0.1,0,0,0,0,0.75,0.12
19.34,924,7,3,0.1,0.1,0,0.1,0,0,0.74,0.97
19.63,939,1,3,0,0.1,0,0.1,0,0,0.73,0.92
19.93,954,13,3,0.1,0.1,0,0.1,0,0,0.72,0.74
20.27,969,7,3,0.1,0.1,0,0.1,0,0,0.71,0.79
20.58,984,19,3,0.1,0.1,0.1,0.1,0,0,0.7,0.78
20.88,999,24,3,0.2,0.1,0.1,0.1,0,0,0.7,0.85
21.18,1014,36,3,0.3,0.1,0.2,0.1,1,3.898423284,0.69,0.81
21.51,1029,10,3,0.1,0.1,0,0.1,0,0,0.69,0.05
21.83,1044,3,3,0,0.1,0,0.1,0,0,0.69,0.82
22.13,1059,3,3,0,0.1,0,0.1,0,0,0.69,0.66
22.43,1074,5,3,0,0.1,0,0.1,0,0,0.69,0.65
22.75,1089,16,3,0.1,0.1,0.1,0.1,0,0,0.69,0.63
23.07,1104,20,3,0.1,0.1,0.1,0.1,1,0.358110115,0.69,0.73
23.37,1119,3,3,0,0.1,0,0.1,0,0,0.7,0.77
23.67,1134,1,3,0,0.1,-0.1,0.1,0,0,0.71,0.83
23.98,1149,0,3,0,0.1,-0.1,0.1,0,0,0.72,0.55
24.31,1164,3,3,0,0.1,0,0.1,0,0,0.73,0.96
24.61,1179,11,3,0.1,0.1,0,0.1,0,0,0.74,0.82
24.91,1194,15,3,0.1,0.1,0,0.1,0,0,0.76,0.77
25.21,1209,10,3,0.1,0.1,0,0.1,0,0,0.78,0.89
25.55,1224,7,3,0.1,0.1,0,0.1,0,0,0.79,0.2
25.84,1239,21,3,0.1,0.1,0.1,0.1,0,0,0.8,0.94
26.14,1254,29,3,0.2,0.1,0.1,0.1,1,1.077950369,0.82,0.16
26.44,1269,8,3,0.1,0.1,0,0.1,0,0,0.83,0.87
26.76,1284,6,2.1,0.1,0.1,0,0.1,0,0,0.84,0.75
27.07,1299,2,2,0,0.1,0,0.1,0,0,0.85,0.67
27.37,1314,3,2,0,0.1,0,0.1,0,0,0.86,0.71
27.66,1329,8,2,0.1,0.1,0,0.1,0,0,0.87,0.55
27.96,1344,12,2,0.1,0.1,0.1,0.1,0,0,0.89,0.54
28.3,1359,8,2,0.1,0.1,0,0.1,0,0,0.9,0.56
28.59,1374,3,2,0,0.1,0,0.1,0,0,0.91,0.64
28.88,1389,3,2,0,0.1,0,0.1,0,0,0.91,0.78
29.17,1404,5,2,0.1,0.1,0,0.1,0,0,0.92,0.68
29.48,1419,4,2,0,0.1,0,0.1,0,0,0.93,0.66
29.8,1434,13,2,0.1,0.1,0.1,0.1,0,0,0.93,0.41
30.09,1449,14,2,0.1,0.1,0.1,0.1,0,0,0.93,0.28
30.38,1464,6,2,0.1,0.1,0,0.1,0,0,0.92,0.17
30.67,1479,5,2,0.1,0.1,0,0.1,0,0,0.92,0.15
30.97,1494,21,2,0.2,0.1,0.2,0.1,0,0,0.92,0.23
31.29,1509,56,2,0.6,0.1,0.5,0.1,1,6.584810861,0.91,0.59
31.58,1524,6,2,0.1,0.1,0,0.1,0,0,0.91,0.3
31.87,1539,3,2,0,0.1,0,0.1,0,0,0.9,0.23
32.16,1554,2,2,0,0.1,0,0.1,0,0,0.9,0.2
32.45,1569,3,2,0,0.1,0,0.1,0,0,0.89,0.29
32.75,1584,15,2,0.2,0.1,0.1,0.1,0,0,0.89,0.42
33.06,1599,4,2,0,0.1,0,0.1,0,0,0.89,0.31
33.34,1614,12,2,0.1,0.1,0.1,0.1,0,0,0.88,0.32
33.63,1629,36,2,0.4,0.1,0.3,0.1,0,0,0.88,0.22
33.91,1644,21,2,0.2,0.1,0.1,0.1,1,2.571989145,0.88,0.27
34.2,1659,17,2,0.2,0.1,0.1,0.1,0,0,0.88,0.33
34.49,1674,5,2,0.1,0.1,0,0.1,0,0,0.88,0.32
34.8,1689,17,2,0.2,0.1,0.1,0.1,0,0,0.88,0.34
35.08,1704,16,2,0.2,0.1,0.1,0.1,0,0,0.88,0.4
35.36,1719,6,2,0.1,0.1,0,0.1,0,0,0.88,0.53
35.64,1734,3,2,0,0.1,-0.1,0.1,0,0,0.87,0.48
35.93,1749,2,2,0,0.1,-0.1,0.1,0,0,0.87,0.49
36.21,1764,1,1.2,0,0.1,-0.1,0.1,0,0,0.87,0.34
36.5,1779,5,1.9,0.1,0.1,0,0.1,0,0,0.86,0.98
36.8,1794,11,2,0.1,0.1,0,0.1,0,0,0.85,0.88
37.08,1809,16,2,0.2,0.1,0.1,0.1,0,0,0.85,0.96
37.35,1824,30,2,0.3,0.1,0.2,0.1,0,0,0.84,0.97
37.63,1839,21,2,0.2,0.1,0.1,0.1,1,3.177990943,0.84,0.93
37.91,1854,5,2,0.1,0.1,0,0.1,0,0,0.84,0.99
38.19,1869,13,2,0.1,0.1,0,0.1,0,0,0.84,0.95
38.46,1884,3,2,0,0.1,-0.1,0.1,0,0,0.84,0.8
38.76,1899,3,2,0,0.1,-0.1,0.1,0,0,0.84,0.79
39.04,1914,12,2,0.1,0.1,0,0.1,0,0,0.84,0.93
39.32,1929,18,2,0.2,0.1,0.1,0.1,0,0,0.84,0.98
39.59,1944,31,2,0.3,0.1,0.2,0.1,0,0,0.84,0.1
39.87,1959,25,2,0.2,0.1,0.2,0.1,1,5.199540184,0.83,0.87
40.14,1974,6,2,0.1,0.1,0,0.1,0,0,0.83,0.11
40.41,1989,7,2,0.1,0.1,0,0.1,0,0,0.83,0.33
40.69,2004,7,2,0.1,0.1,0,0.1,0,0,0.83,0.94
40.96,2019,10,2,0.1,0.1,0,0.1,0,0,0.83,0.95
41.23,2034,4,2,0,0.1,-0.1,0.1,0,0,0.83,0.96
41.52,2049,0,1.1,0,0.1,-0.1,0.1,0,0,0.83,0.96
41.79,2064,2,2,0,0.1,-0.1,0.1,0,0,0.83,1
42.06,2079,9,2,0.1,0.1,0,0.1,0,0,0.84,1
42.33,2094,24,2,0.2,0.1,0.1,0.1,0,0,0.84,0.99
42.6,2109,23,2,0.2,0.1,0.1,0.1,1,1.950833863,0.85,0.9
42.87,2124,4,2,0,0.1,-0.1,0.1,0,0,0.85,0.1
43.14,2139,4,2,0,0.1,-0.1,0.1,0,0,0.85,0.91
43.41,2154,7,2,0.1,0.1,0,0.1,0,0,0.85,0.98
43.67,2169,6,2,0.1,0.1,0,0.1,0,0,0.84,0.99
43.94,2184,9,2,0.1,0.1,0,0.1,0,0,0.84,0.99
44.21,2199,22,2,0.2,0.1,0.1,0.1,0,0,0.83,0.78
44.47,2214,26,2,0.2,0.1,0.1,0.1,0,0,0.83,0.77
44.74,2229,59,2,0.5,0.1,0.4,0.1,0,0,0.82,0.88
45.02,2244,51,1.9,0.5,0.1,0.4,0.1,0,0,0.81,0.84
45.28,2259,14,1.1,0.2,0.1,0.1,0.1,1,13.29517018,0.81,0.85
45.55,2274,4,2,0,0.1,-0.1,0.1,0,0,0.8,0.7
45.81,2289,6,2,0.1,0.1,-0.1,0.1,0,0,0.79,0.48
46.07,2304,3,2,0,0.1,-0.1,0.1,0,0,0.78,0.59
46.33,2319,10,2,0.1,0.1,0,0.1,0,0,0.77,0.16
46.6,2334,20,2,0.2,0.1,0.1,0.1,0,0,0.76,0.55
46.86,2349,7,2,0.1,0.1,-0.1,0.1,0,0,0.75,0.57
