cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-57.984,2.4448,2,0.16596,0.098907,0.067051,0.88237,0,0,5.4828,5.5463
1.3577,-47.984,10.351,2,1.1297,0.10557,1.0241,0.88012,0,0,5.5454,5.5538
3.5405,-37.984,51.162,2,4.2788,0.11223,4.1666,0.87786,1,0,5.6001,5.5612
5.2131,-27.984,12.298,2,0.68397,0.11887,0.5651,0.87558,0,0,5.6391,5.5684
6.3254,-17.984,15.33,2,0.6752,0.12551,0.54968,0.87329,0,0,5.6678,5.5755
7.2063,-7.9842,5.0069,2,0.20003,0.13215,0.067885,0.87099,0,0,5.6732,5.5824
8.0054,2.0158,8.8765,2,0.34101,0.13876,0.20224,0.86867,0,0,5.7313,5.5891
8.7737,12.016,9.673,2,0.36451,0.14537,0.21914,0.86634,0,0,5.6511,5.5956
9.5274,22.016,4.2748,2,0.12491,0.15196,-0.027043,0.86399,0,0,5.7078,5.602
10.112,32.016,3,2,0.046243,0.15853,-0.11228,0.86161,0,0,5.5121,5.6081
10.42,42.016,3,2,0.052409,0.16507,-0.11267,0.85921,0,0,5.0877,5.6141
10.769,52.016,4.0988,2,0.078295,0.1716,-0.093303,0.85679,0,0,5.0221,5.6199
11.151,62.016,5.2128,2,0.10951,0.17809,-0.06858,0.85435,0,0,4.6895,5.6254
11.572,72.016,1.059,2,0.025367,0.18456,-0.15919,0.85187,0,0,4.7366,5.6308
12.051,82.016,2.4084,2,0.11819,0.19099,-0.072803,0.84937,0,0,4.7155,5.6359
13.032,92.016,2,2,0.046432,0.19739,-0.15096,0.84683,0,0,4.7519,5.6408
13.497,102.02,2.9925,2,0.075307,0.20375,-0.12844,0.84426,0,0,4.791,5.6455
14,112.02,9.9977,2,0.16744,0.21007,-0.042629,0.84166,0,0,4.8351,5.6499
14.335,122.02,6.453,2,0.18552,0.21635,-0.030832,0.83903,0,0,4.8772,5.6542
14.91,132.02,57.195,2,1.0573,0.22259,0.83473,0.83636,0,0,4.9211,5.6583
15.28,142.02,44.855,2,0.69032,0.22878,0.46154,0.83365,0,0,4.9592,5.6621
15.587,152.02,0,2,0,0.23492,-0.23492,0.83091,0,0,4.9952,5.6658
15.879,162.02,1.7579,2,0.027655,0.24101,-0.21335,0.82814,0,0,5.038,5.6693
16.194,172.02,3.2227,2,0.052997,0.24705,-0.19405,0.82534,0,0,5.0788,5.6727
16.523,182.02,6,2,0.091762,0.25303,-0.16127,0.82251,0,0,4.9843,5.6759
16.829,192.02,6.4396,2,0.11041,0.25896,-0.14855,0.81965,0,0,6.7592,5.679
17.171,202.02,6.6842,2,0.12429,0.26482,-0.14054,0.81676,0,0,7.3834,5.682
17.543,212.02,5,2,0.068655,0.27063,-0.20198,0.81386,0,0,6.9213,5.685
17.818,222.02,6.0116,2,0.089281,0.27638,-0.1871,0.81093,0,0,6.9073,5.6879
18.115,232.02,8,2,0.13643,0.28207,-0.14564,0.80799,0,0,6.8978,5.6908
18.456,242.02,7.1287,2,0.11728,0.28769,-0.17041,0.80504,0,0,6.8739,5.6937
18.785,252.02,5.2829,2,0.083293,0.29325,-0.20996,0.80208,0,0,6.9163,5.6966
19.1,262.02,2,2,0.029253,0.29875,-0.2695,0.79911,0,0,6.5179,5.6996
19.393,272.02,1.3658,2,0.021181,0.30419,-0.28301,0.79615,0,0,6.5672,5.7026
19.703,282.02,1.8055,2,0.029549,0.30957,-0.28002,0.79319,0,0,6.605,5.7058
20.03,292.02,9.6387,2,0.21395,0.31489,-0.10093,0.79024,0,0,6.4583,5.7091
20.474,302.02,6.3989,2,0.13917,0.32015,-0.18098,0.7873,0,0,6.461,5.7125
20.909,312.02,17.434,2,0.38706,0.32537,0.061698,0.78439,0,0,6.4407,5.7161
21.353,322.02,32.044,2,0.79308,0.33053,0.46255,0.7815,0,0,6.4284,5.72
21.848,332.02,29.294,1.722,0.80444,0.33565,0.46879,0.77865,0,0,6.4395,5.7241
22.32,342.02,58.321,1.9842,1.2912,0.34074,0.95043,0.77584,1,0,6.4695,5.7285
22.761,352.02,29.259,1.6706,0.68198,0.34579,0.33619,0.77308,0,0,6.5482,5.7332
23.172,362.02,37.786,2,0.90967,0.35081,0.55885,0.77038,0,0,6.3452,5.7382
23.654,372.02,25.234,2,0.59052,0.35582,0.2347,0.76775,0,0,6.3774,5.7436
24.122,382.02,35.102,2,0.75394,0.36082,0.39313,0.76521,0,0,6.064,5.7494
24.551,392.02,30.905,2,0.68929,0.36581,0.32348,0.76276,0,0,5.8905,5.7556
24.997,402.02,20.74,1.6861,0.52585,0.37082,0.15503,0.76043,0,0,5.7118,5.7621
25.43,412.02,28.839,2,0.67389,0.37583,0.29805,0.75821,0,0,5.5379,5.7688
25.897,422.02,45.896,1.7539,1.2936,0.38088,0.9127,0.75611,1,0,5.5022,5.7756
26.382,432.02,40.593,2,0.99605,0.38597,0.61008,0.75411,0,0,5.5185,5.7822
26.872,442.02,30.301,2,0.83329,0.39112,0.44217,0.75217,0,0,5.518,5.7881
27.422,452.02,18.096,2,0.48582,0.39633,0.089485,0.74875,0,0,5.5087,5.7901
27.959,462.02,14.932,2,0.29496,0.40163,-0.10667,0.74513,0,0,5.6534,5.7919
28.354,472.02,14.063,2,0.22869,0.40703,-0.17834,0.74129,0,0,5.2102,5.7935
28.68,482.02,32.018,2,0.65113,0.41254,0.23858,0.73719,0,0,5.3445,5.795
29.086,492.02,31.876,2,0.72538,0.41818,0.30719,0.73283,0,0,5.3435,5.7963
29.541,502.02,21.545,2,0.51262,0.42395,0.088669,0.72816,0,0,5.2973,5.7976
30.017,512.02,36.814,2,0.91445,0.42982,0.48463,0.72318,0,0,5.3138,5.7989
30.514,522.02,22.177,2,0.51413,0.43237,0.081764,0.71787,0,0,5.3341,5.8003
30.978,532.02,45.787,2,1.1112,0.43814,0.6731,0.71222,0,0,5.3203,5.802
31.463,542.02,58.688,2,1.5583,0.44017,1.1182,0.70623,0,0,5.3153,5.804
31.994,552.02,59.102,2,1.9564,0.44183,1.5145,0.6999,0,0,5.2979,5.8065
32.656,562.02,45.076,2,1.3494,0.44309,0.90632,0.69324,1,0,5.295,5.8098
33.255,572.02,22.488,2,0.48644,0.44396,0.04248,0.68627,0,0,5.296,5.814
33.688,582.02,33.686,2,0.84459,0.44444,0.40015,0.67901,0,0,5.3076,5.8192
34.189,592.02,25.077,2,0.61658,0.44451,0.17207,0.67148,0,0,5.3094,5.8258
34.681,602.02,22.18,2,0.59176,0.4442,0.14756,0.66371,0,0,5.3141,5.8339
35.214,612.02,20.293,2,0.44512,0.44352,0.0015978,0.65573,0,0,5.3135,5.8438
35.653,622.02,18.04,2,0.41124,0.44248,-0.031234,0.64758,0,0,5.3033,5.8556
36.109,632.02,20.936,2,0.47026,0.44109,0.029166,0.63928,0,0,5.2906,5.8695
36.558,642.02,26.215,2,0.57861,0.43936,0.13924,0.63088,0,0,5.6403,5.8857
37,652.02,28.966,2,0.59247,0.43731,0.15515,0.6224,0,0,5.764,5.9044
37.409,662.02,23.096,2,0.47181,0.43494,0.036876,0.61388,0,0,5.7938,5.9257
37.817,672.02,24.536,2,0.5251,0.43223,0.092871,0.60535,0,0,5.8067,5.9496
38.245,682.02,31.337,2,0.99,0.4292,0.5608,0.59684,0,0,5.8196,5.9763
38.877,692.02,83.382,2,5.9729,0.42583,5.5471,0.58835,0,0,5.8221,6.0058
40.31,702.02,82.022,2,4.0356,0.42211,3.6135,0.57992,0,0,5.824,6.038
41.294,712.02,38.203,2,1.2999,0.41802,0.88191,0.57153,1,0,5.8304,6.0728
41.974,722.02,3.7933,2,0.14858,0.41357,-0.26499,0.5632,0,0,5.6857,6.1102
42.758,732.02,5.2491,2,0.14717,0.40876,-0.26158,0.55494,0,0,5.7038,6.1501
43.318,742.02,3.5714,2,0.10025,0.40359,-0.30334,0.54673,0,0,5.7083,6.1924
43.88,752.02,6.3425,1.9497,0.31177,0.39807,-0.086305,0.53859,0,0,5.717,6.2368
44.804,762.02,28.215,1.8186,1.1983,0.39223,0.80607,0.53052,1,0,5.7386,6.2832
45.612,772.02,11.226,2,0.42167,0.38609,0.035574,0.5225,0,0,5.7807,6.3314
46.363,782.02,9.3183,1.3451,0.28043,0.37969,-0.09926,0.51455,0,0,5.8273,6.3813
46.86,792.02,34.518,2,1.823,0.37305,1.4499,0.50665,1,0,5.8794,6.4325
47.917,802.02,8.9242,1.8577,0.68051,0.36622,0.31429,0.49881,0,0,5.6216,6.4849
49.35,812.02,1.2725,1.9157,0.051447,0.35923,-0.30778,0.49102,0,0,5.646,6.5383
50.064,822.02,2.4871,1.7564,0.058021,0.35212,-0.2941,0.48327,0,0,5.6396,6.5924
50.454,832.02,4.1838,1.7005,0.11994,0.34495,-0.22501,0.47558,0,0,5.7708,6.6471
51.028,842.02,6.706,2,0.52822,0.33774,0.19048,0.46793,0,0,5.9156,6.7023
52.603,852.02,32.822,2,2.5291,0.33052,2.1986,0.46032,0,0,6.0523,6.7576
54.144,862.02,21.04,2,1.4449,0.32334,1.1216,0.45274,1,0,6.1351,6.8131
55.518,872.02,14.395,2,0.48792,0.3162,0.17172,0.44521,0,0,6.3913,6.8686
56.196,882.02,19.58,2,0.85182,0.30912,0.5427,0.4377,0,0,6.4389,6.924
57.066,892.02,31.901,1.9245,1.3005,0.30209,0.99844,0.43021,0,0,6.5797,6.9793
57.855,902.02,27.084,1.8957,1.1704,0.29511,0.87533,0.42274,0,0,6.6836,7.0344
58.675,912.02,26.635,2,1.0868,0.28819,0.79859,0.41526,0,0,6.7097,7.0892
59.491,922.02,25.696,2,1.7245,0.28132,1.4432,0.40777,0,0,6.8067,7.1439
60.833,932.02,25.79,2,1.9909,0.27451,1.7164,0.40024,0,0,6.9782,7.1982
62.377,942.02,28.424,2,1.8942,0.26775,1.6265,0.39268,1,0,7.4323,7.2523
63.71,952.02,10.926,1.8055,0.43167,0.26104,0.17062,0.38508,0,0,7.7171,7.3061
64.416,962.02,7.6669,2,0.24624,0.2544,-0.0081619,0.37744,0,0,7.7297,7.3596
65.059,972.02,3.7449,2,0.11875,0.24782,-0.12907,0.36976,0,0,7.74,7.4126
65.693,982.02,7.0205,2,0.21046,0.24131,-0.030849,0.36205,0,0,7.7772,7.465
66.293,992.02,24.53,2,1.2025,0.23488,0.96761,0.35434,1,0,7.8742,7.5166
67.273,1002,12.131,2,0.55428,0.22963,0.32464,0.34662,0,0,8.0407,7.5674
68.187,1012,5.8674,2,0.17326,0.22456,-0.051304,0.33892,0,0,7.7563,7.6169
68.777,1022,5.6815,2,0.1634,0.21965,-0.056256,0.33125,0,0,8.1762,7.6652
69.353,1032,1.7295,2,0.042489,0.21489,-0.1724,0.32364,0,0,8.1971,7.7119
69.844,1042,2.3695,2,0.057705,0.21024,-0.15254,0.3161,0,0,8.9341,7.7568
70.331,1052,11.287,2,0.43091,0.20569,0.22522,0.30865,0,0,8.6906,7.7998
71.095,1062,1.9844,2,0.080029,0.20123,-0.1212,0.30273,0,0,8.6355,7.8224
71.901,1072,5.5746,2,0.14398,0.19684,-0.052863,0.29696,0,0,8.7705,7.8395
72.418,1082,8.748,2,0.1557,0.19252,-0.036811,0.2913,0,0,8.7246,7.8522
72.774,1092,7.7536,2,0.24329,0.18825,0.055045,0.28572,0,0,9.1635,7.8617
73.401,1102,2.8055,2,0.068879,0.18403,-0.11515,0.28021,0,0,9.2276,7.8688
73.892,1112,2.1596,2,0.046878,0.17986,-0.13298,0.27475,0,0,9.2677,7.8744
74.326,1122,1.0881,2,0.026632,0.17573,-0.1491,0.26932,0,0,9.2067,7.8788
74.816,1132,0.32221,2,0.0074881,0.17165,-0.16416,0.26393,0,0,9.1397,7.8825
75.281,1142,3.3821,2,0.089849,0.1676,-0.077747,0.25857,0,0,9.0874,7.8856
75.812,1152,5.1113,2,0.15257,0.16358,-0.011012,0.25323,0,0,9.1203,7.8883
76.409,1162,5.2188,2,0.20765,0.1596,0.04805,0.24792,0,0,9.1763,7.8906
77.205,1172,0.024723,2,0.00093506,0.15564,-0.15471,0.24264,0,0,9.1281,7.8925
77.961,1182,1.0687,2,0.024406,0.15172,-0.12732,0.23738,0,0,9.1206,7.8942
78.418,1192,0,2,0,0.14783,-0.14783,0.23215,0,0,10.511,7.8955
78.949,1202,0.10775,1.9461,0.0060522,0.14397,-0.13791,0.22694,0,0,8.8427,7.8965
79.792,1212,1.931,1.7328,0.044473,0.14013,-0.095656,0.22175,0,0,7.7997,7.8972
80.214,1222,11.693,1.9363,0.94816,0.13632,0.81184,0.21659,1,0,7.8467,7.8977
81.741,1232,5.649,2,0.22072,0.13254,0.088186,0.21145,0,0,7.9383,7.8977
82.523,1242,0.58831,2,0.0098138,0.12878,-0.11897,0.20634,0,0,8.0383,7.8975
82.856,1252,0,2,0,0.12505,-0.12505,0.20125,0,0,8.2395,7.8969
83.137,1262,0.63463,2,0.015547,0.12135,-0.1058,0.19617,0,0,8.1751,7.896
83.627,1272,0.91146,2,0.018758,0.11767,-0.098912,0.19113,0,0,8.2686,7.8947
84.038,1282,0,2,0,0.11402,-0.11402,0.1861,0,0,8.2281,7.8931
84.429,1292,1.2895,2,0.026615,0.1104,-0.08378,0.18109,0,0,8.1664,7.8911
84.841,1302,10.347,1.7931,0.36946,0.1068,0.26266,0.17611,1,0,7.9339,7.8887
85.519,1312,5.813,2,0.18186,0.10323,0.078632,0.17114,0,0,8.5058,7.8859
86.145,1322,0.67074,2,0.014121,0.099689,-0.085567,0.1662,0,0,8.8095,7.8827
86.566,1332,1.5799,2,0.037139,0.096175,-0.059036,0.16127,0,0,9.1365,7.8791
87.036,1342,5.3856,2,0.19556,0.092691,0.10287,0.15637,0,0,9.3003,7.8751
87.763,1352,3.1469,2,0.093181,0.089235,0.003946,0.15148,0,0,9.6383,7.8707
88.355,1362,3.5382,2,0.096806,0.085808,0.010999,0.14661,0,0,8.803,7.8658
88.902,1372,1.8244,2,0.074551,0.08241,-0.0078586,0.14177,0,0,8.6317,7.8605
89.719,1382,3.3296,2,0.10446,0.079041,0.025424,0.13694,0,0,8.9238,7.8546
90.347,1392,0.70494,2,0.016735,0.075702,-0.058967,0.13213,0,0,9.1932,7.8483
90.822,1402,1.2814,2,0.034969,0.072393,-0.037424,0.12734,0,0,9.1036,7.8415
91.367,1412,2,2,0.050078,0.069114,-0.019036,0.12256,0,0,9.1172,7.8341
91.868,1422,1.9876,2,0.046779,0.065866,-0.019086,0.11781,0,0,9.2178,7.8262
92.339,1432,1.6456,2,0.029789,0.062648,-0.032859,0.11308,0,0,8.55,7.8177
92.701,1442,3.0606,2,0.069522,0.059461,0.010061,0.10836,0,0,7.3068,7.8086
93.155,1452,1.2576,2,0.031109,0.056306,-0.025196,0.10366,0,0,5.7969,7.7988
93.65,1462,4.5158,2,0.088975,0.053182,0.035793,0.098978,0,0,6.033,7.7885
94.044,1472,0.45904,2,0.0098088,0.050091,-0.040282,0.094316,0,0,5.9834,7.7774
94.471,1482,1.1846,2,0.045544,0.047032,-0.0014879,0.089671,0,0,5.9557,7.7657
95.24,1492,1.6508,2,0.043214,0.044006,-0.00079148,0.085044,0,0,5.8941,7.7533
95.764,1502,1.6785,2,0.03544,0.041013,-0.0055734,0.080435,0,0,5.0685,7.7403
96.186,1512,18.234,2,0.5382,0.038054,0.50015,0.075843,1,0,6.0282,7.7265
96.776,1522,5.394,2,0.10241,0.035128,0.06728,0.071269,0,0,5.9602,7.7121
97.156,1532,0.79133,2,0.023952,0.032237,-0.0082847,0.066711,0,0,5.891,7.6969
97.762,1542,15.775,2,0.52271,0.029379,0.49333,0.06217,0,0,5.9437,7.6811
98.424,1552,6.8243,1.2179,0.31187,0.026555,0.28531,0.057646,1,0,5.9654,7.6647
