cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-56,0,2.49,0.018016775,0.035427869,0.116087283,0.01247702,0,0,1,
2.12,-41,1,2.48,0.019484531,0.03544747,-0.03544747,0.0127142,0,0,1,
3.58,-26,4,3,0.131329085,0.035467699,-0.035467699,0.01295273,0,0,1,
5.02,-11,8,3,0.20448838,0.035488596,-0.008166192,0.01319259,0,0,1,
6.18,4,19,3,0.326457526,0.035510199,-0.006774567,0.01343376,0,0,1,
6.96,19,13,3,0.256201142,0.035532544,-0.035532544,0.01367618,0,0,1,
7.85,34,7,3,0.190044369,0.035555667,0.000676217,0.01391978,1,0,1,
9.05,49,3,3,0.022297314,0.035579606,-0.035579606,0.01416447,0,0,1,
9.38,64,5,3,0.036045768,0.035604395,0.118716593,0.01441015,0,0,1,
9.71,79,6,3,0.040271585,0.03563007,0.146188112,0.0146567,0,0,1,
10.04,94,2,3,0.014470158,0.035656664,0.247362204,0.01490399,0,0,1,
10.36,109,3,3,0.018608945,0.035684213,0.090578413,0.0151519,0,0,1,
10.69,124,3,3,0.021419103,0.035712751,0.186509471,0.01540027,0,0,1,
11.01,139,2,3,0.014434385,0.035742313,0.34759102,0.01564896,0,0,0.99,
11.34,154,2,3,0.014421746,0.035772933,0.2975604,0.01589783,0,0,0.99,
11.66,169,2,3,0.01440894,0.035804644,0.030862023,0.01614672,0,0,0.98,
11.99,184,3,3,0.021242477,0.035837482,0.165311943,0.01639549,0,0,0.97,
12.31,199,4,3,0.027420327,0.035871478,0.338278182,0.016644,0,0,0.96,
12.63,214,5,3,0.035858007,0.035906666,-0.013684444,0.01689213,0,0,0.95,
12.95,229,10,3,0.072672242,0.035943075,0.007535186,0.01713975,0,0,0.95,
13.28,244,10,3,0.069847279,0.035980734,-0.02155072,0.01738677,1,0,0.94,
13.6,259,7,3,0.049903484,0.036019666,-0.014374644,0.01763311,0,0,0.93,
