cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-59.015,2.9133,2,0.33721,0.10235,0.23486,0.08717,1,0,4.2839,3.7066
2.3149,-49.015,3.4785,1.7393,0.18963,0.10234,0.087284,0.087782,0,0,4.3016,3.7064
3.2631,-39.015,2.5451,2,0.098833,0.10234,-0.0035116,0.0884,0,0,4.352,3.7064
4.0397,-29.015,3.6169,2,0.1497,0.10236,0.047346,0.089024,0,0,4.364,3.7067
4.8675,-19.015,1.7529,2,0.068502,0.10238,-0.033875,0.089654,0,0,4.1822,3.7072
5.6491,-9.0147,5.4418,2,0.17016,0.10241,0.067753,0.09029,0,0,4.083,3.7079
6.2745,0.98528,8,2,0.2069,0.10244,0.10446,0.090933,1,0,4.2315,3.7088
6.7918,10.985,6.2822,2,0.14579,0.10249,0.043298,0.091582,0,0,4.0197,3.71
7.2559,20.985,4.5463,2,0.099663,0.10255,-0.0028832,0.092238,0,0,3.9323,3.7113
7.6943,30.985,4.5725,2,0.095932,0.10261,-0.0066771,0.092899,0,0,3.942,3.7129
8.1139,40.985,5.9101,2,0.11763,0.10268,0.014954,0.093567,0,0,3.8708,3.7148
8.512,50.985,3,2,0.060074,0.10276,-0.042682,0.09424,0,0,3.8658,3.7168
8.9125,60.985,3.7815,2,0.076073,0.10284,-0.026766,0.094919,0,0,3.9045,3.7191
9.3148,70.985,3.4596,2,0.069895,0.10293,-0.033033,0.095604,0,0,3.9387,3.7215
9.7189,80.985,4.8364,2,0.098112,0.10302,-0.0049106,0.096295,0,0,3.9482,3.7242
10.125,90.985,8.5316,2,0.17375,0.10312,0.070631,0.09699,0,0,3.9043,3.7271
10.532,100.99,3,2,0.061365,0.10323,-0.041861,0.097691,0,0,3.8857,3.7301
10.941,110.99,2.1441,2,0.044022,0.10333,-0.059313,0.098397,0,0,3.876,3.7334
11.352,120.99,3.278,2,0.067513,0.10345,-0.035933,0.099108,0,0,3.8355,3.7368
11.764,130.99,2.7194,2,0.056173,0.10356,-0.047388,0.099823,0,0,3.6953,3.7404
12.177,140.99,1.2191,2,0.025251,0.10368,-0.078429,0.10054,0,0,3.6916,3.7441
12.591,150.99,2.0753,2,0.043092,0.1038,-0.060709,0.10127,0,0,3.6127,3.748
13.006,160.99,7,2,0.14574,0.10392,0.041819,0.10199,0,0,3.3929,3.752
13.423,170.99,7,2,0.14602,0.10405,0.041968,0.10273,0,0,3.4165,3.7562
13.84,180.99,5.151,2,0.10762,0.10418,0.0034407,0.10346,0,0,3.2932,3.7604
