year_BP,mFRI_var,mFRI_1000,CI_u,CI_l
-60,119.1935484,125.8191339,137.9762897,113.6619782
-10,124.4615385,126.0415782,137.9295695,114.1535869
40,128.3333333,126.2164198,137.838441,114.5943987
90,126.4457831,126.3446238,137.7033751,114.9858724
140,125,126.4266312,137.5237044,115.3295579
190,124.7979798,126.4634692,137.2993193,115.6276191
240,127.9439252,126.4587238,137.0327776,115.8846699
290,131.4285714,126.4204384,136.7314529,116.1094239
340,134.1666667,126.3615424,136.4085213,116.3145635
390,133.442029,126.288221,136.0731299,116.5033121
440,129.1554054,126.1093982,135.6501184,116.568678
490,125.777027,125.4634718,134.8114432,116.1155005
540,122.2413793,124.6396216,133.8062747,115.4729685
590,119.5862069,123.6086674,132.5947582,114.6225767
640,119.9668874,122.3942849,131.1974786,113.5910912
690,120.0967742,121.0640774,129.6798157,112.4483391
740,121.4556962,119.7214234,128.1471512,111.2956957
790,122.9559748,118.4921039,126.7405848,110.2436231
840,117.7564103,117.4753215,125.5764405,109.3742025
890,113.7820513,116.6969572,124.6833353,108.710579
940,114.3,116.1331842,124.0286428,108.2377256
990,114.2356688,115.7732875,123.5973549,107.9492201
1040,114.6540881,115.6127197,123.3859779,107.8394615
1090,110.483871,115.6535161,123.3991158,107.9079163
1140,109.1290323,115.918127,123.6624009,108.1738531
1190,113.7987013,116.4300221,124.2018538,108.6581904
1240,117.3870968,117.1825514,125.0122784,109.3528245
1290,117.9333333,118.0996666,126.0130759,110.1862572
1340,117.4496644,119.0392777,127.0487856,111.0297697
1390,123.1081081,119.8694062,127.9720796,111.7667328
1440,123.3783784,120.5105002,128.6918405,112.32916
1490,122.6712329,120.8780297,129.1101917,112.6458678
1540,125.8783784,120.9068034,129.1498926,112.6637143
1590,127.1088435,120.5715756,128.7786192,112.364532
1640,126.409396,119.9137055,128.0414348,111.7859761
1690,123.1,119.0210782,127.0373065,111.0048499
1740,117.9794521,117.9761611,125.8548686,110.0974536
1790,113.4722222,116.8472475,124.5673054,109.1271896
1840,116.2068966,115.7121997,123.2636541,108.1607452
1890,108.7943262,114.6487293,122.0401544,107.2573041
1940,109.7260274,113.7287315,120.9852766,106.4721864
1990,108.2857143,113.0325533,120.1968359,105.8682707
2040,108.5661765,112.6352888,119.764973,105.5056046
2090,110.4074074,112.5901072,119.7515348,105.4286795
2140,112.2761194,112.9133243,120.1768246,105.649824
2190,112.8148148,113.5848321,121.015593,106.1540713
2240,115.1811594,114.5332863,122.1745842,106.8919883
2290,112.5555556,115.6779872,123.5489448,107.8070296
2340,116.8148148,116.9420175,125.0447474,108.8392877
2390,117.9496403,118.2099004,126.5327178,109.8870831
2440,117.2014925,119.3718969,127.8939616,110.8498322
2490,121.8217054,120.3570634,129.0537144,111.6604124
2540,123.4552846,121.1700818,130.0177128,112.3224508
2590,128.0252101,121.8552298,130.8307381,112.8797215
2640,124.122807,122.4363784,131.5140348,113.3587219
2690,124.8636364,122.9174473,132.069044,113.7658506
2740,128.6160714,123.2793932,132.4774052,114.0813812
2790,123.7053571,123.5101406,132.7303184,114.2899628
2840,119.1509434,123.654556,132.8887065,114.4204056
2890,119.2857143,123.7929252,133.0601099,114.5257404
2940,123.2673267,123.9974968,133.3411139,114.6538798
2990,125.7692308,124.3364739,133.8139542,114.8589935
3040,121.9117647,124.8515517,134.5185853,115.1845182
3090,125.2525253,125.5362388,135.4304226,115.642055
3140,122.0744681,126.3618496,136.4991375,116.2245617
3190,122.8723404,127.3103249,137.694313,116.9263368
3240,128.4615385,128.3318722,138.9544578,117.7092866
3290,135.3191489,129.363916,140.2091278,118.5187041
3340,131.7032967,130.3735483,141.4264707,119.3206259
3390,131.5853659,131.3347052,142.5831381,120.0862723
3440,134.7058824,132.2475061,143.6767157,120.8182965
3490,132.3837209,133.1067534,144.6953706,121.5181362
3540,134.1071429,133.8768636,145.5985086,122.1552187
3590,137.7906977,134.5158746,146.3403075,122.6914418
3640,133.4939759,135.0210671,146.9184142,123.1237201
3690,135.5555556,135.4754386,147.4269135,123.5239637
3740,137.8289474,136.0331686,148.0474497,124.0188875
3790,131.5068493,136.7926643,148.9028019,124.6825267
3840,137.2222222,137.7677022,150.0218376,125.5135668
3890,139.8591549,138.8957787,151.3441268,126.4474306
3940,139.2142857,140.1120845,152.7997942,127.4243749
3990,133.5294118,141.3463985,154.3047937,128.3880033
4040,138.0714286,142.4861287,155.7182227,129.2540347
4090,141.5942029,143.4270336,156.9074421,129.946625
4140,153.4722222,144.1054905,157.7871864,130.4237945
4190,150.7638889,144.4805812,158.2984491,130.6627133
4240,156.971831,144.4995733,158.3743282,130.6248185
4290,144.4736842,144.1450512,157.998216,130.2918865
4340,148.8666667,143.4552245,157.2246866,129.6857624
4390,152.2297297,142.4574455,156.0996139,128.8152772
4440,138.9285714,141.171629,154.6558643,127.6873936
4490,136.6197183,139.6693788,152.9734482,126.3653094
4540,138.9041096,138.1042873,151.2221386,124.9864361
4590,131.6666667,136.6651491,149.6111097,123.7191886
4640,126.5714286,135.4896028,148.297812,122.6813936
4690,129.2028986,134.6211937,147.3373491,121.9050384
4740,132.1527778,134.0538511,146.7301879,121.3775143
4790,130.4109589,133.766933,146.4551974,121.0786686
4840,130.4794521,133.7790087,146.5260332,121.0319842
4890,135.4109589,134.057177,146.8992802,121.2150738
4940,134.2753623,134.5023426,147.457679,121.5470062
4990,139.4776119,135.0278825,148.0988384,121.9569265
5040,137.9710145,135.5910501,148.7683068,122.4137934
5090,138.3333333,136.1897386,149.4696308,122.9098464
5140,134.2142857,136.8487575,150.2479703,123.4495446
5190,136.4705882,137.6027526,151.1601762,124.045329
5240,139.21875,138.4716562,152.2369156,124.7063967
5290,138.3050847,139.5217735,153.548022,125.4955251
5340,137,140.7841267,155.1138661,126.4543873
5390,132.8448276,142.2540081,156.9150445,127.5929716
5440,138.0508475,143.8956635,158.9013717,128.8899554
5490,149.2982456,145.640156,160.9974172,130.2828949
5540,147.2321429,147.4566324,163.187456,131.7258088
5590,150.2777778,149.3210438,165.4475773,133.1945104
5640,147.1698113,151.1218844,167.6296947,134.614074
5690,165.8490566,152.7290542,169.555282,135.9028264
5740,157.6,153.9967917,171.0325645,136.9610189
5790,157.3469388,154.8189202,171.9300306,137.7078099
5840,161.9230769,155.167882,172.2164115,138.1193525
5890,151.1538462,155.0967665,171.9701888,138.2233442
5940,162.1428571,154.7032503,171.3356959,138.0708046
5990,167.3684211,154.0827667,170.4536504,137.711883
6040,149.6153846,153.2181745,169.3233037,137.1130452
6090,150.3773585,152.0808216,167.9191148,136.2425284
6140,141.0185185,150.7076978,166.2797355,135.13566
6190,148.2075472,149.2306371,164.5428127,133.9184616
6240,148.490566,147.7920012,162.8647788,132.7192235
6290,150.1923077,146.5870585,161.4824516,131.6916654
6340,145.2,145.7482094,160.5683232,130.9280955
6390,150.1923077,145.3113278,160.1839896,130.4386661
