cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-58,0.72337,2,0.1448,0.086793,0.058007,0.074596,0,0,4.3984,4.4663
4.0035,-48,1.8207,2,0.061855,0.08624,-0.024385,0.075267,0,0,4.4636,4.4765
4.683,-38,4.5776,2,0.14815,0.08569,0.062464,0.075929,0,0,4.5154,4.4867
5.3303,-28,2.5799,2,0.10807,0.085144,0.022921,0.076581,0,0,4.5583,4.497
6.168,-18,2.4681,2,0.12672,0.084602,0.04212,0.077224,0,0,4.6014,4.5073
7.1949,-8.0005,1.2295,2,0.054581,0.084063,-0.029483,0.077856,0,0,4.6357,4.5176
8.0828,1.9995,2.1567,2,0.071752,0.083529,-0.011777,0.078476,0,0,4.6297,4.5278
8.7482,12,0.42791,2,0.011335,0.082998,-0.071664,0.079086,0,0,4.6287,4.5381
9.2779,22,3.2574,2,0.074392,0.082472,-0.0080795,0.079683,0,0,4.6644,4.5484
9.7347,32,4.0685,2,0.086137,0.081949,0.0041886,0.080269,0,0,4.7156,4.5588
10.158,42,1.3296,2,0.027083,0.08143,-0.054346,0.080841,0,0,4.751,4.5691
10.566,52,3,2,0.059611,0.080914,-0.021303,0.081401,0,0,4.7539,4.5794
10.963,62,15.693,2,0.30797,0.080403,0.22757,0.081949,1,0,4.7599,4.5897
11.355,72,8.1647,2,0.16005,0.079896,0.080153,0.082484,0,0,4.7946,4.6
11.747,82,3.7118,2,0.086711,0.079394,0.0073169,0.083006,0,0,4.6509,4.6103
12.215,92,4.473,2,0.13499,0.078896,0.05609,0.083516,0,0,4.6896,4.6206
12.818,102,1.9031,2,0.058374,0.078402,-0.020028,0.084013,0,0,4.5776,4.6309
13.432,112,4.5576,2,0.14299,0.077913,0.065072,0.084499,0,0,4.4145,4.6411
14.059,122,3.4723,2,0.11075,0.077428,0.033322,0.084974,0,0,4.4078,4.6514
14.697,132,2.6514,2,0.086825,0.076948,0.0098773,0.085439,0,0,4.3657,4.6616
15.352,142,6.346,2,0.21311,0.076472,0.13664,0.085894,1,0,4.3251,4.6717
16.024,152,1,2,0.034202,0.076001,-0.041799,0.08634,0,0,4.3775,4.6819
16.708,162,1,2,0.034625,0.075534,-0.040909,0.086778,0,0,4.6674,4.692
17.4,172,8.7967,2,0.31428,0.075071,0.23921,0.087209,0,0,4.672,4.702
18.115,182,8.8951,2,0.32475,0.074612,0.25013,0.087633,1,0,4.5517,4.712
18.845,192,0.75046,2,0.027707,0.074158,-0.046451,0.088052,0,0,4.5884,4.722
19.583,202,5.2645,2,0.20285,0.073707,0.12915,0.088465,1,0,4.5347,4.7319
20.354,212,3.9529,2,0.15254,0.073261,0.079275,0.088875,0,0,4.4911,4.7417
21.126,222,16.536,2,0.63746,0.072818,0.56464,0.089282,0,0,4.5249,4.7515
