cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-56,0.11,1.98,0,0.07,,,0,,,
4.794741327,-41,0.41,3,0,0.07,,,0,,,
7.34232671,-26,2.24,3,0,0.07,,,0,,,
9.487767893,-11,4.13,3.73,0,0.07,,,0,,,
11.34886549,4,3.47,4,0,0.07,,,0,,,
12.8971782,19,1,4,0,0.07,,,0,,,
13.96063874,34,5.68,4,0.104166667,0.07,,,0,,,
16.17875292,49,5.03,4,0,0.07,,,0,,,
17.38899744,64,5.42,4,0,0.07,,,0,,,
18.28125486,79,4.01,4,0,0.07,,,0,,,
19.73775022,94,5.69,4,0.05952381,0.07,,,0,,,
21.19323947,109,5,4,0,0.07,,,0,,,
22.6478341,124,2.04,3.21,0,0.07,,,0,,,
24.10121878,139,1.24,2.69,0.050505051,0.07,,,0,,,
25.55282566,154,2.08,3,0,0.07,,,0,,,
27.00257987,169,4,3,0.161290323,0.07,,,0,,,
28.4496134,184,5.46,2.73,0.238095238,0.07,,,0,,,
29.89413487,199,7.62,2.69,0.098039216,0.07,,,0,,,
31.33517851,214,3.08,2.54,0,0.07,,,0,,,
32.7728683,229,4.49,2.93,0.166666667,0.07,,,0,,,
34.20662792,244,5,2.72,0.098684211,0.07,,,1,,,
35.63607252,259,3.66,3,0.184210526,0.07,,,0,,,
37.06126216,274,1,2.66,0.025510204,0.07,,,0,,,
38.4810486,289,5.44,2,0.017123288,0.07,,,0,,,
39.89612592,304,11.43,2.93,0.134408602,0.07,,,0,,,
41.30555476,319,5.03,2.14,0.642857143,0.07,,,1,,,
42.70893789,334,4.64,2.79,0.112359551,0.07,,,0,,,
44.10666394,349,3,3,0.075757576,0.07,,,0,,,
45.49765597,364,1.72,3,0.072815534,0.07,,,0,,,
46.88261003,379,1.36,3,0.121359223,0.07,,,0,,,
48.26036479,394,0.54,3,0.144230769,0.07,,,0,,,
49.63120878,409,2.19,3,0.121359223,0.07,,,0,,,
