cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-58.06,1.1547,2,0.1517,0.052414,0.09929,0.043342,0,0,8.3926,9.9532
2.6275,-48.06,11.492,2,0.71623,0.054199,0.66203,0.046239,0,0,6.9639,9.9122
3.874,-38.06,7.1743,2,0.32609,0.055981,0.27011,0.049141,1,0,7.046,9.8708
4.7831,-28.06,0.73826,2,0.028603,0.057761,-0.029158,0.052049,0,0,7.1397,9.8289
5.5579,-18.06,1,2,0.034421,0.059538,-0.025117,0.054964,0,0,7.1015,9.7867
6.2464,-8.0599,0.385,2,0.012278,0.061312,-0.049034,0.057885,0,0,7.1443,9.7442
6.8842,1.9401,1.6292,2,0.04941,0.063083,-0.013673,0.060814,0,0,7.131,9.7013
7.4907,11.94,0.87872,2,0.025888,0.064849,-0.038961,0.063751,0,0,7.2107,9.6581
8.08,21.94,0.28197,2,0.0082529,0.066612,-0.058359,0.066697,0,0,7.2956,9.6147
8.6653,31.94,1,2,0.029468,0.06837,-0.038902,0.069653,0,0,7.7692,9.571
9.2547,41.94,1,2,0.030053,0.070123,-0.04007,0.07262,0,0,12.117,9.5271
9.8558,51.94,1,2,0.03101,0.071872,-0.040862,0.075598,0,0,11.882,9.4831
10.476,61.94,5.2688,2,0.16874,0.073616,0.095121,0.078588,1,0,12.003,9.439
11.116,71.94,3,2,0.097468,0.075356,0.022112,0.081591,0,0,12.024,9.3948
11.766,81.94,1.0763,2,0.031219,0.07709,-0.045871,0.084605,0,0,12.145,9.3507
12.346,91.94,1.4311,2,0.038699,0.078819,-0.040121,0.087632,0,0,11.749,9.3065
12.887,101.94,2.7915,2,0.07562,0.080543,-0.0049237,0.090671,0,0,11.5,9.2624
13.429,111.94,2.1311,2,0.05783,0.082262,-0.024432,0.093722,0,0,11.741,9.2184
13.972,121.94,5.735,2,0.1559,0.083976,0.071925,0.096786,0,0,11.577,9.1745
14.515,131.94,3.7799,2,0.10293,0.085684,0.017247,0.099863,0,0,11.175,9.1307
15.06,141.94,1.6137,2,0.044012,0.087387,-0.043375,0.10295,0,0,11.202,9.0871
15.605,151.94,1.9433,2,0.053083,0.089084,-0.036001,0.10606,0,0,9.8256,9.0437
16.152,161.94,5.91,2,0.16168,0.090776,0.070904,0.10917,0,0,9.9196,9.0004
