cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-54,2.2667,3.9333,0.0672,0.11127,-0.044069,0.17173,0,0,5.3952,7.9535
1.8,-39,5.4667,4.4667,0.10913,0.10769,0.0014354,0.16704,0,0,5.5212,7.9408
3.25,-24,11.2,5,0.15348,0.10415,0.049328,0.16235,0,0,5.6449,7.9281
4.2778,-9,42.8667,5,0.43877,0.10067,0.3381,0.15765,1,0,5.7667,7.9153
5.0455,6,17.3333,5,0.14357,0.097234,0.046335,0.15293,0,0,5.8873,7.9025
5.6667,21,19.3333,5,0.14451,0.093862,0.050649,0.14818,0,0,6.0071,7.8896
6.2273,36,53.4,5,0.48545,0.090553,0.3949,0.14343,0,0,6.1262,7.8768
6.9091,51,38.0667,5,0.34222,0.087302,0.25491,0.1387,0,0,6.2446,7.8639
7.5833,66,56,5,0.48081,0.084107,0.3967,0.13403,0,0,6.3619,7.8509
8.2273,81,33,5,0.3,0.080961,0.21904,0.12945,1,0,6.4782,7.838
8.9091,96,7.3333,5,0.065926,0.077857,-0.011931,0.12492,0,0,6.5939,7.825
9.5833,111,5.6667,5,0.048653,0.074784,-0.026131,0.12043,0,0,6.7091,7.812
10.2273,126,30.8,5,0.28,0.071731,0.20827,0.11595,0,0,6.8237,7.7989
10.9091,141,34.1333,5,0.28962,0.068684,0.22093,0.11145,1,0,6.9371,7.7858
11.5455,156,2.6667,5,0.023569,0.065622,-0.042053,0.10688,0,0,7.0473,7.7726
12.2083,171,0,5,0,0.062518,-0.062518,0.10219,0,0,7.1495,7.7593
12.8636,186,6.4,5,0.054303,0.059336,-0.0050332,0.097215,0,0,7.2339,7.7461
13.5,201,7.6667,5,0.068148,0.056033,0.012115,0.092034,0,0,7.2691,7.7328
14.1667,216,5.4,5,0.046909,0.052576,-0.0056667,0.086763,0,0,7.287,7.7196
14.8182,231,5.5333,3.5333,0.068093,0.049016,0.019077,0.081659,0,0,7.2885,7.7064
15.4583,246,2.4667,2.6,0.04537,0.045713,-0.00034288,0.077015,0,0,7.2746,7.6933
16.0833,261,1.8667,3,0.027654,0.04435,-0.016696,0.073082,0,0,7.2471,7.6804
16.75,276,1.8,3,0.025,0.043626,-0.018626,0.069994,0,0,7.2103,7.6676
17.375,291,2.6,2.6,0.036111,0.043425,-0.0073136,0.067614,0,0,7.1716,7.655
18,306,0.6,3,0.0083333,0.043212,-0.034879,0.065441,0,0,7.1412,7.6426
18.625,321,0.2,3,0.0027778,0.043712,-0.040934,0.063055,0,0,7.1251,7.6304
