cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-58.243,3.598,2,0.17757,0.024622,0.15295,0.079756,1,0,4.5611,3.9741
0.98705,-48.243,3.0159,2,0.075851,0.025688,0.050163,0.080424,0,0,4.3892,3.9555
1.4901,-38.243,16.721,2,0.29364,0.026761,0.26688,0.081088,0,0,4.377,3.9371
1.8413,-28.243,8.8363,2,0.13555,0.027843,0.10771,0.081748,1,0,4.3709,3.9189
2.1481,-18.243,2,2,0.02721,0.028934,-0.0017242,0.082403,0,0,4.4188,3.9009
2.4202,-8.2428,4.8267,2,0.060652,0.030033,0.030619,0.083054,0,0,4.4629,3.8831
2.6715,1.7572,6,2,0.072809,0.031142,0.041667,0.083701,0,0,4.3468,3.8655
2.9142,11.757,3.4141,2,0.039059,0.032259,0.0068005,0.084344,0,0,4.2497,3.8481
3.143,21.757,2,2,0.022122,0.033385,-0.011263,0.084982,0,0,4.2412,3.8309
3.3642,31.757,2.7726,2,0.030765,0.03452,-0.003755,0.085617,0,0,4.1849,3.814
3.5862,41.757,4,2,0.044607,0.035664,0.0089436,0.086248,0,0,3.9572,3.7972
3.8092,51.757,4,2,0.044659,0.036817,0.0078419,0.086875,0,0,3.8613,3.7806
4.0325,61.757,4,2,0.044962,0.037979,0.0069835,0.087499,0,0,3.8419,3.7642
4.2573,71.757,4,2,0.044962,0.03915,0.0058124,0.088119,0,0,3.7691,3.748
4.4821,81.757,3.0796,2,0.034861,0.04033,-0.0054687,0.088737,0,0,3.7067,3.7319
4.7085,91.757,3,2,0.033981,0.041519,-0.0075379,0.089351,0,0,3.6489,3.7161
4.9351,101.76,3.7133,2,0.042284,0.042717,-0.00043348,0.089963,0,0,3.6162,3.7004
5.1628,111.76,4,2,0.045644,0.043924,0.0017201,0.090573,0,0,3.5709,3.6849
5.391,121.76,3.4775,2,0.039831,0.045141,-0.0053102,0.091181,0,0,3.5966,3.6695
5.6201,131.76,3,2,0.034478,0.046366,-0.011888,0.091787,0,0,3.5896,3.6543
5.8499,141.76,4.3887,2,0.050558,0.047601,0.0029576,0.092391,0,0,3.6051,3.6393
