cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-57,2,3,0.024262,0.0078559,0.016406,0.0018777,0,0,6.154,0.92541
0.5459,-42,1.7046,3,0.026982,0.0075273,0.019455,0.0020735,1,0.51056,6.1532,0.89925
1.2582,-27,0.27664,3,0.0045534,0.0072063,-0.0026529,0.0022716,0,0,6.1546,0.84713
1.9989,-12,0,3,0,0.0068922,-0.0068922,0.0024723,0,0,6.1585,0.7953
2.4127,3,0.78892,3,0.0060935,0.0065844,-0.00049093,0.0026754,0,0,6.1649,0.73654
2.7603,18,1,3,0.0067564,0.0062824,0.00047398,0.0028808,0,0,6.1741,0.6555
3.0643,33,1,3,0.0052271,0.0059857,-0.00075854,0.0030887,0,0,6.1862,0.63001
3.2996,48,0.8521,3,0.0044997,0.0056936,-0.0011939,0.0032988,0,0,6.2013,0.59057
3.5372,63,0,3,0,0.0054057,-0.0054057,0.003511,0,0,6.2195,0.7436
3.7888,78,0.16022,3,0.00089566,0.0051214,-0.0042257,0.0037253,0,0,6.241,0.78034
4.0403,93,1,3,0.0055902,0.0048402,0.00074999,0.0039415,0,0,6.2656,0.82066
4.2919,108,0.82737,3,0.0046252,0.0045619,6.33E-05,0.0041595,0,0,6.2936,0.85753
4.5434,123,0,3,0,0.0042861,-0.0042861,0.0043789,0,0,6.325,0.88589
4.795,138,0,3,0,0.0040124,-0.0040124,0.0045997,0,0,6.3596,0.98469
5.0466,153,0,3,0,0.0037408,-0.0037408,0.0048217,0,0,6.3975,0.97559
5.2982,168,0,3,0,0.0034713,-0.0034713,0.0050447,0,0,6.4385,0.98249
5.5498,183,0,3,0,0.0032041,-0.0032041,0.0052683,0,0,6.4825,0.9703
5.8014,198,0,3,0,0.0029396,-0.0029396,0.0054924,0,0,6.5292,0.94399
6.0531,213,0,3,0,0.0026788,-0.0026788,0.0057168,0,0,6.5781,0.75178
6.3047,228,0,3,0,0.0024229,-0.0024229,0.0059413,0,0,6.6287,0.39917
6.5564,243,0,3,0,0.0021742,-0.0021742,0.0061657,0,0,6.6801,0.66608
6.8081,258,0.23747,3,0.0013283,0.0019359,-0.00060761,0.0063901,0,0,6.7315,0.32778
7.0598,273,1,3,0.0055942,0.0017142,0.00388,0.0066151,0,0,6.782,0.37725
7.3115,288,0.74869,3,0.0041886,0.0015194,0.0026692,0.0068425,0,0,6.8311,0.34267
7.5633,303,0,3,0,0.0013678,-0.0013678,0.0070762,0,0,6.8805,0.40706
7.8151,318,0,2.8672,0,0.0012746,-0.0012746,0.0073228,0,0,6.9352,0.10462
8.0669,333,0,2.5,0,0.0012889,-0.0012889,0.0075988,0,0,7.0401,0.34493
8.3187,348,0,2.6401,0,0.0013475,-0.0013475,0.0078815,0,0,7.1431,0.23605
8.5706,363,0,3,0,0.0014629,-0.0014629,0.0081715,0,0,7.2443,0.25569
8.8225,378,0,3,0,0.0016475,-0.0016475,0.0084692,0,0,7.3438,0.04234
9.0744,393,0,3,0,0.0019101,-0.0019101,0.0087749,0,0,7.442,0.050973
9.3264,408,0.31096,3,0.0017413,0.002512,-0.00077068,0.0090887,0,0,7.5394,0.042724
9.5784,423,1,3,0.005601,0.0029747,0.0026262,0.00941,0,0,7.6368,0.053995
9.8304,438,0.67283,2.6728,0.0037689,0.0035145,0.00025432,0.0097375,0,0,7.7348,0.20138
10.0825,453,0,2,0,0.0044564,-0.0044564,0.010069,0,0,7.8335,0.21651
10.3346,468,0,2.344,0,0.0051812,-0.0051812,0.010404,0,0,7.9327,0.11818
10.5868,483,0,3,0,0.0059962,-0.0059962,0.01074,0,0,8.0316,0.107
10.839,498,0,2.6386,0,0.0069025,-0.0069025,0.011075,0,0,8.1287,0.18312
11.0912,513,0,2,0,0.0078953,-0.0078953,0.011416,0,0,8.2217,0.21514
11.3435,528,0.3796,2.3796,0.0021285,0.00897,-0.0068415,0.011771,0,0,8.3075,0.21589
11.5958,543,1,3,0.0056085,0.010122,-0.0045131,0.012156,0,0,8.3831,0.24392
11.8482,558,0.60151,3,0.0033741,0.011335,-0.0079608,0.012587,0,0,8.4456,0.25179
12.1006,573,0,3,0,0.012582,-0.012582,0.01308,0,0,8.4924,0.34673
12.3531,588,0,3,0,0.013828,-0.013828,0.013651,0,0,8.522,0.40357
12.6056,603,0,3,0,0.015033,-0.015033,0.014313,0,0,8.5333,0.69475
12.8582,618,0.43865,3,0.0024626,0.01616,-0.013698,0.015076,0,0,8.5263,0.65736
13.1108,633,1,3,0.0056155,0.017185,-0.011569,0.015948,0,0,8.501,0.56573
13.3635,648,1.46,2.54,0.010784,0.0181,-0.0073162,0.016933,0,0,8.4581,0.76829
13.6163,663,2,2,0.016854,0.018922,-0.0020674,0.018031,0,0,8.3991,0.90958
13.8691,678,3.929,2.4823,0.024988,0.019675,0.0053136,0.01924,0,0,8.3257,0.85064
14.122,693,6,3,0.033725,0.020378,0.013347,0.020558,0,0,8.2406,0.9147
14.3749,708,6,3,0.033733,0.021041,0.012693,0.021981,0,0,8.147,0.93383
14.6279,723,6,3,0.033742,0.02167,0.012072,0.023517,0,0,8.0483,0.89952
14.881,738,8.1187,4.589,0.030769,0.021846,0.0089231,0.025214,0,0,7.9476,0.91633
15.1341,753,14.3373,4.3735,0.06779,0.022429,0.045361,0.027098,0,0,7.8478,0.94471
15.3873,768,13.0058,2.4451,0.087253,0.022999,0.064254,0.029175,0,0,7.7513,0.95439
15.6406,783,27.174,2.5679,0.16393,0.023548,0.14038,0.031428,0,0,7.6598,0.91153
15.8939,798,21.8192,2.4188,0.13596,0.024066,0.1119,0.033832,1,4.3265,7.5738,0.86567
16.1473,813,8,2.5948,0.054194,0.024555,0.029639,0.03635,0,0,7.4938,0.87073
16.4008,828,11.0434,3,0.062226,0.025021,0.037205,0.038944,0,0,7.4201,0.6176
16.6544,843,21.7197,3,0.12242,0.025015,0.097406,0.041573,0,0,7.3535,0.70224
16.908,858,12.9795,2.3627,0.082163,0.025067,0.057097,0.0442,1,1.0997,7.2943,0.18573
17.1617,873,3.6959,2.6521,0.025751,0.025166,0.00058472,0.04679,0,0,7.2429,0.094948
17.4155,888,2.3329,3,0.013161,0.025295,-0.012134,0.049311,0,0,7.1999,0.1127
17.6694,903,6.7775,2.3175,0.055582,0.025441,0.030141,0.051749,0,0,7.1657,0.12485
17.9233,918,8.3018,2.3491,0.060841,0.025812,0.03503,0.054142,0,0,7.1399,0.19573
18.1774,933,3.0005,2.1429,0.021544,0.026128,-0.0045838,0.056509,0,0,7.122,0.24344
18.4315,948,1.7306,2.7306,0.010538,0.026386,-0.015848,0.058851,0,0,7.1125,0.21733
18.6857,963,2.7472,3,0.015525,0.026589,-0.011064,0.061153,0,0,7.1119,0.36921
18.94,978,1.4715,3,0.0083186,0.026753,-0.018434,0.063389,0,0,7.1211,0.45792
19.1944,993,0.21835,3,0.0012349,0.026899,-0.025665,0.065534,0,0,7.1407,0.63356
19.4489,1008,0.79937,2.6003,0.0054269,0.027054,-0.021628,0.067561,0,0,7.1711,0.6956
19.7035,1023,4.2698,2.0913,0.035938,0.027244,0.0086938,0.069445,0,0,7.2124,0.70229
19.9582,1038,46.7945,2.8359,0.26726,0.027493,0.23977,0.071167,1,2.529,7.2638,0.83376
20.213,1053,11.4104,3,0.064627,0.027813,0.036814,0.072711,0,0,7.3242,0.74979
20.4679,1068,4,3,0.022664,0.0282,-0.0055351,0.074066,0,0,7.3922,0.67277
20.7228,1083,1.3197,3,0.0074805,0.028629,-0.021149,0.075225,0,0,7.4666,0.0067294
20.9779,1098,0.086619,3,0.00049119,0.029068,-0.028576,0.076181,0,0,7.5461,0.52028
21.2331,1113,14.0057,3,0.079454,0.02948,0.049974,0.076921,0,0,7.63,0.43222
21.4884,1128,1.6379,2.5228,0.010379,0.029842,-0.019463,0.077432,0,0,7.7175,0.4269
21.7438,1143,27.3403,2.9878,0.15526,0.030144,0.12511,0.07771,1,0.71108,7.808,0.45926
21.9993,1158,2.0565,3,0.011681,0.030392,-0.018711,0.077755,0,0,7.9007,0.28443
22.2549,1173,0.95861,3,0.0054475,0.030593,-0.025146,0.07759,0,0,7.995,0.35978
22.5106,1188,0.51339,3,0.0029187,0.030756,-0.027837,0.077281,0,0,8.0892,0.35028
22.7664,1203,8.2621,3,0.046993,0.030888,0.016105,0.076886,0,0,8.1823,0.32957
23.0224,1218,11.3331,3,0.064489,0.031005,0.033484,0.076441,0,0,8.2745,0.22834
23.2784,1233,19.809,3,0.11277,0.031122,0.081649,0.075964,0,0,8.3668,0.19583
23.5346,1248,55.5635,3,0.31647,0.031256,0.28521,0.075461,0,0,8.4606,0.21757
