cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-58.017,3.3602,2,0.42443,0.027726,0.39671,0.071773,0,0,7.5996,6.7004
2.5262,-48.017,1.157,2,0.12464,0.029088,0.095555,0.072708,0,0,7.7162,6.6841
4.6807,-38.017,5.5858,2,0.60019,0.03045,0.56974,0.073629,0,0,7.8247,6.6681
6.8297,-28.017,3.052,2,0.17328,0.031812,0.14146,0.074536,1,0,7.861,6.6525
7.9652,-18.017,0.038326,2,0.0012341,0.033174,-0.03194,0.075427,0,0,7.9726,6.6372
8.6092,-8.0174,0,2,0,0.034536,-0.034536,0.076303,0,0,7.7303,6.6222
9.1235,1.9826,0,2,0,0.035896,-0.035896,0.077164,0,0,7.6877,6.6075
9.5835,11.983,0,2,0,0.037254,-0.037254,0.078009,0,0,7.3616,6.5932
10.019,21.983,0,2,0,0.038611,-0.038611,0.078839,0,0,7.2171,6.5792
10.385,31.983,0,2,0,0.039965,-0.039965,0.079653,0,0,7.1234,6.5654
10.727,41.983,0,2,0,0.041317,-0.041317,0.080452,0,0,7.2103,6.552
11.357,51.983,0,1.0717,0,0.042666,-0.042666,0.081235,0,0,6.9848,6.5388
11.995,61.983,0,1.126,0,0.044012,-0.044012,0.082002,0,0,6.919,6.5259
12.6,71.983,6.3138,1.9468,0.14948,0.045355,0.10412,0.082755,1,0,6.9472,6.5133
13.073,81.983,1.9347,1.7039,0.052819,0.046695,0.0061231,0.083493,0,0,6.735,6.5008
13.619,91.983,1.3954,2,0.032268,0.048033,-0.015765,0.084216,0,0,6.1436,6.4886
14.082,101.98,3.0818,2,0.0685,0.049367,0.019133,0.084925,0,0,5.7794,6.4765
14.526,111.98,2.2554,2,0.054775,0.050698,0.0040767,0.08562,0,0,5.568,6.4646
15.012,121.98,0,1.7351,0,0.052025,-0.052025,0.086303,0,0,5.4746,6.4528
15.456,131.98,0.88741,1.9437,0.01931,0.053349,-0.034039,0.086973,0,0,5.2274,6.4412
15.891,141.98,2.0707,2,0.051144,0.054669,-0.0035251,0.087631,0,0,5.2552,6.4296
16.385,151.98,1.5462,1.6366,0.03158,0.055985,-0.024405,0.088278,0,0,5.3058,6.4181
16.739,161.98,5.0184,1.9825,0.12702,0.057298,0.069721,0.088914,0,0,5.2659,6.4067
17.244,171.98,6.3571,2,0.18679,0.058607,0.12819,0.089541,0,0,5.2967,6.3953
17.831,181.98,8.6582,2,0.36142,0.059911,0.30151,0.090158,1,0,5.4329,6.3839
18.666,191.98,1.8719,2,0.074965,0.061212,0.013753,0.090767,0,0,5.4712,6.3726
19.467,201.98,0.61553,1.7125,0.019943,0.062508,-0.042564,0.091367,0,0,5.4955,6.3612
20.115,211.98,2.4487,2,0.085904,0.063799,0.022105,0.09196,0,0,5.7339,6.3498
20.817,221.98,0.53198,2,0.012831,0.065085,-0.052254,0.092546,0,0,5.558,6.3384
21.299,231.98,0,2,0,0.066365,-0.066365,0.093126,0,0,5.5765,6.327
21.743,241.98,0,2,0,0.067639,-0.067639,0.0937,0,0,5.6277,6.3155
22.092,251.98,3.8837,2,0.084871,0.068907,0.015964,0.094269,0,0,5.6795,6.304
22.529,261.98,14.15,2,0.30874,0.070169,0.23857,0.094834,0,0,5.633,6.2924
22.965,271.98,24.372,2,0.60723,0.071424,0.53581,0.095394,0,0,5.6089,6.2808
23.464,281.98,12.289,1.7018,0.36652,0.072673,0.29384,0.095951,0,0,5.5987,6.2692
23.984,291.98,15.719,1.0201,0.40004,0.073914,0.32612,0.096505,1,0,5.6172,6.2575
24.241,301.98,1.1429,1.9629,0.045528,0.075148,-0.02962,0.097057,0,0,5.6582,6.2458
24.765,311.98,0.9068,1.9114,0.024242,0.076374,-0.052132,0.097607,0,0,5.7977,6.234
25.3,321.98,0,1.6437,0,0.077592,-0.077592,0.098156,0,0,6.4135,6.2223
25.594,331.98,0.52556,2,0.0096022,0.078801,-0.069199,0.098704,0,0,6.2668,6.2107
25.96,341.98,0.98123,2,0.014527,0.08,-0.065473,0.099251,0,0,6.125,6.1991
26.256,351.98,0,2,0,0.081191,-0.081191,0.099797,0,0,6.1515,6.1877
26.576,361.98,0,2,0,0.082373,-0.082373,0.10034,0,0,6.1954,6.1765
26.986,371.98,4.4255,2,0.12448,0.083547,0.040937,0.10088,0,0,6.2106,6.1657
27.549,381.98,1.4829,2,0.031587,0.084713,-0.053126,0.10142,0,0,6.2167,6.1554
27.975,391.98,0.75229,2,0.020673,0.085873,-0.0652,0.10195,0,0,6.2647,6.1459
28.524,401.98,4.2671,2,0.11858,0.087028,0.031549,0.10245,0,0,6.2825,6.1375
29.08,411.98,6.5458,2,0.21083,0.088181,0.12265,0.10292,0,0,6.2691,6.1307
29.724,421.98,10.122,2,0.4466,0.089332,0.35727,0.10333,0,0,6.2717,6.1259
30.607,431.98,17.477,2,0.32299,0.090483,0.23251,0.10366,1,0,6.228,6.124
30.976,441.98,7.294,2,0.11207,0.091634,0.02044,0.10388,0,0,6.2664,6.1255
31.284,451.98,4.5159,2,0.064587,0.092781,-0.028194,0.10363,0,0,6.2084,6.1288
31.57,461.98,2.3086,2,0.051294,0.093915,-0.042621,0.10335,0,0,6.4152,6.1326
32.014,471.98,1.0087,2,0.02915,0.09441,-0.06526,0.10302,0,0,6.3177,6.1368
32.592,481.98,2.3164,2,0.059927,0.094854,-0.034927,0.10267,0,0,6.4674,6.1413
33.109,491.98,5.1388,2,0.13272,0.095846,0.036874,0.10228,0,0,6.4678,6.1459
33.626,501.98,1,2,0.016233,0.096178,-0.079946,0.10187,0,0,6.4331,6.1505
33.951,511.98,6.4248,2,0.1476,0.09646,0.051142,0.10144,0,0,6.4085,6.1551
