cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-58.144,1.7728,2,0.21359,0.16905,0.044539,0.053177,0,0,3.2168,2.8271
2.4097,-48.144,4.1714,2,0.22532,0.1678,0.057513,0.054819,0,0,3.2551,2.8518
3.49,-38.144,9.3641,2,0.37508,0.16658,0.2085,0.056462,1,0,3.1413,2.8768
4.2911,-28.144,4,2,0.13834,0.16538,-0.027033,0.058106,0,0,3.4202,2.902
4.9828,-18.144,9.3792,2,0.28871,0.1642,0.12451,0.059753,0,0,3.5598,2.9274
5.5984,-8.1445,10.138,2,0.29064,0.16305,0.12759,0.061402,1,0,3.6378,2.9531
6.1718,1.8555,7.6285,2,0.20799,0.16192,0.046069,0.063052,0,0,3.4694,2.979
6.7171,11.856,7.1829,2,0.18932,0.16081,0.028505,0.064704,0,0,3.3755,3.0052
7.2442,21.856,13.15,2,0.33976,0.15973,0.18002,0.066358,0,0,3.421,3.0316
7.761,31.856,12.381,2,0.30092,0.15868,0.14225,0.068013,1,0,3.4425,3.0583
8.2471,41.856,9.4354,2,0.21872,0.15764,0.061079,0.069669,0,0,3.4254,3.0852
8.7107,51.856,14.488,2,0.33581,0.15663,0.17918,0.071327,0,0,3.3311,3.1124
9.1743,61.856,10.24,2,0.2356,0.15564,0.079961,0.072986,1,0,3.3692,3.1398
9.6344,71.856,4.9892,2,0.11431,0.15467,-0.040358,0.074646,0,0,3.4095,3.1675
10.093,81.856,1.2219,2,0.028005,0.15371,-0.1257,0.076306,0,0,3.4177,3.1954
10.551,91.856,2.9539,2,0.067879,0.15277,-0.084891,0.077967,0,0,3.4385,3.2235
11.011,101.86,1,2,0.022979,0.15184,-0.12887,0.079629,0,0,3.4608,3.2519
11.47,111.86,2.8702,2,0.065588,0.15093,-0.085344,0.081291,0,0,3.4906,3.2805
11.927,121.86,0.47804,2,0.010707,0.15003,-0.13933,0.082953,0,0,3.2943,3.3094
12.375,131.86,2.1605,2,0.048206,0.14914,-0.10094,0.084615,0,0,3.1942,3.3384
12.821,141.86,2.4003,2,0.053649,0.14826,-0.094612,0.086277,0,0,3.2241,3.3677
13.268,151.86,1.035,2,0.023359,0.14739,-0.12403,0.087938,0,0,3.2507,3.3972
13.72,161.86,2.6936,2,0.061346,0.14652,-0.085178,0.089598,0,0,3.2801,3.4269
14.175,171.86,8.4355,2,0.19115,0.14567,0.045489,0.091258,0,0,3.1623,3.4567
14.628,181.86,10.131,2,0.22763,0.14481,0.082812,0.092915,0,0,3.1927,3.4868
15.078,191.86,3.9,2,0.088838,0.14397,-0.05513,0.094571,0,0,3.1881,3.517
15.533,201.86,4.5651,1.7391,0.1264,0.14313,-0.016726,0.096225,0,0,3.1853,3.5474
15.984,211.86,2.385,1.7014,0.058813,0.14229,-0.083477,0.097876,0,0,3.2138,3.5779
16.429,221.86,4.0208,2,0.090255,0.14146,-0.051202,0.099524,0,0,3.2484,3.6086
16.878,231.86,5.1013,2,0.11438,0.14063,-0.026251,0.10117,0,0,3.0511,3.6395
17.327,241.86,3.4975,2,0.078278,0.1398,-0.061522,0.10281,0,0,3.0757,3.6704
17.774,251.86,3.0296,2,0.067987,0.13897,-0.070987,0.10445,0,0,3.0915,3.7015
18.223,261.86,5.6578,2,0.12753,0.13815,-0.010617,0.10608,0,0,3.093,3.7327
18.674,271.86,1.0611,2,0.024015,0.13733,-0.11332,0.10771,0,0,3.0923,3.764
19.127,281.86,2.7519,2,0.063334,0.13651,-0.073179,0.10934,0,0,3.1173,3.7953
19.587,291.86,9.0828,2,0.21273,0.1357,0.077031,0.11096,0,0,3.1265,3.8268
20.055,301.86,22.535,2,0.53586,0.13489,0.40097,0.11257,0,0,3.245,3.8583
20.531,311.86,12.616,2,0.30612,0.13408,0.17204,0.11419,1,0,3.6304,3.8899
21.016,321.86,3.4304,2,0.081749,0.13328,-0.051531,0.11579,0,0,3.684,3.9215
21.493,331.86,3.3796,2,0.08201,0.13249,-0.050477,0.1174,0,0,3.6733,3.9532
21.978,341.86,4.1671,2,0.10263,0.1317,-0.029068,0.11901,0,0,3.6334,3.985
22.471,351.86,0.54646,2,0.013306,0.13093,-0.11762,0.12061,0,0,3.5897,4.0168
22.958,361.86,0.087269,2,0.0021118,0.13017,-0.12806,0.12221,0,0,3.6139,4.0486
23.442,371.86,0,2,0,0.12943,-0.12943,0.12381,0,0,3.6357,4.0806
23.926,381.86,0.31978,2,0.0075439,0.12871,-0.12117,0.12542,0,0,3.6218,4.1126
24.398,391.86,5.8829,2,0.13747,0.12803,0.0094364,0.12703,0,0,4.1156,4.1449
24.866,401.86,10.902,2,0.25744,0.1274,0.13004,0.12865,1,0,4.1924,4.1775
25.338,411.86,5.833,2,0.13764,0.12684,0.010796,0.13028,0,0,4.1009,4.2107
25.81,421.86,4.2741,2,0.099954,0.12638,-0.026427,0.13194,0,0,4.0628,4.2448
26.278,431.86,2,2,0.046148,0.12605,-0.079904,0.13362,0,0,4.2098,4.2803
26.739,441.86,1.469,2,0.034374,0.1259,-0.091523,0.13535,0,0,4.2307,4.3175
27.207,451.86,1.0923,2,0.025346,0.12596,-0.10061,0.13713,0,0,4.3435,4.3636
27.671,461.86,7.91,2,0.1863,0.1266,0.059702,0.13892,0,0,4.4772,4.4102
28.142,471.86,21.346,2,0.51802,0.12735,0.39067,0.14071,0,0,4.4149,4.4571
28.628,481.86,17.198,2,0.43398,0.12821,0.30577,0.1425,0,0,4.2227,4.5044
29.132,491.86,15.156,2,0.39541,0.12917,0.26624,0.14428,1,0,4.3547,4.5519
29.654,501.86,8.1085,2,0.21396,0.13023,0.083737,0.14605,0,0,4.4945,4.5995
30.182,511.86,6.4667,2,0.1946,0.13137,0.063238,0.1478,0,0,4.4914,4.6471
30.784,521.86,2,2,0.066891,0.13258,-0.06569,0.14953,0,0,4.314,4.6947
31.453,531.86,4.2698,2,0.12432,0.13386,-0.0095406,0.15124,0,0,4.296,4.7422
