cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-57.972,31,2,0.73744,0.072345,0.66509,0.077512,0,0,8.5668,5.5582
0.47577,-47.972,8.2224,2,0.21043,0.071611,0.13882,0.07802,1,0,8.6276,5.7811
0.98762,-37.972,3.2857,2,0.095526,0.070884,0.024641,0.078528,0,0,8.7256,6.0046
1.5691,-27.972,14.872,2,0.4168,0.070164,0.34663,0.079037,1,0,8.8169,6.2287
2.1296,-17.972,4.0506,2,0.098287,0.069451,0.028837,0.079546,0,0,8.9125,6.4533
2.6149,-7.9719,6.8802,2,0.14857,0.068744,0.079822,0.080057,0,0,8.7766,6.6784
3.0468,2.0281,6,2,0.11715,0.068044,0.049102,0.080569,0,0,8.6556,6.9041
3.4373,12.028,4.3213,2,0.076792,0.067351,0.0094409,0.081083,0,0,8.4585,7.1302
3.7927,22.028,4.4054,2,0.073765,0.066664,0.007101,0.081598,0,0,8.3215,7.3568
4.1276,32.028,5,2,0.078658,0.065983,0.012674,0.082116,0,0,8.269,7.5838
4.4422,42.028,5,2,0.07577,0.065309,0.010461,0.082637,0,0,8.3277,7.8111
4.7453,52.028,5.3045,2,0.076127,0.06464,0.011486,0.08316,0,0,8.3751,8.0388
5.0323,62.028,7,2,0.074239,0.063977,0.010262,0.083687,0,0,8.347,8.2667
5.2444,72.028,7,2,0.074239,0.063319,0.01092,0.084218,0,0,7.4868,8.4948
5.4565,82.028,5.41,2,0.068386,0.062666,0.0057199,0.084753,0,0,6.8466,8.7231
5.7093,92.028,5,2,0.065827,0.062018,0.0038094,0.085292,0,0,6.3619,8.9516
5.9726,102.03,5,2,0.060313,0.061374,-0.0010608,0.085836,0,0,9.018,9.1801
6.2139,112.03,5,2,0.059673,0.060734,-0.0010602,0.086386,0,0,9.0501,9.4086
6.4526,122.03,11.411,2,0.14994,0.060097,0.089842,0.086941,0,0,9.0842,9.6371
6.7154,132.03,13,2,0.1747,0.059464,0.11524,0.087502,1,0,9.12,9.8655
6.9842,142.03,2.6482,2,0.025677,0.058834,-0.033157,0.088069,0,0,9.1575,10.094
7.1781,152.03,2,2,0.018923,0.058206,-0.039282,0.088642,0,0,9.1964,10.322
7.3673,162.03,1.4024,2,0.014295,0.05758,-0.043285,0.089221,0,0,9.2365,10.55
7.5712,172.03,0,2,0,0.056955,-0.056955,0.089806,0,0,9.2779,10.777
7.8094,182.03,0.59949,2,0.0069394,0.056331,-0.049392,0.090398,0,0,9.348,11.004
8.0409,192.03,3,2,0.030703,0.055708,-0.025005,0.090995,0,0,9.4169,11.231
8.2456,202.03,3,2,0.030703,0.055086,-0.024383,0.091598,0,0,9.489,11.458
8.4503,212.03,1.4859,2,0.015024,0.054464,-0.039439,0.092207,0,0,9.5559,11.683
8.6525,222.03,1,2,0.010072,0.053841,-0.043769,0.092821,0,0,9.6227,11.909
8.8539,232.03,1,2,0.010036,0.053219,-0.043183,0.09344,0,0,9.5801,12.133
9.0547,242.03,1,2,0.0099404,0.052596,-0.042656,0.094064,0,0,11.664,12.358
9.2535,252.03,1,2,0.0099404,0.051973,-0.042032,0.094692,0,0,10.935,12.581
9.4523,262.03,0.24008,2,0.0029713,0.051349,-0.048378,0.095323,0,0,9.8007,12.804
9.6998,272.03,0,2,0,0.050725,-0.050725,0.095956,0,0,8.9823,13.026
9.9627,282.03,0,2,0,0.050101,-0.050101,0.096591,0,0,8.0876,13.247
10.245,292.03,0.52472,2,0.0075574,0.049478,-0.04192,0.097227,0,0,7.4026,13.468
10.533,302.03,5,2,0.078123,0.048855,0.029269,0.097862,0,0,8.1192,13.688
10.845,312.03,3.4853,2,0.051864,0.048233,0.0036307,0.098496,0,0,9.1099,13.907
11.143,322.03,2,2,0.028303,0.047613,-0.01931,0.099127,0,0,11.169,14.126
11.426,332.03,5.6915,2,0.071238,0.046996,0.024242,0.099753,0,0,13.053,14.344
11.676,342.03,7,2,0.08356,0.046382,0.037177,0.10037,0,0,16.092,14.562
11.915,352.03,4.424,2,0.050342,0.045773,0.0045682,0.10099,0,0,17.966,14.78
12.143,362.03,3,2,0.033212,0.04517,-0.011958,0.10159,0,0,17.918,14.999
12.364,372.03,2.2285,2,0.022995,0.044574,-0.021579,0.10218,0,0,18.445,15.217
12.57,382.03,1,2,0.0091212,0.043986,-0.034865,0.10275,0,0,20.634,15.437
12.753,392.03,1,2,0.0091212,0.043408,-0.034287,0.1033,0,0,20.83,15.659
12.935,402.03,4.2245,2,0.038631,0.042843,-0.0042119,0.10383,0,0,20.446,15.882
13.118,412.03,6,2,0.054944,0.042292,0.012652,0.10433,0,0,19.129,16.109
13.301,422.03,6,2,0.054944,0.041759,0.013186,0.1048,0,0,18.423,16.341
13.484,432.03,6,2,0.049971,0.041245,0.008726,0.10523,0,0,17.806,16.578
13.651,442.03,6,2,0.049509,0.040756,0.0087527,0.10563,0,0,17.921,16.822
13.816,452.03,6,2,0.049509,0.040294,0.0092148,0.10633,0,0,18.403,17.036
13.981,462.03,2.4597,2,0.021507,0.039863,-0.018356,0.10703,0,0,19.373,17.247
14.156,472.03,2,2,0.017615,0.039468,-0.021853,0.10774,0,0,19.366,17.455
14.332,482.03,2.3264,2,0.020453,0.039113,-0.01866,0.10849,0,0,20.248,17.66
14.508,492.03,9,2,0.076195,0.038802,0.037392,0.10935,0,0,20.249,17.861
14.677,502.03,9,2,0.076195,0.03854,0.037654,0.11038,0,0,20.431,18.057
14.847,512.03,8.438,2,0.086387,0.038329,0.048058,0.11166,0,0,20.489,18.248
15.051,522.03,3,2,0.082146,0.038169,0.043977,0.11324,0,0,20.479,18.434
15.599,532.03,2.7324,2,0.072191,0.038056,0.034134,0.11515,0,0,20.47,18.614
16.127,542.03,2,2,0.047581,0.037591,0.0099897,0.1174,0,0,20.458,18.787
16.603,552.03,2,2,0.050945,0.037119,0.013826,0.12,0,0,20.45,18.954
17.113,562.03,2,2,0.067853,0.036656,0.031197,0.12295,0,0,20.397,19.114
17.791,572.03,6.8453,2,0.15321,0.036213,0.117,0.12624,0,0,20.381,19.267
18.239,582.03,9,2,0.15524,0.035793,0.11944,0.12984,0,0,20.372,19.411
18.584,592.03,9,2,0.15524,0.035397,0.11984,0.13374,0,0,20.372,19.548
18.929,602.03,17.441,2,0.97844,0.035021,0.94342,0.13791,1,0,20.37,19.676
20.051,612.03,0,2,0,0.034663,-0.034663,0.14231,0,0,20.353,19.795
20.265,622.03,0,2,0,0.03432,-0.03432,0.14883,0,0,20.223,19.831
20.479,632.03,0,2,0,0.033987,-0.033987,0.15518,0,0,21.332,19.858
20.693,642.03,0,2,0,0.033662,-0.033662,0.16128,0,0,22.554,19.879
20.907,652.03,0,2,0,0.033344,-0.033344,0.16709,0,0,22.465,19.895
21.218,662.03,0,2,0,0.033031,-0.033031,0.17263,0,0,22.397,19.909
21.605,672.03,0,2,0,0.032721,-0.032721,0.17791,0,0,22.345,19.921
21.992,682.03,1.9611,2,0.036503,0.032414,0.0040892,0.18299,0,0,22.359,19.931
22.365,692.03,2,2,0.037197,0.032108,0.0050893,0.18789,0,0,22.339,19.941
22.737,702.03,1.7078,2,0.030367,0.031803,-0.0014355,0.19263,0,0,22.23,19.951
23.092,712.03,1,2,0.015802,0.031498,-0.015696,0.19725,0,0,22.118,19.959
23.408,722.03,1,2,0.015802,0.031193,-0.015391,0.20176,0,0,22.059,19.967
23.724,732.03,4.0726,2,0.076932,0.030888,0.046044,0.20619,0,0,22.02,19.975
24.102,742.03,25,2,0.99804,0.030581,0.96746,0.21055,0,0,21.981,19.982
24.901,752.03,13.618,2,0.26336,0.030274,0.23308,0.21485,1,0,21.942,19.988
25.287,762.03,12,2,0.19698,0.029966,0.16701,0.21911,0,0,21.904,19.993
25.616,772.03,12,2,0.19698,0.029656,0.16732,0.22333,0,0,21.901,19.998
25.944,782.03,10.341,2,0.23218,0.029344,0.20283,0.22753,0,0,21.918,20.002
26.393,792.03,10,2,0.23693,0.029031,0.2079,0.23172,0,0,21.938,20.005
26.867,802.03,12.123,1.6919,0.83948,0.028716,0.81077,0.2359,0,0,21.917,20.007
28.005,812.03,12.689,1.3801,1.0808,0.028398,1.0524,0.24008,0,0,21.745,20.009
29.159,822.03,17.158,1.685,1.8755,0.028079,1.8475,0.24426,0,0,21.571,20.009
30.968,832.03,15.438,1.6848,1.9914,0.027758,1.9636,0.24846,0,0,21.448,20.008
33.226,842.03,11.366,1.6764,3.0791,0.027434,3.0517,0.25267,0,0,21.265,20.007
37.238,852.03,10.263,1.3683,2.4861,0.027108,2.459,0.2569,0,0,21.097,20.004
40.459,862.03,13.518,1.662,1.0339,0.02678,1.0071,0.26115,0,0,20.915,20.001
41.692,872.03,16.04,1.3911,1.5606,0.026449,1.5342,0.26542,0,0,20.763,19.996
43.008,882.03,30.59,1.1217,3.2566,0.026116,3.2304,0.26972,0,0,20.64,19.99
44.214,892.03,24,1.4216,1.4332,0.025781,1.4074,0.27404,0,0,20.575,19.983
45.045,902.03,19.644,1.1967,0.81784,0.025443,0.7924,0.27839,1,0,20.509,19.976
45.5,912.03,14,1,0.22903,0.025103,0.20392,0.28277,0,0,20.336,19.967
45.664,922.03,18.271,1,0.34595,0.024761,0.32119,0.28719,0,0,20.135,19.956
45.853,932.03,15.806,1.327,0.37313,0.024416,0.34872,0.29164,1,0,19.932,19.945
46.092,942.03,1.4377,1.7812,0.019926,0.024069,-0.004143,0.29614,0,0,19.73,19.933
46.322,952.03,2,1.5,0.022041,0.02372,-0.0016784,0.30067,0,0,19.527,19.919
46.488,962.03,4.7761,1.9627,0.010593,0.023368,-0.012775,0.30525,0,0,19.321,19.904
46.532,972.03,5,2,0.0085273,0.023015,-0.014487,0.30987,0,0,19.177,19.888
46.566,982.03,5,2,0.0085273,0.022659,-0.014131,0.31454,0,0,19.047,19.871
46.6,992.03,5,2,0.0085273,0.022301,-0.013773,0.31925,0,0,18.904,19.852
46.634,1002,5,2,0.0085273,0.021941,-0.013413,0.324,0,0,18.687,19.833
46.668,1012,5,2,0.0085273,0.021579,-0.013051,0.32879,0,0,18.467,19.812
46.702,1022,5,2,0.0085273,0.021215,-0.012688,0.3336,0,0,18.262,19.79
46.736,1032,2.6161,2,0.0095738,0.02085,-0.011276,0.33843,0,0,18.047,19.766
46.809,1042,1,2,0.0049843,0.020483,-0.015499,0.34328,0,0,17.815,19.742
46.909,1052,1.4406,2,0.0078759,0.020115,-0.012239,0.34814,0,0,17.581,19.716
47.018,1062,6,2,0.062779,0.019746,0.043033,0.35301,0,0,17.34,19.689
47.228,1072,6,2,0.045678,0.019376,0.026303,0.35788,0,0,17.096,19.661
47.38,1082,5.4756,2,0.040474,0.019005,0.02147,0.36276,0,0,17.218,19.632
47.528,1092,3,2,0.023855,0.018633,0.0052221,0.36764,0,0,17.391,19.602
47.687,1102,5.4112,1.3972,0.030418,0.018261,0.012157,0.37252,0,0,17.608,19.57
NaN,1112,6.1691,0.8813,0,0.017888,-0.017888,0.37739,0,0,17.98,19.538
