cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-58.072,0,2,0,0.15844,-0.15844,0.13222,0,0,4.8452,4.8166
1.2616,-48.072,0,2,0,0.15763,-0.15763,0.13264,0,0,4.8123,4.8358
1.9465,-38.072,0.9149,2,0.024934,0.15682,-0.13189,0.13307,0,0,4.8048,4.855
2.4915,-28.072,7.8897,2,0.19423,0.15601,0.03822,0.1335,0,0,4.8626,4.8742
2.9839,-18.072,1.2291,2,0.02866,0.15521,-0.12655,0.13392,0,0,4.9031,4.8934
3.4502,-8.0724,1,2,0.021372,0.1544,-0.13303,0.13435,0,0,4.9481,4.9125
3.8777,1.9276,1.7108,2,0.032894,0.15359,-0.1207,0.13477,0,0,4.9918,4.9316
4.2622,11.928,3.0667,2,0.053851,0.15278,-0.09893,0.13519,0,0,5.0025,4.9506
4.6134,21.928,5,2,0.079758,0.15197,-0.072214,0.13562,0,0,4.9782,4.9696
4.9325,31.928,11.307,2,0.16299,0.15116,0.011824,0.13604,0,0,4.9706,4.9885
5.2208,41.928,12.988,2,0.18184,0.15035,0.031484,0.13646,0,0,5.0124,5.0074
5.5008,51.928,9,2,0.11825,0.14954,-0.031293,0.13689,0,0,4.9734,5.0262
5.7636,61.928,9.1002,2,0.122,0.14873,-0.026732,0.13731,0,0,4.9651,5.045
6.0317,71.928,10,2,0.15807,0.14792,0.010153,0.13773,0,0,4.905,5.0637
6.3478,81.928,8.444,2,0.14075,0.14711,-0.0063542,0.13815,0,0,4.9209,5.0824
6.6812,91.928,6.7374,2,0.12088,0.1463,-0.025416,0.13858,0,0,4.968,5.1009
7.04,101.93,4,2,0.091477,0.14548,-0.054005,0.139,0,0,5.0141,5.1194
7.4974,111.93,5.4344,2,0.16982,0.14467,0.025156,0.13942,0,0,5.0487,5.1379
8.1224,121.93,6.3569,2,0.16646,0.14385,0.022611,0.13985,0,0,5.0937,5.1562
8.6462,131.93,4.3353,2,0.10406,0.14304,-0.038977,0.14027,0,0,5.1313,5.1745
9.1262,141.93,1.6561,2,0.055542,0.14222,-0.086679,0.1407,0,0,5.1764,5.1927
9.797,151.93,4.8244,2,0.1248,0.1414,-0.016601,0.14112,0,0,5.2191,5.2108
10.314,161.93,10.934,2,0.18842,0.14059,0.047832,0.14154,0,0,5.2631,5.2288
10.659,171.93,15,2,0.21749,0.13977,0.077724,0.14197,0,0,5.2322,5.2467
10.949,181.93,7.5836,2,0.11837,0.13895,-0.020574,0.14239,0,0,5.2753,5.2645
11.261,191.93,6.9855,2,0.11192,0.13813,-0.026212,0.14282,0,0,5.3096,5.2822
11.582,201.93,10,2,0.16557,0.13731,0.028259,0.14324,0,0,5.2022,5.2999
11.913,211.93,3.3723,2,0.053609,0.13649,-0.082878,0.14367,0,0,5.2273,5.3174
12.231,221.93,1.2801,2,0.019881,0.13566,-0.11578,0.14409,0,0,5.2633,5.3348
12.541,231.93,3,2,0.044189,0.13484,-0.090653,0.14451,0,0,5.3028,5.3521
12.836,241.93,4.7712,2,0.079453,0.13402,-0.054566,0.14493,0,0,5.3293,5.3693
13.169,251.93,10.564,2,0.19806,0.13319,0.064865,0.14536,0,0,5.3539,5.3864
13.544,261.93,34,2,0.56504,0.13237,0.43267,0.14578,0,0,5.2348,5.4034
13.876,271.93,41.532,2,0.64816,0.13155,0.51661,0.1462,0,0,5.058,5.4203
14.188,281.93,46,2,0.69026,0.13072,0.55954,0.14662,0,0,5.3611,5.437
14.488,291.93,21.959,2,0.32485,0.12989,0.19496,0.14704,1,0,5.3148,5.4537
14.784,301.93,16.127,2,0.2369,0.12907,0.10783,0.14746,0,0,5.3505,5.4702
15.078,311.93,2.5953,2,0.037481,0.12824,-0.090761,0.14788,0,0,5.3874,5.4866
15.367,321.93,2.5399,2,0.03657,0.12741,-0.090845,0.1483,0,0,5.4241,5.503
15.655,331.93,9.0194,2,0.13031,0.12659,0.0037184,0.14871,0,0,5.4602,5.5192
15.944,341.93,13.613,2,0.19616,0.12576,0.070402,0.14913,0,0,5.4742,5.5354
16.232,351.93,22.07,2,0.32672,0.12493,0.20179,0.14954,1,0,5.2308,5.5514
16.528,361.93,16.291,2,0.24497,0.12411,0.12086,0.14995,0,0,6.2047,5.5675
16.829,371.93,6.9364,2,0.10108,0.12328,-0.022196,0.15036,0,0,6.1637,5.5835
17.12,381.93,4,2,0.057274,0.12245,-0.06518,0.15077,0,0,6.2025,5.5995
17.407,391.93,1.9916,2,0.028602,0.12163,-0.093026,0.15117,0,0,6.2415,5.6154
17.694,401.93,4.2264,2,0.062583,0.1208,-0.058219,0.15157,0,0,5.8942,5.6314
17.99,411.93,27.029,2,0.48509,0.11998,0.36511,0.15196,0,0,5.9029,5.6474
18.349,421.93,18.728,2,0.29321,0.11915,0.17406,0.15235,1,0,5.9132,5.6634
18.662,431.93,16.422,2,0.25274,0.11833,0.13441,0.15272,0,0,5.6326,5.6793
18.97,441.93,8.2047,2,0.12214,0.11751,0.0046316,0.1531,0,0,5.5837,5.6951
19.268,451.93,11.459,2,0.17178,0.11668,0.055091,0.15342,0,0,5.7138,5.7042
19.568,461.93,10.726,2,0.15868,0.11586,0.042819,0.15372,0,0,5.8679,5.7129
19.863,471.93,5.9132,2,0.088909,0.11505,-0.026137,0.154,0,0,5.9576,5.7211
20.164,481.93,7.8623,2,0.118,0.11423,0.0037656,0.15427,0,0,5.9773,5.729
20.464,491.93,7.2387,2,0.11101,0.11342,-0.0024123,0.15451,0,0,6.0916,5.7364
20.771,501.93,7.2558,2,0.1114,0.11261,-0.0012099,0.15472,0,0,6.2329,5.7436
21.078,511.93,9.3086,2,0.14254,0.1118,0.030744,0.15492,0,0,6.3554,5.7505
21.384,521.93,11,2,0.16562,0.11099,0.054622,0.15508,0,0,6.3136,5.7571
21.685,531.93,10.217,2,0.15608,0.11019,0.04589,0.15522,0,0,6.3429,5.7635
21.991,541.93,7.1755,2,0.10994,0.1094,0.00054739,0.15533,0,0,6.278,5.7698
22.297,551.93,11.232,2,0.17493,0.1086,0.066325,0.15541,0,0,6.2168,5.776
22.609,561.93,10.166,2,0.1572,0.10782,0.049385,0.15547,0,0,6.1768,5.782
22.918,571.93,12,2,0.18885,0.10703,0.081819,0.15549,0,0,6.1239,5.7879
23.233,581.93,9.0292,2,0.13889,0.10626,0.032628,0.15548,0,0,6.0784,5.7938
23.541,591.93,5.5003,2,0.084755,0.10549,-0.020732,0.15543,0,0,5.8141,5.7996
23.849,601.93,4.1689,2,0.065207,0.10472,-0.039517,0.15536,0,0,5.819,5.8054
24.162,611.93,7.2854,2,0.11287,0.10397,0.0089088,0.15525,0,0,5.8447,5.8111
24.471,621.93,4.0615,2,0.063223,0.10321,-0.039989,0.15511,0,0,5.8421,5.8169
24.783,631.93,2.855,2,0.043481,0.10246,-0.058982,0.15494,0,0,5.8371,5.8225
25.087,641.93,5,2,0.077586,0.10171,-0.024128,0.15474,0,0,5.8486,5.8282
25.398,651.93,3.6502,2,0.056024,0.10094,-0.04492,0.1545,0,0,5.8394,5.8338
25.705,661.93,4.1705,2,0.064117,0.10018,-0.036067,0.15424,0,0,5.7726,5.8394
26.012,671.93,10.716,2,0.1631,0.099413,0.063685,0.15395,0,0,5.7903,5.8449
26.317,681.93,4.3615,2,0.066997,0.098621,-0.031624,0.15363,0,0,5.8467,5.8503
26.624,691.93,6.6562,2,0.10101,0.097821,0.0031843,0.15329,0,0,5.6302,5.8555
26.927,701.93,13.044,2,0.20266,0.097013,0.10565,0.15292,0,0,5.5753,5.8606
27.238,711.93,7.6125,2,0.11402,0.096198,0.017825,0.15253,0,0,5.536,5.8655
27.538,721.93,3,2,0.045881,0.095377,-0.049496,0.15212,0,0,5.5811,5.8701
27.843,731.93,4.9895,2,0.077676,0.094551,-0.016875,0.15168,0,0,5.7168,5.8745
28.155,741.93,7,2,0.1081,0.093722,0.014383,0.15123,0,0,5.7882,5.8786
28.464,751.93,6.9087,2,0.1098,0.09289,0.016913,0.15076,0,0,5.7851,5.8825
28.782,761.93,12.427,2,0.20769,0.092056,0.11563,0.15027,0,0,5.7852,5.886
29.116,771.93,5.756,2,0.23858,0.091222,0.14735,0.14975,0,0,5.6878,5.8893
29.945,781.93,26.432,2,0.61163,0.090386,0.52124,0.14923,1,0,5.468,5.8923
30.408,791.93,12.132,2,0.17579,0.089551,0.086242,0.14868,0,0,5.1528,5.895
30.697,801.93,5.7127,2,0.082872,0.088716,-0.0058441,0.14812,0,0,5.3655,5.8973
30.987,811.93,4.2331,2,0.062107,0.087884,-0.025777,0.14754,0,0,5.4676,5.8992
31.281,821.93,4.7357,2,0.070314,0.087055,-0.016742,0.14694,0,0,5.5366,5.9008
31.578,831.93,4.8312,2,0.072785,0.08623,-0.013445,0.14633,0,0,5.6122,5.902
31.879,841.93,7.8337,2,0.12021,0.085409,0.034798,0.14571,0,0,5.6081,5.9027
32.186,851.93,18.41,2,0.30369,0.084593,0.2191,0.14507,0,0,5.6071,5.9029
32.516,861.93,72.305,2,1.1117,0.083781,1.0279,0.14441,1,0,5.8225,5.9025
32.823,871.93,11.083,2,0.16445,0.082973,0.081475,0.14375,0,0,5.9768,5.9015
33.12,881.93,3.6981,2,0.053818,0.082105,-0.028287,0.14306,0,0,5.5629,5.8999
33.411,891.93,3.7897,2,0.055809,0.081303,-0.025494,0.14237,0,0,5.6075,5.8976
33.706,901.93,14.487,2,0.23933,0.080507,0.15882,0.14166,1,0,5.7082,5.8945
34.036,911.93,0,2,0,0.079637,-0.079637,0.14094,0,0,5.7228,5.8906
34.397,921.93,0,2,0,0.078763,-0.078763,0.14021,0,0,5.6657,5.8858
34.684,931.93,17.575,2,0.2438,0.077886,0.16592,0.13946,1,0,5.9851,5.88
34.961,941.93,11.812,2,0.16553,0.077007,0.088523,0.13869,0,0,6.2094,5.8733
35.242,951.93,7.0885,2,0.097703,0.076225,0.021478,0.1379,0,0,6.2091,5.8655
35.517,961.93,5.8288,2,0.08138,0.07545,0.0059295,0.13708,0,0,6.245,5.8565
35.797,971.93,0.26996,2,0.0037489,0.074583,-0.070834,0.13625,0,0,6.2651,5.8465
36.074,981.93,2.8108,2,0.038422,0.073825,-0.035403,0.13539,0,0,6.2727,5.8352
36.348,991.93,4.6926,2,0.063479,0.073078,-0.0095992,0.13451,0,0,6.2675,5.8227
36.618,1001.9,4.5441,2,0.062135,0.072342,-0.010207,0.1336,0,0,6.2677,5.8089
36.892,1011.9,6,2,0.081606,0.071534,0.010071,0.13267,0,0,6.2121,5.7937
37.164,1021.9,12.804,2,0.17342,0.07076,0.10266,0.13172,0,0,6.2234,5.7771
37.435,1031.9,7.6492,2,0.10424,0.07008,0.03416,0.13075,0,0,6.2491,5.7591
37.707,1041.9,10.902,2,0.14411,0.069418,0.074692,0.12975,0,0,6.2719,5.7397
37.972,1051.9,11.108,2,0.14895,0.068772,0.080174,0.12874,0,0,6.2569,5.7187
38.24,1061.9,10.051,2,0.13242,0.068143,0.064281,0.12771,0,0,6.3073,5.6963
38.503,1071.9,10.793,2,0.14094,0.067531,0.073408,0.12665,0,0,6.3424,5.6725
38.764,1081.9,9.6157,2,0.13379,0.066933,0.06686,0.12558,0,0,6.4319,5.6471
39.043,1091.9,19.192,2,0.26315,0.066379,0.19677,0.12449,1,0,6.4451,5.6204
39.317,1101.9,5,2,0.065877,0.0658,7.73E-05,0.12338,0,0,6.4432,5.5923
39.58,1111.9,4.6489,2,0.06085,0.06523,-0.00438,0.12225,0,0,6.4372,5.5629
39.842,1121.9,2.4025,2,0.031294,0.064667,-0.033373,0.12111,0,0,6.4371,5.5323
40.103,1131.9,2.1377,2,0.02766,0.064109,-0.036449,0.11996,0,0,5.8937,5.5005
40.362,1141.9,5.4691,2,0.071501,0.063553,0.0079475,0.11879,0,0,5.9404,5.4676
40.623,1151.9,11.672,2,0.15274,0.063,0.089737,0.1176,0,0,5.9402,5.4336
40.885,1161.9,11.413,2,0.14879,0.062488,0.0863,0.11641,0,0,5.9675,5.3988
41.145,1171.9,3.4095,2,0.04405,0.061942,-0.017892,0.11521,0,0,5.7335,5.363
41.404,1181.9,5.3824,2,0.071014,0.061396,0.0096173,0.114,0,0,5.791,5.3265
41.668,1191.9,19.78,2,0.26774,0.060852,0.20689,0.11278,1,0,5.8049,5.2892
41.938,1201.9,11.074,2,0.14208,0.060308,0.081774,0.11155,0,0,5.8028,5.2513
42.195,1211.9,30.462,2,0.40226,0.059767,0.34249,0.11031,1,0,5.9711,5.2129
42.459,1221.9,8.1917,2,0.1059,0.059229,0.046668,0.10907,0,0,5.9626,5.1741
42.718,1231.9,4.7487,2,0.061771,0.058695,0.0030765,0.10783,0,0,5.994,5.1349
