cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-57,0.98,5,0.033798,0.0014923,0.032306,-0.00023001,0,0.48804,32.3698,0.573
2.5866,-42,0,5,0,0.0015375,-0.0015375,5.60E-05,0,0,31.417,0.25167
4.183,-27,0,4.9547,0,0.0015841,-0.0015841,0.00033905,0,0,30.4728,0.29664
5.1363,-12,0.008,3.002,0.00011797,0.0016325,-0.0015145,0.00061879,0,0,29.5372,0.35395
5.8552,3,1,3.25,0.013307,0.0016828,0.011624,0.00089494,0,0,28.6105,0.41556
6.5039,18,6.296,3.4707,0.080881,0.0017352,0.079145,0.0011672,0,0,27.6926,0.45436
7.1774,33,6.196,4.706,0.072326,0.0017899,0.070537,0.0014351,0,0,26.7835,0.52282
7.977,48,3.2173,5,0.034187,0.0018468,0.032341,0.0016986,0,0,25.8831,0.54902
8.7739,63,0.99133,5,0.0096751,0.001906,0.0077691,0.0019572,1,3.691,24.9911,0.55395
9.5059,78,0,5,0,0.0019674,-0.0019674,0.0022108,0,0,24.107,0.55486
10.1847,93,0,4.9403,0,0.0020308,-0.0020308,0.0024592,0,0,23.2304,0.59299
11.0486,108,0,4.568,0,0.002096,-0.002096,0.0027022,0,0,22.3608,0.65777
11.788,123,0,5,0,0.0021629,-0.0021629,0.0029398,0,0,21.4974,0.057969
12.5046,138,0,5,0,0.0022313,-0.0022313,0.0031721,0,0,20.6395,0.086963
13.1918,153,0,5,0,0.0023011,-0.0023011,0.0033993,0,0,19.7863,0.041367
13.8447,168,0.946,5,0.0077421,0.0023722,0.00537,0.0036217,0,0.026223,18.9367,0.063746
14.4585,183,0.264,5,0.0020405,0.0024446,-0.00040409,0.0038397,0,0,18.09,0.01996
15.0382,198,0,5,0,0.0025181,-0.0025181,0.0040539,0,0,17.2453,0.023185
15.5871,213,0,5,0,0.0025925,-0.0025925,0.0042651,0,0,16.4017,0.021156
16.11,228,0,5,0,0.0026677,-0.0026677,0.0044743,0,0,15.5585,0.018961
16.5934,243,2.76,5,0.016987,0.0027434,0.014243,0.0046828,0,0,14.7151,0.022239
17.055,258,5,5,0.029591,0.0028197,0.026771,0.0048921,1,0.50303,13.8715,0.028964
17.4989,273,0.46333,5,0.0025341,0.0028962,-0.00036207,0.0051039,0,0,13.0294,0.022749
17.9091,288,0,5,0,0.0029727,-0.0029727,0.0053193,0,0,12.1946,0.01977
18.3119,303,0,5,0,0.0030494,-0.0030494,0.0055366,0,0,11.382,0.019073
18.6843,318,0.152,4.734,0.0011656,0.0031276,-0.001962,0.005748,0,0,10.6181,0.017514
19.0581,333,0.502,2.3785,0.0035961,0.0032112,0.00038495,0.0058103,0,0,10.0717,0.024728
19.4073,348,0,2.2067,0,0.0033141,-0.0033141,0.0058468,0,0,9.5792,0.024954
19.7337,363,0,2.0247,0,0.0034099,-0.0034099,0.0058569,0,0,9.1408,0.01378
20.0536,378,0,1.8153,0,0.0034981,-0.0034981,0.0058417,0,0,8.7544,0.010123
20.3617,393,0,1.7713,0,0.0035785,-0.0035785,0.0058036,0,0,8.4158,0.011218
20.6595,408,0,2.346,0,0.0036519,-0.0036519,0.0057457,0,0,8.1196,0.0072874
20.9473,423,0.81533,2.5,0.0060546,0.0037554,0.0022993,0.0056692,0,0,7.861,0.023253
21.2258,438,1,2.0437,0.0088331,0.0038597,0.0049735,0.005574,0,0,7.6352,0.080978
21.4955,453,0.97267,2.7443,0.006204,0.0039162,0.0022878,0.0054609,0,0,7.4366,0.096231
21.7569,468,0.086667,2.9783,0.00058645,0.0039664,-0.00338,0.0053319,0,0,7.2585,0.10822
22.0107,483,1.9693,2.5,0.012954,0.0040116,0.0089421,0.0051899,0,0.056283,7.094,0.16168
22.2574,498,1,2.5,0.006402,0.0040529,0.0023492,0.0050383,0,0,6.9372,0.22409
22.4974,513,1,2.5,0.0062285,0.0040907,0.0021378,0.0048806,0,0,6.7838,0.17553
22.731,528,1,2.9593,0.0051412,0.0041251,0.0010162,0.0047206,0,0,6.6314,0.16578
22.9587,543,1,3.6135,0.0041261,0.0041545,-2.84E-05,0.0045621,0,0,6.4786,0.13386
23.1807,558,2.372,3.407,0.010361,0.0041778,0.0061831,0.0044091,0,0,6.3246,0.12463
23.3974,573,2.4773,3.5113,0.010165,0.004195,0.0059699,0.0042642,1,0.055675,6.1698,0.078642
23.6094,588,1.344,3.668,0.0049555,0.0042058,0.00074969,0.0041294,0,0,6.0154,0.051148
23.8168,603,0.3,3.525,0.001083,0.0042083,-0.0031253,0.0040063,0,0,5.8631,0.064201
24.0198,618,3,3.75,0.010576,0.0041989,0.0063775,0.0038958,1,0.037226,5.7149,0.079567
24.2181,633,1.3213,3.3303,0.0050008,0.0041734,0.00082746,0.0037974,0,0,5.5739,0.11279
24.4121,648,0.45533,3.6585,0.0017784,0.0041292,-0.0023508,0.0037102,0,0,5.4432,0.14852
24.6025,663,0.216,3.946,0.00071849,0.004066,-0.0033475,0.0036325,0,0,5.3258,0.64394
24.7896,678,1,3.75,0.0032584,0.0039848,-0.00072638,0.0035635,0,0,5.2236,0.55609
24.9729,693,0.148,3.324,0.00047187,0.0038881,-0.0034162,0.0035038,0,0,5.137,0.44399
25.1522,708,0,3.929,0,0.0037792,-0.0037792,0.0034544,0,0,5.0649,0.1963
25.3288,723,0.033333,4.725,0.00011899,0.0036622,-0.0035432,0.003415,0,0,5.0071,0.16964
25.5028,738,2,3.25,0.0069677,0.0035417,0.003426,0.0033835,0,0.00063705,4.9638,0.17375
25.6727,753,1.4553,3.6585,0.0046497,0.003422,0.0012277,0.0033566,0,0,4.9352,0.1761
25.8402,768,1.104,4.0087,0.0030213,0.0033066,-0.0002853,0.0033306,0,0,4.9196,0.9319
26.0056,783,4,4.25,0.010133,0.0031977,0.0069356,0.0033023,1,0.054499,4.9138,0.91923
26.1671,798,2.0533,4.1283,0.0051411,0.0030966,0.0020444,0.0032691,0,0,4.914,0.060756
26.3267,813,0,4,0,0.0030036,-0.0030036,0.0032316,0,0,4.9163,0.20759
26.4843,828,0,3.3245,0,0.0029188,-0.0029188,0.0031923,0,0,4.9175,0.069804
26.6385,843,0.27533,3.1812,0.0009353,0.0028436,-0.0019083,0.0031523,0,0,4.9164,0.021638
26.7914,858,1,3,0.0033414,0.0027797,0.00056165,0.0031125,0,0,4.9122,0.23653
26.9418,873,0.38733,3.1532,0.0012777,0.0027269,-0.0014492,0.0030733,0,0,4.9033,0.084475
27.0902,888,0,3.25,0,0.0026856,-0.0026856,0.003036,0,0,4.8877,0.40918
27.2374,903,1.8293,4.1647,0.0041476,0.0026567,0.0014909,0.0030018,0,0,4.8637,0.44602
27.382,918,1.636,4.1135,0.0036908,0.002641,0.0010498,0.0029713,0,0,4.83,0.037731
27.5258,933,0,3.5,0,0.0026378,-0.0026378,0.0029444,0,0,4.7863,0.16546
27.6675,948,0,4.127,0,0.0026453,-0.0026453,0.0029202,0,0,4.7335,0.1925
27.8082,963,0,5,0,0.0026615,-0.0026615,0.0028977,0,0,4.6725,0.028585
27.9475,978,1.2453,4.3773,0.0028626,0.0026862,0.00017638,0.0028759,0,0,4.6049,0.94327
28.0854,993,2,4,0.0045704,0.0027191,0.0018513,0.0028535,0,0,4.5323,0.0016341
28.2225,1008,1.2007,4.3997,0.0025108,0.0027588,-0.000248,0.0028293,0,0,4.4564,0.97703
28.358,1023,1,4.5,0.0020013,0.0028039,-0.00080259,0.0028026,0,0,4.3787,0.12683
28.4931,1038,2.8973,4.2628,0.0060548,0.002853,0.0032019,0.0027747,0,0,4.2999,0.21511
28.6264,1053,2.9273,4.25,0.0061138,0.0029046,0.0032092,0.0027481,1,0.014211,4.219,0.25668
28.7596,1068,2,4.25,0.0041294,0.0029572,0.0011723,0.0027239,0,0,4.1355,0.89469
28.8912,1083,1.6533,4.1633,0.0034069,0.0030093,0.00039755,0.002701,0,0,4.0507,0.79255
29.0226,1098,0,3.75,0,0.0030603,-0.0030603,0.0026764,0,0,3.9668,0.79959
29.1527,1113,0,3.687,0,0.0031095,-0.0031095,0.0026477,0,0,3.8857,0.0021296
29.2825,1128,0,3.5,0,0.0031558,-0.0031558,0.0026138,0,0,3.8077,0.01654
29.4112,1143,0.62133,3.966,0.0010638,0.0031981,-0.0021343,0.0025755,0,0,3.7318,0.38361
29.5396,1158,2,5,0.0034025,0.0032349,0.00016764,0.0025348,0,0,3.656,0.37494
29.6672,1173,2,4.3852,0.0040342,0.0032642,0.00076999,0.0024935,0,0,3.5788,0.35246
29.7945,1188,2,3.25,0.0051905,0.0032858,0.0019047,0.002453,0,0,3.4992,0.61844
29.921,1203,1.6247,3.25,0.0042047,0.0033008,0.0009039,0.0024147,0,0,3.4165,0.019717
30.0471,1218,1,3.25,0.0025761,0.0033109,-0.00073478,0.0023807,0,0,3.3305,0.001087
30.1727,1233,1.7693,3.4423,0.004151,0.0033173,0.00083368,0.0023532,0,0,3.2444,0.48995
30.298,1248,3,3.75,0.0066534,0.0033212,0.0033321,0.0023342,0,0,3.1651,0.0020183
