cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-57,0.618,3,0.033432,0.0096948,0.023737,0.0089768,0,0,4.6698,0.11198
2.4344,-42,0.44333,3,0.018681,0.0096465,0.0090343,0.0089415,0,0.23765,4.6585,0.036208
4.3305,-27,0.30267,3,0.010878,0.0096019,0.0012765,0.0089074,0,0,4.6472,0.15172
5.9479,-12,0,3,0,0.0095603,-0.0095603,0.0088742,0,0,4.6358,0.17951
7.0329,3,0.45933,3,0.0086431,0.0095209,-0.00087784,0.0088412,0,0,4.6245,0.11062
7.8796,18,0,3,0,0.0094833,-0.0094833,0.0088081,0,0,4.6132,0.18523
8.5983,33,0.56333,3,0.0085234,0.0094468,-0.00092343,0.0087744,0,0,4.6021,0.23718
9.2792,48,1.5227,3,0.029094,0.0094112,0.019682,0.0087396,0,0,4.5911,0.33199
10.139,63,1.6793,3,0.043458,0.0093762,0.034082,0.0087035,1,0.58114,4.5803,0.20547
11.3035,78,0.43067,3,0.0047219,0.0093411,-0.0046192,0.0086658,0,0,4.5697,0.18613
11.7969,93,0,3,0,0.0093051,-0.0093051,0.0086262,0,0,4.5593,0.22893
12.113,108,0,3,0,0.0092674,-0.0092674,0.0085846,0,0,4.5491,0.28144
12.433,123,0.14867,3,0.0010709,0.0092276,-0.0081567,0.008541,0,0,4.5392,0.15057
12.7572,138,1,3,0.0070488,0.0091854,-0.0021366,0.0084952,0,0,4.5295,0.27013
13.0744,153,1,3,0.0072251,0.0091406,-0.0019155,0.0084475,0,0,4.5199,0.32674
13.3995,168,1,3,0.0070947,0.0090937,-0.001999,0.0083981,0,0,4.5105,0.26364
13.7187,183,1,3,0.0071539,0.0090449,-0.0018909,0.0083475,0,0,4.5013,0.46384
14.0407,198,1.7147,3,0.012295,0.008995,0.0033002,0.0082962,0,0,4.4921,0.4971
14.3633,213,2.6813,3,0.018979,0.0089453,0.010034,0.0082451,1,0.026835,4.4829,0.44076
14.6819,228,1,3,0.0072343,0.0088973,-0.001663,0.0081954,0,0,4.4735,0.389
15.0074,243,1,3,0.0070597,0.0088531,-0.0017934,0.0081487,0,0,4.4638,0.44547
15.3251,258,1,3,0.0071218,0.0088158,-0.001694,0.0081074,0,0,4.4535,0.54984
15.6456,273,0.32467,3,0.0023204,0.0087906,-0.0064703,0.0080749,0,0,4.4424,0.59814
15.9672,288,0,3,0,0.0087856,-0.0087856,0.0080564,0,0,4.4301,0.63676
