cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-59.026,2.4465,2,0.90287,0.4367,0.46617,-0.022819,0,0,5.4946,4.7588
7.3808,-49.026,6.7787,2,1.7643,0.43278,1.3315,-0.01724,0,0,5.434,4.745
12.586,-39.026,4.2571,2,0.94322,0.42886,0.51435,-0.01169,0,0,5.3712,4.7315
17.017,-29.026,3.8526,2,0.65694,0.42496,0.23199,-0.0061691,0,0,5.2366,4.7181
20.428,-19.026,5.6131,2,0.84915,0.42105,0.4281,-0.00067818,1,0,5.2718,4.7048
23.453,-9.0257,2.5571,2,0.32248,0.41716,-0.094684,0.0047823,0,0,5.3574,4.6918
25.976,0.97431,8.9925,2,0.85492,0.41327,0.44165,0.010212,0,0,5.4399,4.6789
27.877,10.974,7.0462,2,0.49278,0.40939,0.08339,0.015611,0,0,5.5062,4.6663
29.276,20.974,13.449,2,0.52749,0.40552,0.12197,0.020978,1,0,5.4386,4.6538
30.06,30.974,12,2,0.10596,0.40166,-0.2957,0.026314,0,0,5.1004,4.6414
30.237,40.974,18.474,2,0.15242,0.3978,-0.24538,0.031619,0,0,4.5058,4.6293
30.402,50.974,12.583,2,0.10205,0.39395,-0.2919,0.036892,0,0,4.4395,4.6173
30.564,60.974,3,2,0.023914,0.3901,-0.36619,0.042134,0,0,4.3842,4.6054
30.723,70.974,1.3341,2,0.010859,0.38626,-0.3754,0.047345,0,0,4.172,4.5937
30.886,80.974,1.3036,2,0.010317,0.38243,-0.37211,0.052527,0,0,4.0996,4.5821
31.044,90.974,2,2,0.01464,0.3786,-0.36396,0.057678,0,0,4.1351,4.5706
31.191,100.97,14.513,2,0.10094,0.37477,-0.27383,0.062801,0,0,4.1369,4.5592
31.33,110.97,23,2,0.15429,0.37095,-0.21666,0.067896,0,0,4.0147,4.5479
31.464,120.97,20.802,2,0.15796,0.36713,-0.20917,0.072962,0,0,3.9346,4.5368
31.616,130.97,20,2,0.16124,0.36332,-0.20208,0.078,0,0,3.8747,4.5257
31.777,140.97,20,2,0.17728,0.3595,-0.18223,0.08301,0,0,3.9297,4.5147
31.954,150.97,17.027,2,0.16701,0.35569,-0.18868,0.08799,0,0,3.985,4.5039
32.151,160.97,8.3504,2,0.090834,0.35188,-0.26105,0.092941,0,0,4.0336,4.493
32.368,170.97,3.4068,2,0.11432,0.34807,-0.23375,0.097863,0,0,4.0786,4.4823
33.039,180.97,8.0692,2,0.24254,0.34426,-0.10172,0.10275,0,0,4.1038,4.4717
33.641,190.97,4.175,2,0.078155,0.34045,-0.2623,0.10762,0,0,4.1313,4.4611
34.015,200.97,7.8361,2,0.151,0.33664,-0.18564,0.11245,0,0,4.1801,4.4506
34.4,210.97,6.6414,2,0.069326,0.33284,-0.26351,0.11726,0,0,4.2278,4.4402
34.609,220.97,5.9693,2,0.051715,0.32903,-0.27731,0.12203,0,0,4.2744,4.4299
34.782,230.97,1,2,0.0094235,0.32522,-0.3158,0.12678,0,0,4.3192,4.4197
