cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-59.06,0.95288,2,0.051082,0.061122,-0.01004,0.14618,0,0,5.6346,5.8146
1.0722,-49.06,4.0765,2,0.16559,0.063737,0.10185,0.1478,0,0,5.6992,5.8321
1.8845,-39.06,2.7697,2,0.092769,0.06637,0.026399,0.1494,0,0,5.649,5.8495
2.5544,-29.06,2.5594,2,0.079151,0.069021,0.01013,0.15099,0,0,5.5948,5.8667
3.1729,-19.06,2.1157,2,0.067425,0.07169,-0.0042642,0.15256,0,0,5.6451,5.8837
3.8103,-9.0604,0.66897,2,0.024319,0.074377,-0.050058,0.15412,0,0,5.6291,5.9007
4.5374,0.93961,2.3321,2,0.10925,0.077082,0.032165,0.15567,0,0,5.6938,5.9174
5.4743,10.94,4.4133,2,0.30556,0.079807,0.22575,0.1572,1,0,5.7479,5.934
6.859,20.94,0.87964,2,0.077319,0.082551,-0.0052316,0.15872,0,0,5.8104,5.9504
8.617,30.94,1.5147,2,0.098158,0.085314,0.012844,0.16022,0,0,5.8701,5.9666
9.9131,40.94,0.5251,2,0.023986,0.088096,-0.06411,0.16171,0,0,5.4022,5.9827
10.827,50.94,22.256,2,0.81776,0.090898,0.72686,0.16318,1,0,5.5649,5.9986
11.562,60.94,6.4204,2,0.19941,0.093718,0.1057,0.16463,0,0,5.7269,6.0143
12.183,70.94,2.0974,2,0.058707,0.096557,-0.03785,0.16608,0,0,6.1585,6.0298
12.743,80.94,3.604,2,0.094598,0.099416,-0.0048173,0.1675,0,0,6.3565,6.0452
13.267,90.94,10.925,2,0.27741,0.10229,0.17512,0.16891,0,0,6.4523,6.0603
13.775,100.94,12.233,2,0.31874,0.10519,0.21355,0.17031,1,0,6.35,6.0753
14.296,110.94,5.6603,2,0.15192,0.1081,0.043817,0.17169,0,0,6.2588,6.0901
14.833,120.94,3.9405,2,0.10612,0.11103,-0.0049134,0.17305,0,0,6.1993,6.1047
15.372,130.94,1.1375,2,0.030746,0.11398,-0.083232,0.1744,0,0,6.1668,6.1192
15.912,140.94,5.8505,2,0.15865,0.11694,0.041714,0.17574,0,0,5.9659,6.1334
16.455,150.94,3.3708,2,0.091693,0.11992,-0.028223,0.17706,0,0,5.9604,6.1474
16.999,160.94,3.3012,2,0.090075,0.12291,-0.032832,0.17837,0,0,5.7951,6.1613
17.545,170.94,1.3348,2,0.036522,0.12591,-0.089387,0.17966,0,0,5.5559,6.1749
18.092,180.94,13.757,2,0.3774,0.12892,0.24848,0.18094,0,0,5.6058,6.1884
18.64,190.94,31.768,2,0.8736,0.13195,0.74165,0.18221,1,0,5.3605,6.2017
19.19,200.94,5.3618,2,0.14778,0.13498,0.012799,0.18347,0,0,5.7054,6.2147
19.742,210.94,0.53246,2,0.014708,0.13802,-0.12332,0.18472,0,0,5.9257,6.2276
20.294,220.94,0.5484,2,0.015177,0.14107,-0.1259,0.18595,0,0,5.9019,6.2403
20.848,230.94,2.1758,2,0.060317,0.14413,-0.083809,0.18718,0,0,5.8067,6.2528
21.402,240.94,3.2737,2,0.090894,0.14718,-0.056288,0.18841,0,0,5.8584,6.2652
21.957,250.94,2.0771,2,0.05775,0.15024,-0.092491,0.18962,0,0,5.8919,6.2774
22.513,260.94,0.85028,2,0.023669,0.1533,-0.12963,0.19083,0,0,6.6633,6.2895
23.07,270.94,0.22853,2,0.0063678,0.15636,-0.14999,0.19204,0,0,7.5209,6.3014
23.627,280.94,1,2,0.027886,0.15941,-0.13153,0.19325,0,0,7.4051,6.3132
24.185,290.94,1.4357,2,0.04006,0.16246,-0.1224,0.19446,0,0,7.3598,6.325
24.743,300.94,2.2632,2,0.063178,0.16551,-0.10234,0.19567,0,0,7.3463,6.3366
25.301,310.94,1.8252,2,0.05096,0.16856,-0.1176,0.19688,0,0,7.3209,6.3483
25.86,320.94,32.323,2,0.9025,0.17159,0.73091,0.19809,0,0,7.3754,6.3599
26.418,330.94,14.442,1.7761,0.46151,0.17463,0.28688,0.19931,1,0,7.2213,6.3715
26.977,340.94,4.9998,2,0.13952,0.17765,-0.03813,0.20053,0,0,7.1482,6.3831
27.535,350.94,4.9503,2,0.13806,0.18068,-0.042613,0.20176,0,0,7.0167,6.3947
28.093,360.94,3.0764,2,0.085736,0.18369,-0.097955,0.203,0,0,7.0708,6.4064
28.65,370.94,10.489,2,0.29204,0.1867,0.10534,0.20424,0,0,7.1109,6.4182
29.207,380.94,11.134,2,0.30964,0.18971,0.11993,0.20549,0,0,6.9892,6.4301
29.763,390.94,10.559,2,0.29325,0.19271,0.10054,0.20674,0,0,6.8637,6.4421
30.318,400.94,4.851,2,0.13453,0.19572,-0.061193,0.20798,0,0,6.9073,6.454
30.873,410.94,2.7283,2,0.075533,0.19873,-0.1232,0.20922,0,0,6.9541,6.466
31.427,420.94,2.114,2,0.058418,0.20175,-0.14333,0.21042,0,0,7.0012,6.4777
31.979,430.94,8.5905,2,0.23688,0.20479,0.032091,0.21158,0,0,6.5863,6.489
32.531,440.94,2.8866,2,0.079418,0.20787,-0.12845,0.21266,0,0,6.6067,6.4996
