cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0.78,-52,15,2.3,0.5,0,0.4,0.2,0,0,0.78,0.95
2.81,-37,13,3,0.6,0,0.5,0.2,1,7.941677654,0.78,0.95
4.42,-22,7,3,0.2,0,0.1,0.2,0,0,0.78,0.95
5.31,-7,9,3,0.1,0.1,0.1,0.2,0,0,0.77,0.95
5.96,8,12,3,0.2,0.1,0.1,0.2,0,0,0.77,0.95
6.46,23,9,3,0.1,0.1,0.1,0.2,0,0,0.76,0.95
6.9,38,5,3,0.1,0.1,0,0.2,0,0,0.76,0.95
7.41,53,19,3,0.2,0.1,0.1,0.2,0,0,0.75,0.95
7.6,68,25,3,0.2,0.1,0.1,0.2,0,0,0.74,0.95
7.99,83,15,3,0.1,0.1,0.1,0.2,0,0,0.74,0.95
8.3,98,8,3,0.1,0.1,0,0.2,0,0,0.73,0.95
8.3,113,8,3,0.1,0.1,0,0.2,0,0,0.72,0.95
9,128,39,3,0.2,0.1,0.2,0.2,0,0,0.72,0.95
9.21,143,31,3,0.2,0.1,0.2,0.2,0,0,0.71,0.95
9.64,158,18,3,0.1,0.1,0.1,0.2,0,0,0.7,0.95
9.99,173,15,3,0.1,0.1,0.1,0.2,0,0,0.7,0.95
10.35,188,16,3,0.1,0.1,0.1,0.2,0,0,0.69,0.95
10.71,203,16,3,0.1,0.1,0.1,0.2,0,0,0.68,0.88
11.02,218,10,3,0.1,0.1,0,0.2,0,0,0.67,0.48
11.39,233,8,3,0.1,0.1,0,0.1,0,0,0.66,0.11
11.76,248,15,3,0.1,0.1,0,0.1,0,0,0.65,0.18
12.14,263,12,3,0.1,0.1,0,0.1,0,0,0.64,0.36
12.46,278,9,3,0.1,0.1,0,0.1,0,0,0.63,0.06
12.85,293,16,3,0.1,0.1,0,0.1,0,0,0.62,0.18
13.17,308,19,3,0.2,0.1,0.1,0.1,0,0,0.62,0.11
13.56,323,16,3,0.1,0.1,0,0.1,0,0,0.61,0.35
13.77,338,10,3,0.1,0.1,0,0.1,0,0,0.61,0.18
14.24,353,8,3,0.1,0.1,0,0.1,0,0,0.61,0.14
14.6,368,6,3,0.1,0.1,-0.1,0.1,0,0,0.61,0.21
14.98,383,13,3,0.1,0.1,0,0.1,0,0,0.61,0.45
15.31,398,20,3,0.2,0.1,0.1,0.1,0,0,0.62,0.35
15.69,413,10,3,0.1,0.1,0,0.1,0,0,0.62,0.36
16.03,428,19,3,0.2,0.1,0,0.1,0,0,0.63,0.37
16.4,443,30,3,0.2,0.1,0.1,0.1,0,0,0.64,0.39
16.74,458,43,3,0.3,0.1,0.2,0.1,0,0,0.65,0.38
