cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-56,0,1.31,0.018329038,0.094322907,,0.111718366,0,0,0.76,
2.65,-41,3,1.5,0.202652465,0.094343792,,0.111587148,0,0,0.76,
4.11,-26,7,1.5,0.36005012,0.09436503,,0.111446166,0,0,0.75,
5.27,-11,6,1.5,0.239881276,0.094386634,,0.111294791,0,0,0.75,
6.14,4,7,1.5,0.212486572,0.094408615,,0.111132398,0,0,0.75,
6.83,19,10,1.5,0.453185865,0.094430983,,0.110958369,0,0,0.74,
7.88,34,8,1.5,0.284564431,0.094453745,,0.110772093,1,0,0.74,
8.64,49,9,1.5,0.190225768,0.094476906,,0.110572966,0,0,0.74,
9.12,64,13,1.5,0.172214004,0.09450047,,0.110360394,0,0,0.73,
9.42,79,7,1.5,0.094640685,0.094524438,,0.110133794,0,0,0.73,
9.72,94,5,1.5,0.072715497,0.094548811,,0.109892596,0,0,0.73,
10.03,109,10,1.5,0.134332735,0.094573588,,0.109636247,0,0,0.73,
10.33,124,6,1.5,0.082458922,0.094598765,,0.109364211,0,0,0.72,
10.63,139,1,1.5,0.013459446,0.094624337,,0.109075976,0,0,0.72,
10.93,154,11,1.5,0.149994339,0.094650298,,0.108771054,0,0,0.72,
11.24,169,12,1.5,0.165868617,0.094676641,,0.108448995,0,0,0.71,
11.54,184,1,1.5,0.013538579,0.094703356,,0.108109385,0,0,0.71,
11.84,199,3,1.5,0.040174568,0.094730433,,0.107751864,0,0,0.71,
12.15,214,5,1.5,0.067959263,0.094757858,,0.107376138,0,0,0.7,
12.46,229,4,1.5,0.056554251,0.094785617,,0.106981997,0,0,0.7,
12.76,244,4,1.5,0.051567173,0.094813693,,0.106569339,0,0,0.7,
13.07,259,3,1.5,0.041180671,0.094842067,,0.106138204,0,0,0.7,
13.38,274,2,1.5,0.032939296,0.094870717,,0.105688817,0,0,0.69,
13.69,289,2,1.5,0.027618417,0.094899616,,0.105221643,0,0,0.69,
14,304,4,1.5,0.055604061,0.094928733,,0.104737452,0,0,0.69,
14.31,319,6,1.5,0.089352136,0.094958034,,0.104237392,0,0,0.68,
14.63,334,10,1.5,0.140051786,0.094987481,,0.103723056,0,0,0.68,
14.94,349,14,1.5,0.198411741,0.095017037,,0.103196485,0,0,0.68,
15.26,364,14,1.5,0.202028463,0.095046673,,0.102660016,1,0,0.68,
15.58,379,12,1.5,0.170950237,0.095076402,,0.102115721,0,0,0.67,
15.9,394,9,1.5,0.123260168,0.095106325,,0.101564026,0,0,0.67,
16.22,409,7,1.5,0.094956554,0.095136729,,0.101000931,0,0,0.67,
16.54,424,4,1.5,0.058142437,0.095168212,,0.100414147,0,0,0.67,
16.87,439,6,1.5,0.085203381,0.095201644,,0.099783259,0,0,0.66,
17.2,454,6,1.5,0.094587457,0.095268706,,0.09902331,0,0,0.66,
17.53,469,1,1.5,0.014880009,0.095346588,,0.098385719,0,0,0.66,
17.87,484,3,1.5,0.05111743,0.095436203,,0.097875707,0,0,0.66,
18.2,499,4,1.5,0.067778254,0.0955383,,0.097492967,0,0,0.66,
18.54,514,1,1.5,0.015286092,0.095653433,,0.09723167,0,0,0.65,
18.89,529,2,1.5,0.025850757,0.095781942,,0.097082224,0,0,0.65,
19.24,544,3,1.5,0.042453426,0.095923943,,0.09703097,0,0,0.65,
19.59,559,5,1.5,0.078813853,0.096079343,,0.09706222,0,0,0.64,
19.94,574,3,1.5,0.040022794,0.096247851,,0.097158136,0,0,0.64,
20.3,589,1,1.5,0.017908242,0.096428999,,0.097299533,0,0,0.64,
20.66,604,0,1.5,0.005518115,0.096622173,,0.097470625,0,0,0.64,
21.03,619,4,1.5,0.06654328,0.096826575,,0.097665921,0,0,0.63,
21.41,634,2,1.5,0.029630938,0.097041139,,0.097878769,0,0,0.63,
21.79,649,1,1.5,0.017138893,0.097264755,,0.098101472,0,0,0.63,
22.17,664,2,1.5,0.039479191,0.0974966,,0.09832663,0,0,0.63,
22.56,679,9,1.5,0.15972281,0.09773611,,0.09854748,0,0,0.63,
22.96,694,8,1.5,0.146832082,0.097982903,,0.098758932,0,0,0.63,
23.37,709,7,1.5,0.122657244,0.098236638,,0.098958613,0,0,0.63,
