cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-56.986,2.4143,1.9224,0.54604,0.47715,0.068881,0.63207,0,0,5.7864,5.1522
4.5233,-46.986,20.8,2,2.4721,0.4736,1.9985,0.62504,0,0,5.5212,5.1618
6.9004,-36.986,30.591,2,1.3278,0.47005,0.85771,0.61805,1,0,5.3261,5.1713
7.7685,-26.986,16.034,2,0.46619,0.4665,-0.00031333,0.6111,0,0,5.1649,5.1808
8.35,-16.986,23.738,2,0.59466,0.46297,0.13169,0.6042,0,0,5.0853,5.1903
8.851,-6.986,23.127,2,0.59809,0.45945,0.13864,0.59735,0,0,5.1221,5.1998
9.3682,3.014,19.498,2,0.50553,0.45594,0.0496,0.59055,0,0,5.1123,5.2093
9.8868,13.014,12.759,2,0.36248,0.45243,-0.089949,0.5838,0,0,5.1747,5.2187
10.455,23.014,4.9245,2,0.17019,0.44893,-0.27874,0.5771,0,0,5.2308,5.2281
11.146,33.014,7.0705,2,0.26503,0.44545,-0.18042,0.57046,0,0,5.278,5.2374
11.896,43.014,7.1409,2,0.23359,0.44197,-0.20837,0.56387,0,0,5.2376,5.2467
12.55,53.014,6.7519,2,0.19973,0.43849,-0.23877,0.55734,0,0,5.0043,5.256
13.142,63.014,5.6274,2,0.18671,0.43503,-0.24832,0.55085,0,0,5.0614,5.2652
13.805,73.014,22.417,2,0.93715,0.43157,0.50557,0.54443,0,0,4.8688,5.2743
14.641,83.014,1.9911,2,0.08627,0.42812,-0.34185,0.53805,0,0,4.9233,5.2834
15.508,93.014,1.8973,2,0.085449,0.42468,-0.33923,0.53172,0,0,4.9804,5.2924
16.409,103.01,2.2766,2,0.10632,0.42125,-0.31492,0.52545,0,0,5.0295,5.3014
17.343,113.01,2.8696,2,0.13893,0.41782,-0.27889,0.51921,0,0,5.0798,5.3103
18.311,123.01,2,2,0.10031,0.41439,-0.31409,0.51303,0,0,5.1273,5.3191
19.314,133.01,2.7688,1.6656,0.19306,0.41098,-0.21791,0.50688,0,0,5.1645,5.3279
20.351,143.01,11.031,1.2351,0.76621,0.40757,0.35864,0.50076,0,0,5.2125,5.3365
21.422,153.01,9.7492,0.84123,1.2123,0.40416,0.8081,0.49468,1,0,5.2645,5.3451
22.525,163.01,2.0842,1,0.23575,0.40076,-0.16501,0.48863,0,0,5.3147,5.3537
23.656,173.01,4.0682,1.1744,0.45712,0.39736,0.05976,0.48261,0,0,5.3668,5.3621
24.811,183.01,5.6059,1.4115,0.47355,0.39397,0.079576,0.4766,0,0,5.3868,5.3705
25.984,193.01,2.5939,1.5775,0.21628,0.39058,-0.17431,0.47061,0,0,5.4376,5.3788
27.169,203.01,2.6428,1.5795,0.19459,0.3872,-0.19261,0.46464,0,0,5.4802,5.387
28.357,213.01,73.56,1.7895,4.585,0.38382,4.2012,0.45868,1,0,5.5298,5.3952
29.543,223.01,2.8139,1.8136,0.19814,0.38044,-0.1823,0.45272,0,0,5.5789,5.4033
30.718,233.01,2.1394,1.9725,0.12857,0.37706,-0.24849,0.44677,0,0,5.5801,5.4113
31.875,243.01,3.2155,1.7776,0.19497,0.37369,-0.17872,0.44082,0,0,5.5425,5.4192
