cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-57,0.4,3,0.021111,0.012033,0.0090786,0.016226,0,0,13.0035,0.06749
2.375,-42,7.4667,3,0.21037,0.011652,0.19872,0.016116,1,2.739,12.8736,0.15391
3.6429,-27,0.86667,3,0.018915,0.011282,0.0076335,0.016002,0,0,12.7426,0.068659
4.625,-12,0.6,3,0.011,0.010922,7.81E-05,0.015883,0,0,12.6104,0.10363
5.45,3,2.2,3,0.036667,0.010572,0.026094,0.01576,0,0,12.477,0.10383
6.2,18,6,3,0.094545,0.010233,0.084312,0.015632,0,0,12.3424,0.057102
6.9091,33,1.7333,3,0.028013,0.0099048,0.018109,0.015499,1,1.3876,12.2065,0.089154
7.6364,48,0.46667,3,0.0067957,0.0095862,-0.0027905,0.015361,0,0,12.0696,0.054084
8.2917,63,1,3,0.014731,0.0092774,0.0054532,0.015219,0,0,11.9317,0.1034
8.9545,78,1.5333,3,0.023232,0.0089777,0.014255,0.015073,0,0,11.7929,0.11295
9.6364,93,0,2.5,0,0.0086866,-0.0086866,0.014921,0,0,11.6534,0.12157
10.2917,108,0,1.5,0,0.008403,-0.008403,0.014766,0,0,11.5133,0.09991
10.9583,123,0.2,1.7667,0.0044444,0.0081261,-0.0036817,0.014606,0,0,11.3727,0.23691
11.625,138,0.2,2,0.0044444,0.0078552,-0.0034108,0.014443,0,0,11.2319,0.076585
12.2917,153,0.4,2,0.0087778,0.0075896,0.0011882,0.014278,0,0,11.0909,0.1349
12.95,168,0,2,0,0.0073286,-0.0073286,0.014111,0,0,10.9498,0.12783
13.6,183,0,2,0,0.0070715,-0.0070715,0.013942,0,0,10.809,0.094013
14.25,198,0,1.8333,0,0.0068179,-0.0068179,0.013774,0,0,10.6684,0.13472
14.9167,213,0,2,0,0.0065674,-0.0065674,0.013607,0,0,10.5281,0.070872
15.55,228,0,2,0,0.0063201,-0.0063201,0.013442,0,0,10.3883,0.099754
16.2083,243,0,2,0,0.0060763,-0.0060763,0.01328,0,0,10.2488,0.043441
