cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-57.014,6.4851,1.5,1.0183,0.21638,0.80195,0.82813,0,0,3.604,2.7207
2.3554,-47.014,5.6977,1.5,0.42329,0.21688,0.20641,0.82115,0,0,3.58,2.7551
3.4697,-37.014,10.857,1.5,0.51321,0.21735,0.29586,0.81409,0,0,3.5285,2.7898
4.1788,-27.014,1.4853,1.5,0.058246,0.21781,-0.15956,0.80695,0,0,3.5821,2.8247
4.7671,-17.014,4.307,1.5,0.14933,0.21825,-0.068924,0.79972,0,0,3.5528,2.8599
5.2871,-7.0141,5.4276,1.5,0.17006,0.21868,-0.048615,0.7924,0,0,3.5854,2.8953
5.7571,2.9859,3.622,1.5,0.10384,0.21909,-0.11525,0.785,0,0,3.5337,2.931
6.1872,12.986,2,1.5,0.053397,0.21948,-0.16608,0.77752,0,0,3.4788,2.967
6.5877,22.986,2,1.5,0.050294,0.21985,-0.16956,0.76997,0,0,3.4176,3.0032
6.9649,32.986,11.069,1.5,0.26422,0.22021,0.044006,0.76234,0,0,3.3692,3.0396
7.3229,42.986,8.9836,1.5,0.20908,0.22055,-0.011467,0.75464,0,0,3.2716,3.0763
7.672,52.986,5.7504,1.5,0.13107,0.22087,-0.089804,0.74689,0,0,3.2517,3.1132
8.0139,62.986,0,1.5,0,0.22117,-0.22117,0.73908,0,0,3.2307,3.1504
8.3485,72.986,0.5473,1.5,0.012197,0.22146,-0.20926,0.73122,0,0,3.2002,3.1877
8.6828,82.986,1.2012,1.5,0.028017,0.22172,-0.19371,0.72333,0,0,3.1898,3.2253
9.0327,92.986,5.2802,1.5,0.24196,0.22197,0.019989,0.7154,0,0,3.2025,3.2631
9.72,102.99,3.9778,1.5,0.27107,0.2222,0.048863,0.70746,0,0,3.2425,3.301
10.742,112.99,3.8997,1.5,0.23327,0.22242,0.01085,0.69949,0,0,3.2149,3.3392
11.639,122.99,3,1.5,0.16479,0.22262,-0.057824,0.69151,0,0,3.2042,3.3775
12.463,132.99,4.3846,1.5,0.24335,0.2228,0.020549,0.68352,0,0,3.1549,3.4159
13.296,142.99,5.0433,1.5,0.28262,0.22297,0.059651,0.67552,0,0,3.0925,3.4545
14.137,152.99,5.4865,1.5,0.26498,0.22312,0.04186,0.66753,0,0,3.0429,3.4933
14.861,162.99,7.6919,1.5,0.31879,0.22325,0.095537,0.65954,0,0,3.0042,3.5322
15.483,172.99,3.714,1.5,0.15103,0.22338,-0.072343,0.65156,0,0,3.0105,3.5712
16.093,182.99,7.5689,1.5,0.30812,0.22348,0.084636,0.64361,0,0,3.0178,3.6103
16.703,192.99,10.526,1.5,0.43332,0.22358,0.20974,0.63568,0,0,3.0504,3.6494
17.321,202.99,2.7775,1.5,0.11432,0.22366,-0.10933,0.62778,0,0,3.1541,3.6887
17.938,212.99,8.6161,1.5,0.35883,0.22372,0.13511,0.61993,0,0,3.2749,3.7281
18.563,222.99,32.631,1.5,1.3486,0.22378,1.1248,0.61211,1,0,3.352,3.7675
19.183,232.99,12.826,1.5,0.52931,0.22382,0.30549,0.60434,0,0,3.4018,3.807
19.802,242.99,3.4455,1.5,0.1411,0.22385,-0.08275,0.59662,0,0,3.4471,3.8465
20.416,252.99,5.2238,1.5,0.21351,0.22387,-0.010359,0.58895,0,0,3.4282,3.8861
21.029,262.99,4.1164,1.5,0.16804,0.22388,-0.055836,0.58134,0,0,3.6396,3.9257
21.642,272.99,3.935,1.5,0.16091,0.22388,-0.062962,0.57378,0,0,3.6235,3.9654
22.255,282.99,23.792,1.5,0.97278,0.22386,0.74892,0.56627,1,0,3.6548,4.0051
22.868,292.99,13.829,1.5,0.56232,0.22384,0.33848,0.55881,0,0,3.6928,4.0448
23.478,302.99,20.284,1.5,0.82162,0.22381,0.59781,0.55141,1,0,3.7387,4.0846
24.086,312.99,18.444,1.5,0.7473,0.22377,0.52353,0.54404,0,0,3.696,4.1244
24.694,322.99,10.756,1.5,0.4368,0.22373,0.21307,0.53672,0,0,3.6516,4.1642
25.303,332.99,5.9984,1.5,0.24194,0.22368,0.018259,0.52943,0,0,3.6993,4.204
25.908,342.99,5.4583,1.5,0.22076,0.22362,-0.0028647,0.52215,0,0,3.7464,4.2439
26.514,352.99,7.0344,1.5,0.28407,0.22356,0.060505,0.51487,0,0,3.7881,4.2839
27.12,362.99,32.301,1.5,1.2985,0.2235,1.075,0.50755,0,0,3.8317,4.3239
27.723,372.99,29.109,1.5,1.1645,0.22343,0.94107,0.50016,1,0,3.8761,4.3642
28.323,382.99,15.201,1.5,0.60691,0.22336,0.38355,0.49263,0,0,3.9156,4.4047
28.922,392.99,23.889,1.5,0.95208,0.22329,0.72879,0.48489,0,0,3.9587,4.4455
29.52,402.99,22.902,1.5,0.91801,0.22323,0.69478,0.47684,0,0,3.9993,4.4869
30.121,412.99,29.611,1.5,1.1844,0.22316,0.9612,0.46834,0,0,4.014,4.5292
30.721,422.99,34.973,1.5,1.3887,0.2231,1.1656,0.45924,0,0,4.0566,4.5728
31.317,432.99,21.492,1.5,0.85209,0.22305,0.62904,0.44934,0,0,4.097,4.618
31.911,442.99,21.611,1.5,0.8597,0.22301,0.63669,0.4385,0,0,4.1353,4.6653
32.508,452.99,25.221,1.5,1.0053,0.22298,0.78234,0.42876,0,0,5.1308,4.7223
33.106,462.99,22.96,1.5,0.91567,0.22297,0.69271,0.41891,0,0,5.2294,4.7814
33.704,472.99,30.312,1.5,1.2177,0.22297,0.99468,0.40897,0,0,5.4468,4.8427
34.307,482.99,24.17,1.5,0.96688,0.22301,0.74388,0.39898,0,0,5.4739,4.9063
34.907,492.99,29.397,1.5,1.1729,0.22307,0.94987,0.38899,0,0,5.4557,4.9722
35.505,502.99,21.685,1.5,0.87071,0.22317,0.64754,0.37902,0,0,5.4323,5.0405
36.108,512.99,20.855,1.5,0.83533,0.22331,0.61202,0.36914,0,0,5.4473,5.1111
36.708,522.99,19.641,1.5,0.78519,0.22351,0.56169,0.35939,0,0,5.4887,5.184
37.308,532.99,20.306,1.5,0.81467,0.22377,0.5909,0.34981,0,0,5.5291,5.2592
37.91,542.99,14.035,1.5,0.56555,0.2241,0.34145,0.34043,0,0,5.5333,5.3366
38.514,552.99,22.335,1.5,0.90044,0.22452,0.67591,0.33126,0,0,5.5285,5.4162
39.119,562.99,22.027,1.5,0.88616,0.22505,0.66111,0.32232,0,0,5.5342,5.4978
39.723,572.99,20.504,1.5,0.82774,0.2257,0.60204,0.31361,0,0,5.6286,5.5813
40.328,582.99,22.658,1.5,0.92589,0.22649,0.6994,0.30513,0,0,5.7212,5.6666
40.941,592.99,25.409,1.5,1.0547,0.22743,0.82727,0.2969,0,0,5.8108,5.7535
41.564,602.99,29.611,1.5,1.2237,0.22854,0.9952,0.28893,0,0,5.8091,5.8421
42.184,612.99,20.152,1.5,0.82577,0.22983,0.59594,0.28124,0,0,5.8154,5.9322
42.798,622.99,22.831,1.5,0.92234,0.23128,0.69106,0.27386,0,0,5.8155,6.0236
43.404,632.99,16.36,1.5,0.66435,0.23289,0.43147,0.26683,0,0,5.8217,6.1163
44.013,642.99,13.609,1.5,0.55421,0.2346,0.31961,0.26019,0,0,5.8239,6.2101
44.624,652.99,14.363,1.5,0.61667,0.23444,0.38223,0.25398,0,0,5.8222,6.3051
45.268,662.99,13.468,1.5,0.67447,0.23428,0.4402,0.24824,0,0,5.7948,6.4011
46.019,672.99,16.7,1.5,0.99471,0.23411,0.76061,0.24296,0,0,5.7405,6.498
46.913,682.99,14.703,1.5,1.0053,0.23393,0.77137,0.23813,0,0,5.731,6.5959
47.938,692.99,17.103,1.5,1.2092,0.23374,0.9755,0.23374,0,0,5.7492,6.6947
48.999,702.99,27.993,1.5,1.804,0.23352,1.5705,0.22975,0,0,5.8892,6.7944
49.966,712.99,36.088,1.5,1.9926,0.23327,1.7594,0.22615,0,0,5.9173,6.8951
50.794,722.99,34.952,1.5,1.6701,0.23298,1.4371,0.22292,1,0,5.9696,6.9967
51.511,732.99,6.3334,1.5,0.24886,0.23262,0.016239,0.22005,0,0,5.9402,7.0994
52.1,742.99,8.427,1.5,0.29125,0.23219,0.059061,0.21753,0,0,6.2451,7.2033
52.618,752.99,28.102,1.5,0.85987,0.23166,0.62821,0.21534,0,0,6.2212,7.3081
53.077,762.99,105.03,1.5,2.8789,0.23101,2.6479,0.21345,0,0,6.1852,7.414
53.489,772.99,36.916,1.5,0.91674,0.23022,0.68652,0.21183,1,0,6.155,7.5207
53.861,782.99,3.7743,1.5,0.087375,0.22926,-0.14188,0.21045,0,0,6.1278,7.6282
54.208,792.99,5.2397,1.5,0.11217,0.2281,-0.11594,0.20928,0,0,6.1928,7.7362
54.529,802.99,13.823,1.5,0.27521,0.22674,0.048469,0.20831,0,0,6.5907,7.8445
54.828,812.99,35.958,1.5,0.6675,0.22516,0.44234,0.20749,0,0,6.5882,7.9525
55.107,822.99,36.401,1.5,0.63143,0.22334,0.40809,0.20677,1,0,8.1786,8.0601
55.367,832.99,13.173,1.5,0.21432,0.22129,-0.0069759,0.20611,0,0,8.6228,8.1667
