cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-58.037,5.8599,2,0.47337,0.12613,0.34724,0.21239,1,0,3.5796,3.1157
1.6156,-48.037,5.8118,2,0.23659,0.12753,0.10906,0.213,0,0,3.6247,3.1374
2.4298,-38.037,5,2,0.14727,0.12894,0.018325,0.21361,0,0,3.6677,3.1594
3.0189,-28.037,5.0849,2,0.12327,0.13037,-0.0071011,0.21421,0,0,3.6718,3.1815
3.5037,-18.037,15,2,0.32983,0.1318,0.19803,0.21481,0,0,3.6697,3.2039
3.9435,-8.0366,4.5417,2,0.096638,0.13325,-0.036608,0.21539,0,0,3.6647,3.2266
4.3691,1.9634,3,2,0.06267,0.1347,-0.072032,0.21597,0,0,3.7031,3.2495
4.7869,11.963,5.4337,2,0.11203,0.13617,-0.02414,0.21655,0,0,3.7186,3.2727
5.1992,21.963,9.8554,2,0.20045,0.13765,0.0628,0.21712,0,0,3.7588,3.2962
5.606,31.963,14.912,2,0.29802,0.13914,0.15888,0.21768,0,0,3.6805,3.3199
6.0057,41.963,9,2,0.17486,0.14064,0.034222,0.21824,0,0,3.6289,3.3439
6.3943,51.963,19.918,2,0.38422,0.14215,0.24207,0.21879,1,0,3.5922,3.3681
6.7801,61.963,14.147,2,0.33427,0.14367,0.19059,0.21934,0,0,3.6232,3.3926
7.2526,71.963,0.41953,2,0.012406,0.14521,-0.1328,0.21988,0,0,3.5234,3.4174
7.844,81.963,2.2105,2,0.065741,0.14675,-0.081005,0.22043,0,0,3.4636,3.4424
8.4388,91.963,21.322,2,0.63778,0.1483,0.48948,0.22097,1,0,3.4349,3.4677
9.0371,101.96,1.5405,2,0.046339,0.14985,-0.10351,0.2215,0,0,3.4423,3.4933
9.6387,111.96,2.0068,2,0.060661,0.15142,-0.090757,0.22204,0,0,3.4738,3.5191
10.243,121.96,3.8474,2,0.11684,0.15299,-0.03615,0.22257,0,0,3.4967,3.5452
10.851,131.96,24.124,2,0.73584,0.15457,0.58127,0.22311,1,0,3.5277,3.5715
11.461,141.96,10.159,2,0.31126,0.15615,0.1551,0.22364,0,0,3.5576,3.5981
12.073,151.96,0.61194,2,0.018823,0.15774,-0.13892,0.22418,0,0,3.5865,3.625
12.689,161.96,7.939,2,0.24505,0.15934,0.085709,0.22471,0,0,3.5985,3.652
13.306,171.96,7.139,2,0.22105,0.16094,0.060109,0.22525,0,0,3.6147,3.6794
13.925,181.96,3.1207,2,0.096917,0.16254,-0.065628,0.22579,0,0,3.5719,3.7069
14.546,191.96,2.4574,2,0.076529,0.16415,-0.087625,0.22633,0,0,3.5678,3.7347
15.169,201.96,1.9392,2,0.060519,0.16577,-0.10525,0.22687,0,0,3.5671,3.7628
15.793,211.96,10.362,2,0.32396,0.16738,0.15658,0.22742,0,0,3.5791,3.791
16.419,221.96,6.6095,2,0.20698,0.169,0.037975,0.22797,0,0,3.5851,3.8195
17.045,231.96,6.0331,2,0.18916,0.17062,0.018539,0.22852,0,0,3.6049,3.8482
17.672,241.96,11.499,2,0.36082,0.17224,0.18858,0.22908,0,0,3.5711,3.8771
18.3,251.96,3.4039,2,0.10686,0.17387,-0.067011,0.22964,0,0,3.5927,3.9062
18.927,261.96,2.6112,2,0.081979,0.17549,-0.093512,0.2302,0,0,3.6067,3.9355
19.555,271.96,12.586,2,0.39505,0.17711,0.21794,0.23077,0,0,3.6241,3.965
20.183,281.96,12.167,2,0.38164,0.17874,0.2029,0.23134,0,0,3.6504,3.9946
20.81,291.96,1.7978,2,0.056335,0.18035,-0.12402,0.23192,0,0,3.6685,4.0244
21.437,301.96,0.80236,2,0.025108,0.18197,-0.15686,0.2325,0,0,3.6868,4.0544
22.063,311.96,1.4987,1.7999,0.04682,0.18358,-0.13676,0.23307,0,0,3.7113,4.0845
22.688,321.96,1.4015,2,0.043691,0.18518,-0.14149,0.23365,0,0,3.7355,4.1148
23.311,331.96,0,2,0,0.18678,-0.18678,0.23424,0,0,3.76,4.1452
23.933,341.96,2.504,2,0.077658,0.18837,-0.11071,0.23481,0,0,3.7783,4.1757
24.554,351.96,9.6782,2,0.29923,0.18995,0.10928,0.23539,0,0,3.8032,4.2063
25.172,361.96,6.1164,2,0.18847,0.19153,-0.0030616,0.23596,0,0,3.8218,4.237
25.788,371.96,4.3848,2,0.1346,0.1931,-0.058498,0.23652,0,0,3.8404,4.2678
26.402,381.96,6.8934,2,0.21077,0.19466,0.016107,0.23707,0,0,3.8623,4.2987
27.014,391.96,21.988,2,0.66927,0.19622,0.47304,0.23759,1,0,3.8852,4.3299
27.622,401.96,10.838,2,0.32839,0.19778,0.13061,0.23809,0,0,3.8987,4.3613
28.228,411.96,3.9849,2,0.12014,0.19935,-0.079216,0.23854,0,0,3.9067,4.3933
28.831,421.96,8.6127,2,0.25833,0.20094,0.057391,0.23894,0,0,3.9271,4.4261
29.431,431.96,6.6253,1.7907,0.21846,0.20255,0.015906,0.23926,0,0,3.9252,4.4601
30.028,441.96,7.2306,2,0.21445,0.20421,0.010236,0.23949,0,0,3.9481,4.4957
30.621,451.96,5.583,2,0.16462,0.20593,-0.041305,0.23961,0,0,4.0951,4.5424
31.211,461.96,5.2273,2,0.15317,0.20772,-0.054547,0.23968,0,0,4.1023,4.59
31.797,471.96,2.2225,2,0.064707,0.20912,-0.14441,0.23972,0,0,3.7568,4.6382
32.379,481.96,1.8483,2,0.053464,0.21045,-0.15699,0.23971,0,0,3.7264,4.6871
32.958,491.96,1.6063,2,0.046148,0.21172,-0.16557,0.23969,0,0,3.8129,4.7367
33.532,501.96,7.3318,2,0.20914,0.21291,-0.0037683,0.23963,0,0,3.8053,4.7868
34.103,511.96,9.6095,2,0.27219,0.21404,0.058147,0.23956,0,0,3.8081,4.8375
34.669,521.96,6.7167,2,0.18888,0.21439,-0.025511,0.23948,0,0,3.7438,4.8888
35.232,531.96,13.843,2,0.38633,0.21467,0.17167,0.23938,0,0,3.5374,4.9408
35.79,541.96,21.88,2,0.60596,0.2156,0.39036,0.23927,1,0,4.1705,4.9934
36.344,551.96,12.846,2,0.35305,0.21649,0.13656,0.23917,0,0,5.0425,5.0467
36.893,561.96,8.5993,2,0.23449,0.21736,0.017136,0.23906,0,0,6.1013,5.1008
37.439,571.96,15.654,2,0.4235,0.21819,0.20531,0.23895,0,0,6.2177,5.1557
