cm,age,count,vol,acc,bkg,rsd,thr,pkBool,pkMCP,sni,sniSm
0,-52,0,0,0,0.2,-0.2,0,0,0,0.24,0.03
0,-37,0,0,0,0.2,-0.2,0,0,0,0.24,0.03
0,-22,0,0,0,0.2,-0.2,0,0,0,0.24,0.03
0,-7,0,0,0,0.2,-0.2,0,0,0,0.24,0.03
0,8,0,0,0,0.2,-0.2,0.1,0,0,0.24,0.03
0.68,23,34,2,0.1,0.2,0,0.1,0,0,0.24,0.03
1,38,51,3,0.3,0.2,0.1,0.1,1,1.243446099,0.24,0.03
1.4,53,30,3,0.2,0.2,0,0.1,0,0,0.24,0.03
1.5,68,25,3,0.2,0.2,0,0.1,0,0,0.24,0.03
1.96,83,14,3,0.1,0.2,-0.1,0.1,0,0,0.24,0.03
2.02,98,14,3,0.1,0.2,-0.1,0.1,0,0,0.24,0.03
2.5,113,26,3,0.2,0.2,0,0.1,0,0,0.24,0.03
2.58,128,26,3,0.2,0.2,0,0.1,0,0,0.24,0.03
3,143,28,3,0.2,0.2,0,0.1,0,0,0.24,0.03
3.14,158,31,3,0.2,0.2,0,0.1,0,0,0.24,0.03
3.5,173,38,3,0.2,0.2,0.1,0.1,0,0,0.24,0.03
3.7,188,48,3,0.3,0.2,0.1,0.1,0,0,0.24,0.03
4,203,63,3,0.4,0.2,0.2,0.1,0,0,0.24,0.89
4.27,218,50,3,0.3,0.2,0.1,0.1,1,2.820039467,0.24,0
4.5,233,39,3,0.2,0.2,0.1,0.1,0,0,0.24,0
4.83,248,21,3,0.1,0.2,-0.1,0.1,0,0,0.23,0.1
5,263,12,3,0.1,0.2,-0.1,0.1,0,0,0.23,0.32
5.39,278,32,3,0.2,0.2,0,0.1,0,0,0.22,0.52
5.5,293,37,3,0.2,0.2,0,0.1,0,0,0.22,0.73
5.95,308,53,3,0.3,0.2,0.1,0.1,1,0.008535929,0.22,0.02
6.02,323,54,3,0.3,0.2,0.1,0.1,0,0,0.22,0.17
6.5,338,29,3,0.2,0.2,0,0.1,0,0,0.23,0.97
6.58,353,31,3,0.2,0.2,0,0.1,0,0,0.24,0.24
7,368,43,3,0.3,0.2,0.1,0.1,0,0,0.25,0.17
7.14,383,38,3,0.2,0.2,0,0.1,0,0,0.27,0.22
7.5,398,27,3,0.2,0.2,0,0.1,0,0,0.29,0.37
7.71,413,25,3,0.2,0.2,0,0.1,0,0,0.31,0.24
8,428,22,3,0.1,0.2,-0.1,0.1,0,0,0.33,0.32
8.27,443,14,3,0.1,0.2,-0.1,0.1,0,0,0.35,0.19
8.5,458,8,3,0.1,0.2,-0.1,0.1,0,0,0.37,0.55
8.83,473,31,3,0.2,0.2,0,0.1,0,0,0.38,0.28
9,488,42,3,0.3,0.2,0.1,0.1,0,0,0.4,0.28
9.4,503,66,3,0.4,0.2,0.2,0.1,0,0,0.42,0.48
9.5,518,72,3,0.4,0.2,0.3,0.1,1,3.522045332,0.43,0.61
9.96,533,44,3,0.3,0.2,0.1,0.1,0,0,0.45,0.54
10.03,548,40,3,0.2,0.2,0.1,0.1,0,0,0.47,0.28
10.5,563,7,3,0,0.2,-0.1,0.1,0,0,0.48,0.49
10.6,578,8,3,0.1,0.2,-0.1,0.1,0,0,0.5,0.7
11,593,13,3,0.1,0.2,-0.1,0.1,0,0,0.52,0.68
11.16,608,23,3,0.1,0.1,0,0.1,0,0,0.54,0.63
11.5,623,43,3,0.3,0.1,0.1,0.1,0,0,0.55,0.51
11.73,638,52,3,0.3,0.1,0.2,0.1,0,0,0.56,0.32
12,653,62,3,0.4,0.1,0.3,0.1,0,0,0.57,0.49
12.3,668,52,3,0.3,0.1,0.2,0.1,0,0,0.57,0.48
12.5,683,46,3,0.3,0.1,0.2,0.1,1,8.430947919,0.57,0.25
12.87,698,17,3,0.1,0.1,0,0.1,0,0,0.56,0.29
13,713,7,3,0,0.1,-0.1,0.1,0,0,0.56,0.35
13.43,728,9,3,0.1,0.1,0,0.1,0,0,0.55,0.34
13.5,743,9,3,0.1,0.1,0,0.1,0,0,0.55,0.96
14,758,5,3,0,0.1,-0.1,0.1,0,0,0.54,0.95
14.07,773,5,3,0,0.1,-0.1,0.1,0,0,0.54,0.96
14.5,788,3,3,0,0.1,-0.1,0.1,0,0,0.55,0.38
14.65,803,2,3,0,0.1,-0.1,0.1,0,0,0.55,0.26
15,818,1,3,0,0.1,-0.1,0.1,0,0,0.56,0.36
15.22,833,15,3,0.1,0.1,0,0.1,0,0,0.57,0.84
15.5,848,33,3,0.2,0.1,0.1,0.1,0,0,0.58,0.62
15.5,863,33,3,0.2,0.1,0.1,0.1,0,0,0.59,0.1
15.5,878,33,3,0.2,0.1,0.1,0.1,1,3.246810512,0.6,0.94
16.23,893,16,3,0.1,0.1,0,0.1,0,0,0.6,0.15
16.5,908,9,3,0.1,0.1,0,0.1,0,0,0.61,0.95
16.94,923,8,3,0.1,0.1,0,0.1,0,0,0.62,0.94
17.01,938,8,3,0.1,0.1,0,0.1,0,0,0.62,0.95
17.5,953,4,3,0,0.1,0,0.1,0,0,0.64,0.62
